SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Accuracy
RiceM30-1-3	KrakenUniq	Rice	Multiple	90%	30G	0.999891123
RiceM30-1-4	KrakenUniq	Rice	Multiple	90%	30G	0.999918165
RiceM30-1-5	KrakenUniq	Rice	Multiple	90%	30G	0.999784891
RiceM30-2-1	Kneaddata	Rice	Multiple	50%	30G	0.998571092
RiceM30-2-2	Kneaddata	Rice	Multiple	50%	30G	0.997051599
RiceM30-2-3	Kneaddata	Rice	Multiple	50%	30G	0.998950663
RiceM30-2-4	Kneaddata	Rice	Multiple	50%	30G	0.99908925
RiceM30-2-5	Kneaddata	Rice	Multiple	50%	30G	0.99812679
RiceM30-2-1	BWA	Rice	Multiple	50%	30G	0.993677188
RiceM30-2-2	BWA	Rice	Multiple	50%	30G	0.992537985
RiceM30-2-3	BWA	Rice	Multiple	50%	30G	0.997212749
RiceM30-2-4	BWA	Rice	Multiple	50%	30G	0.998950663
RiceM30-2-5	BWA	Rice	Multiple	50%	30G	0.995788487
RiceM30-2-1	Bowtie2	Rice	Multiple	50%	30G	0.999879497
RiceM30-2-2	Bowtie2	Rice	Multiple	50%	30G	0.99981185
RiceM30-2-3	Bowtie2	Rice	Multiple	50%	30G	0.999871487
RiceM30-2-4	Bowtie2	Rice	Multiple	50%	30G	0.999886456
RiceM30-2-5	Bowtie2	Rice	Multiple	50%	30G	0.999883185
RiceM30-2-1	Kraken2	Rice	Multiple	50%	30G	0.999883185
RiceM30-2-2	Kraken2	Rice	Multiple	50%	30G	0.989059166
RiceM30-2-3	Kraken2	Rice	Multiple	50%	30G	0.9889843
RiceM30-2-4	Kraken2	Rice	Multiple	50%	30G	0.989176804
RiceM30-2-5	Kraken2	Rice	Multiple	50%	30G	0.98917496
RiceM30-2-1	KMCP	Rice	Multiple	50%	30G	0.989167273
RiceM30-2-2	KMCP	Rice	Multiple	50%	30G	0.873885131
RiceM30-2-3	KMCP	Rice	Multiple	50%	30G	0.87384163
RiceM30-2-4	KMCP	Rice	Multiple	50%	30G	0.873850859
RiceM30-2-5	KMCP	Rice	Multiple	50%	30G	0.873894381
RiceM30-2-1	KrakenUniq	Rice	Multiple	50%	30G	0.999348256
RiceM30-2-2	KrakenUniq	Rice	Multiple	50%	30G	0.998183146
RiceM30-2-3	KrakenUniq	Rice	Multiple	50%	30G	0.999467279
RiceM30-2-4	KrakenUniq	Rice	Multiple	50%	30G	0.999595845
RiceM30-2-5	KrakenUniq	Rice	Multiple	50%	30G	0.998918538
RiceM30-3-1	Kneaddata	Rice	Multiple	10%	30G	0.997429837
RiceM30-3-2	Kneaddata	Rice	Multiple	10%	30G	0.994713587
RiceM30-3-3	Kneaddata	Rice	Multiple	10%	30G	0.998110436
RiceM30-3-4	Kneaddata	Rice	Multiple	10%	30G	0.998352816
RiceM30-3-5	Kneaddata	Rice	Multiple	10%	30G	0.996629673
RiceM30-3-1	BWA	Rice	Multiple	10%	30G	0.988201313
RiceM30-3-2	BWA	Rice	Multiple	10%	30G	0.986533035
RiceM30-3-3	BWA	Rice	Multiple	10%	30G	0.994997333
RiceM30-3-4	BWA	Rice	Multiple	10%	30G	0.992554704
RiceM30-3-5	BWA	Rice	Multiple	10%	30G	0.989223774
RiceM30-3-1	Bowtie2	Rice	Multiple	10%	30G	0.999957072
RiceM30-3-2	Bowtie2	Rice	Multiple	10%	30G	0.999839559
RiceM30-3-3	Bowtie2	Rice	Multiple	10%	30G	0.999941155
RiceM30-3-4	Bowtie2	Rice	Multiple	10%	30G	0.999971572
RiceM30-3-5	Bowtie2	Rice	Multiple	10%	30G	0.999964114
RiceM30-3-1	Kraken2	Rice	Multiple	10%	30G	0.997399274
RiceM30-3-2	Kraken2	Rice	Multiple	10%	30G	0.997233124
RiceM30-3-3	Kraken2	Rice	Multiple	10%	30G	0.997584747
RiceM30-3-4	Kraken2	Rice	Multiple	10%	30G	0.997559871
RiceM30-3-5	Kraken2	Rice	Multiple	10%	30G	0.997541256
RiceM30-3-1	KMCP	Rice	Multiple	10%	30G	0.974784193
RiceM30-3-2	KMCP	Rice	Multiple	10%	30G	0.974793485
RiceM30-3-3	KMCP	Rice	Multiple	10%	30G	0.974773026
RiceM30-3-4	KMCP	Rice	Multiple	10%	30G	0.974775068
RiceM30-3-5	KMCP	Rice	Multiple	10%	30G	0.974747755
RiceM30-3-1	KrakenUniq	Rice	Multiple	10%	30G	0.998827056
RiceM30-3-2	KrakenUniq	Rice	Multiple	10%	30G	0.996737863
RiceM30-3-3	KrakenUniq	Rice	Multiple	10%	30G	0.999040353
RiceM30-3-4	KrakenUniq	Rice	Multiple	10%	30G	0.9992689
RiceM30-3-5	KrakenUniq	Rice	Multiple	10%	30G	0.998059747
RiceM60-1-1	Kneaddata	Rice	Multiple	90%	60G	0.999715181
RiceM60-1-2	Kneaddata	Rice	Multiple	90%	60G	0.999407861
RiceM60-1-3	Kneaddata	Rice	Multiple	90%	60G	0.999788558
RiceM60-1-4	Kneaddata	Rice	Multiple	90%	60G	0.99981834
RiceM60-1-5	Kneaddata	Rice	Multiple	90%	60G	0.999626616
RiceM60-1-1	BWA	Rice	Multiple	90%	60G	0.998680032
RiceM60-1-2	BWA	Rice	Multiple	90%	60G	0.998521721
RiceM60-1-3	BWA	Rice	Multiple	90%	60G	0.999455316
RiceM60-1-4	BWA	Rice	Multiple	90%	60G	0.999263035
RiceM60-1-5	BWA	Rice	Multiple	90%	60G	0.998855156
RiceM60-1-1	Bowtie2	Rice	Multiple	90%	60G	0.999801251
RiceM60-1-2	Bowtie2	Rice	Multiple	90%	60G	0.999786084
RiceM60-1-3	Bowtie2	Rice	Multiple	90%	60G	0.999799824
RiceM60-1-4	Bowtie2	Rice	Multiple	90%	60G	0.999803277
RiceM60-1-5	Bowtie2	Rice	Multiple	90%	60G	0.999801954
RiceM60-1-1	Kraken2	Rice	Multiple	90%	60G	0.969934209
RiceM60-1-2	Kraken2	Rice	Multiple	90%	60G	0.969904903
RiceM60-1-3	Kraken2	Rice	Multiple	90%	60G	0.969967523
RiceM60-1-4	Kraken2	Rice	Multiple	90%	60G	0.969996782
RiceM60-1-5	Kraken2	Rice	Multiple	90%	60G	0.969976323
RiceM60-1-1	KMCP	Rice	Multiple	90%	60G	0.772984933
RiceM60-1-2	KMCP	Rice	Multiple	90%	60G	0.772950766
RiceM60-1-3	KMCP	Rice	Multiple	90%	60G	0.772910515
RiceM60-1-4	KMCP	Rice	Multiple	90%	60G	0.772924598
RiceM60-1-5	KMCP	Rice	Multiple	90%	60G	0.773039413
RiceM60-1-1	KrakenUniq	Rice	Multiple	90%	60G	0.99986932
RiceM60-1-2	KrakenUniq	Rice	Multiple	90%	60G	0.999633596
RiceM60-1-3	KrakenUniq	Rice	Multiple	90%	60G	0.999891175
RiceM60-1-4	KrakenUniq	Rice	Multiple	90%	60G	0.9999188
RiceM60-1-5	KrakenUniq	Rice	Multiple	90%	60G	0.999783568
RiceM60-2-1	Kneaddata	Rice	Multiple	50%	60G	0.99857378
RiceM60-2-2	Kneaddata	Rice	Multiple	50%	60G	0.997067672
RiceM60-2-3	Kneaddata	Rice	Multiple	50%	60G	0.998951018
RiceM60-2-4	Kneaddata	Rice	Multiple	50%	60G	0.999083385
RiceM60-2-5	Kneaddata	Rice	Multiple	50%	60G	0.998130738
RiceM60-2-1	BWA	Rice	Multiple	50%	60G	0.993441871
RiceM60-2-2	BWA	Rice	Multiple	50%	60G	0.992516917
RiceM60-2-3	BWA	Rice	Multiple	50%	60G	0.997218441
RiceM60-2-4	BWA	Rice	Multiple	50%	60G	0.99587727
RiceM60-2-5	BWA	Rice	Multiple	50%	60G	0.993992967
RiceM60-2-1	Bowtie2	Rice	Multiple	50%	60G	0.99987919
RiceM60-2-2	Bowtie2	Rice	Multiple	50%	60G	0.999812589
RiceM60-2-3	Bowtie2	Rice	Multiple	50%	60G	0.999869205
RiceM60-2-4	Bowtie2	Rice	Multiple	50%	60G	0.999887117
RiceM60-2-5	Bowtie2	Rice	Multiple	50%	60G	0.999882716
RiceM60-2-1	Kraken2	Rice	Multiple	50%	60G	0.989071599
RiceM60-2-2	Kraken2	Rice	Multiple	50%	60G	0.988980628
RiceM60-2-3	Kraken2	Rice	Multiple	50%	60G	0.989180742
RiceM60-2-4	Kraken2	Rice	Multiple	50%	60G	0.989172908
RiceM60-2-5	Kraken2	Rice	Multiple	50%	60G	0.989159054
RiceM60-2-1	KMCP	Rice	Multiple	50%	60G	0.873857557
RiceM60-2-2	KMCP	Rice	Multiple	50%	60G	0.873822942
RiceM60-2-3	KMCP	Rice	Multiple	50%	60G	0.873831234
RiceM60-2-4	KMCP	Rice	Multiple	50%	60G	0.873846088
RiceM60-2-5	KMCP	Rice	Multiple	50%	60G	0.873906037
RiceM60-2-1	KrakenUniq	Rice	Multiple	50%	60G	0.99934761
RiceM60-2-2	KrakenUniq	Rice	Multiple	50%	60G	0.998189823
RiceM60-2-3	KrakenUniq	Rice	Multiple	50%	60G	0.999466748
RiceM60-2-4	KrakenUniq	Rice	Multiple	50%	60G	0.999593105
RiceM60-2-5	KrakenUniq	Rice	Multiple	50%	60G	0.998922152
RiceM60-3-1	Kneaddata	Rice	Multiple	10%	60G	0.997435931
RiceM60-3-2	Kneaddata	Rice	Multiple	10%	60G	0.994710983
RiceM60-3-3	Kneaddata	Rice	Multiple	10%	60G	0.99810929
RiceM60-3-4	Kneaddata	Rice	Multiple	10%	60G	0.998348848
RiceM60-3-5	Kneaddata	Rice	Multiple	10%	60G	0.996638746
RiceM60-3-1	BWA	Rice	Multiple	10%	60G	0.988207209
RiceM60-3-2	BWA	Rice	Multiple	10%	60G	0.98655539
RiceM60-3-3	BWA	Rice	Multiple	10%	60G	0.995162665
RiceM60-3-4	BWA	Rice	Multiple	10%	60G	0.992680145
RiceM60-3-5	BWA	Rice	Multiple	10%	60G	0.989171877
RiceM60-3-1	Bowtie2	Rice	Multiple	10%	60G	0.999957275
RiceM60-3-2	Bowtie2	Rice	Multiple	10%	60G	0.999840548
RiceM60-3-3	Bowtie2	Rice	Multiple	10%	60G	0.999941728
RiceM60-3-4	Bowtie2	Rice	Multiple	10%	60G	0.999971541
RiceM60-3-5	Bowtie2	Rice	Multiple	10%	60G	0.999964676
RiceM60-3-1	Kraken2	Rice	Multiple	10%	60G	0.998314804
RiceM60-3-2	Kraken2	Rice	Multiple	10%	60G	0.998052962
RiceM60-3-3	Kraken2	Rice	Multiple	10%	60G	0.998623784
RiceM60-3-4	Kraken2	Rice	Multiple	10%	60G	0.998580691
RiceM60-3-5	Kraken2	Rice	Multiple	10%	60G	0.998554906
RiceM60-3-1	KMCP	Rice	Multiple	10%	60G	0.974784401
RiceM60-3-2	KMCP	Rice	Multiple	10%	60G	0.974765745
RiceM60-3-3	KMCP	Rice	Multiple	10%	60G	0.974766088
RiceM60-3-4	KMCP	Rice	Multiple	10%	60G	0.974785391
RiceM60-3-5	KMCP	Rice	Multiple	10%	60G	0.974767036
RiceM60-3-1	KrakenUniq	Rice	Multiple	10%	60G	0.998828734
RiceM60-3-2	KrakenUniq	Rice	Multiple	10%	60G	0.996736134
RiceM60-3-3	KrakenUniq	Rice	Multiple	10%	60G	0.999040936
RiceM60-3-4	KrakenUniq	Rice	Multiple	10%	60G	0.999267567
RiceM60-3-5	KrakenUniq	Rice	Multiple	10%	60G	0.998062612
HumanS10-1-1	Kneaddata	Human	Single	90%	10G	0.999972099
HumanS10-1-2	Kneaddata	Human	Single	90%	10G	0.999973999
HumanS10-1-3	Kneaddata	Human	Single	90%	10G	0.999971899
HumanS10-1-4	Kneaddata	Human	Single	90%	10G	0.999972399
HumanS10-1-5	Kneaddata	Human	Single	90%	10G	0.999972049
HumanS10-1-1	BWA	Human	Single	90%	10G	0.9999867
HumanS10-1-2	BWA	Human	Single	90%	10G	0.999686893
HumanS10-1-3	BWA	Human	Single	90%	10G	0.999986825
HumanS10-1-4	BWA	Human	Single	90%	10G	0.999986975
HumanS10-1-5	BWA	Human	Single	90%	10G	0.999985775
HumanS10-1-1	Bowtie2	Human	Single	90%	10G	0.998099081
HumanS10-1-2	Bowtie2	Human	Single	90%	10G	0.997873451
HumanS10-1-3	Bowtie2	Human	Single	90%	10G	0.997890276
HumanS10-1-4	Bowtie2	Human	Single	90%	10G	0.997329389
HumanS10-1-5	Bowtie2	Human	Single	90%	10G	0.997926052
HumanS10-1-1	Kraken2	Human	Single	90%	10G	0.98413051
HumanS10-1-2	Kraken2	Human	Single	90%	10G	0.983219589
HumanS10-1-3	Kraken2	Human	Single	90%	10G	0.984120335
HumanS10-1-4	Kraken2	Human	Single	90%	10G	0.984075709
HumanS10-1-5	Kraken2	Human	Single	90%	10G	0.979244323
HumanS10-1-1	KMCP	Human	Single	90%	10G	0.810471841
HumanS10-1-2	KMCP	Human	Single	90%	10G	0.813313706
HumanS10-1-3	KMCP	Human	Single	90%	10G	0.812912097
HumanS10-1-4	KMCP	Human	Single	90%	10G	0.819885657
HumanS10-1-5	KMCP	Human	Single	90%	10G	0.81520685
HumanS10-1-1	KrakenUniq	Human	Single	90%	10G	0.999976499
HumanS10-1-2	KrakenUniq	Human	Single	90%	10G	0.999977599
HumanS10-1-3	KrakenUniq	Human	Single	90%	10G	0.999977349
HumanS10-1-4	KrakenUniq	Human	Single	90%	10G	0.999977699
HumanS10-1-5	KrakenUniq	Human	Single	90%	10G	0.999975149
HumanS10-2-1	Kneaddata	Human	Single	50%	10G	0.999862847
HumanS10-2-2	Kneaddata	Human	Single	50%	10G	0.999862497
HumanS10-2-3	Kneaddata	Human	Single	50%	10G	0.999865297
HumanS10-2-4	Kneaddata	Human	Single	50%	10G	0.999860947
HumanS10-2-5	Kneaddata	Human	Single	50%	10G	0.999864197
HumanS10-2-1	BWA	Human	Single	50%	10G	0.999933648
HumanS10-2-2	BWA	Human	Single	50%	10G	0.999634192
HumanS10-2-3	BWA	Human	Single	50%	10G	0.999635842
HumanS10-2-4	BWA	Human	Single	50%	10G	0.999934649
HumanS10-2-5	BWA	Human	Single	50%	10G	0.999933823
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	0.998947751
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	0.998819398
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	0.998833148
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	0.998520316
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	0.998854899
HumanS10-2-1	Kraken2	Human	Single	50%	10G	0.991187899
HumanS10-2-2	Kraken2	Human	Single	50%	10G	0.990683413
HumanS10-2-3	Kraken2	Human	Single	50%	10G	0.991170649
HumanS10-2-4	Kraken2	Human	Single	50%	10G	0.991145423
HumanS10-2-5	Kraken2	Human	Single	50%	10G	0.988444487
HumanS10-2-1	KMCP	Human	Single	50%	10G	0.894791951
HumanS10-2-2	KMCP	Human	Single	50%	10G	0.896191683
HumanS10-2-3	KMCP	Human	Single	50%	10G	0.896025129
HumanS10-2-4	KMCP	Human	Single	50%	10G	0.899938169
HumanS10-2-5	KMCP	Human	Single	50%	10G	0.89736201
HumanS10-2-1	KrakenUniq	Human	Single	50%	10G	0.999889797
HumanS10-2-2	KrakenUniq	Human	Single	50%	10G	0.999890748
HumanS10-2-3	KrakenUniq	Human	Single	50%	10G	0.999892598
HumanS10-2-4	KrakenUniq	Human	Single	50%	10G	0.999891098
HumanS10-2-5	KrakenUniq	Human	Single	50%	10G	0.999889047
HumanS10-3-1	Kneaddata	Human	Single	10%	10G	0.999751844
HumanS10-3-2	Kneaddata	Human	Single	10%	10G	0.999753294
HumanS10-3-3	Kneaddata	Human	Single	10%	10G	0.999752944
HumanS10-3-4	Kneaddata	Human	Single	10%	10G	0.999745994
HumanS10-3-5	Kneaddata	Human	Single	10%	10G	0.999755144
HumanS10-3-1	BWA	Human	Single	10%	10G	0.999880697
HumanS10-3-2	BWA	Human	Single	10%	10G	0.99958324
HumanS10-3-3	BWA	Human	Single	10%	10G	0.99958244
HumanS10-3-4	BWA	Human	Single	10%	10G	0.999880622
HumanS10-3-5	BWA	Human	Single	10%	10G	0.999881947
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	0.99978997
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	0.99976662
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	0.99976842
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	0.999709293
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	0.999770195
HumanS10-3-1	Kraken2	Human	Single	10%	10G	0.998218959
HumanS10-3-2	Kraken2	Human	Single	10%	10G	0.998101956
HumanS10-3-3	Kraken2	Human	Single	10%	10G	0.998228034
HumanS10-3-4	Kraken2	Human	Single	10%	10G	0.998212884
HumanS10-3-5	Kraken2	Human	Single	10%	10G	0.997677672
HumanS10-3-1	KMCP	Human	Single	10%	10G	0.978901715
HumanS10-3-2	KMCP	Human	Single	10%	10G	0.979215572
HumanS10-3-3	KMCP	Human	Single	10%	10G	0.979225672
HumanS10-3-4	KMCP	Human	Single	10%	10G	0.98001479
HumanS10-3-5	KMCP	Human	Single	10%	10G	0.979524179
HumanS10-3-1	KrakenUniq	Human	Single	10%	10G	0.999803395
HumanS10-3-2	KrakenUniq	Human	Single	10%	10G	0.999807246
HumanS10-3-3	KrakenUniq	Human	Single	10%	10G	0.999804746
HumanS10-3-4	KrakenUniq	Human	Single	10%	10G	0.999800795
HumanS10-3-5	KrakenUniq	Human	Single	10%	10G	0.999805646
HumanS30-1-1	Kneaddata	Human	Single	90%	30G	0.999972354
HumanS30-1-2	Kneaddata	Human	Single	90%	30G	0.999973041
HumanS30-1-3	Kneaddata	Human	Single	90%	30G	0.999972979
HumanS30-1-4	Kneaddata	Human	Single	90%	30G	0.99997227
HumanS30-1-5	Kneaddata	Human	Single	90%	30G	0.999972854
HumanS30-1-1	BWA	Human	Single	90%	30G	0.999986448
HumanS30-1-2	BWA	Human	Single	90%	30G	0.999861768
HumanS30-1-3	BWA	Human	Single	90%	30G	0.999862414
HumanS30-1-4	BWA	Human	Single	90%	30G	0.999986562
HumanS30-1-5	BWA	Human	Single	90%	30G	0.999986573
HumanS30-1-1	Bowtie2	Human	Single	90%	30G	0.998103071
HumanS30-1-2	Bowtie2	Human	Single	90%	30G	0.997861534
HumanS30-1-3	Bowtie2	Human	Single	90%	30G	0.997892212
HumanS30-1-4	Bowtie2	Human	Single	90%	30G	0.997328397
HumanS30-1-5	Bowtie2	Human	Single	90%	30G	0.997935005
HumanS30-1-1	Kraken2	Human	Single	90%	30G	0.984146866
HumanS30-1-2	Kraken2	Human	Single	90%	30G	0.983198573
HumanS30-1-3	Kraken2	Human	Single	90%	30G	0.984085771
HumanS30-1-4	Kraken2	Human	Single	90%	30G	0.984057218
HumanS30-1-5	Kraken2	Human	Single	90%	30G	0.979229118
HumanS30-1-1	KMCP	Human	Single	90%	30G	0.81048374
HumanS30-1-2	KMCP	Human	Single	90%	30G	0.813349285
HumanS30-1-3	KMCP	Human	Single	90%	30G	0.812868962
HumanS30-1-4	KMCP	Human	Single	90%	30G	0.819788516
HumanS30-1-5	KMCP	Human	Single	90%	30G	0.815242537
HumanS30-1-1	KrakenUniq	Human	Single	90%	30G	0.999976729
HumanS30-1-2	KrakenUniq	Human	Single	90%	30G	0.999977291
HumanS30-1-3	KrakenUniq	Human	Single	90%	30G	0.999977833
HumanS30-1-4	KrakenUniq	Human	Single	90%	30G	0.999977208
HumanS30-1-5	KrakenUniq	Human	Single	90%	30G	0.999976812
HumanS30-2-1	Kneaddata	Human	Single	50%	30G	0.999864059
HumanS30-2-2	Kneaddata	Human	Single	50%	30G	0.999862601
HumanS30-2-3	Kneaddata	Human	Single	50%	30G	0.999863518
HumanS30-2-4	Kneaddata	Human	Single	50%	30G	0.999859851
HumanS30-2-5	Kneaddata	Human	Single	50%	30G	0.999863497
HumanS30-2-1	BWA	Human	Single	50%	30G	0.999934967
HumanS30-2-2	BWA	Human	Single	50%	30G	0.999809569
HumanS30-2-3	BWA	Human	Single	50%	30G	0.999809954
HumanS30-2-4	BWA	Human	Single	50%	30G	0.999933582
HumanS30-2-5	BWA	Human	Single	50%	30G	0.999934446
HumanS30-2-1	Bowtie2	Human	Single	50%	30G	0.99894533
HumanS30-2-2	Bowtie2	Human	Single	50%	30G	0.998818608
HumanS30-2-3	Bowtie2	Human	Single	50%	30G	0.998827244
HumanS30-2-4	Bowtie2	Human	Single	50%	30G	0.998517018
HumanS30-2-5	Bowtie2	Human	Single	50%	30G	0.998852609
HumanS30-2-1	Kraken2	Human	Single	50%	30G	0.99118035
HumanS30-2-2	Kraken2	Human	Single	50%	30G	0.990667078
HumanS30-2-3	Kraken2	Human	Single	50%	30G	0.991157589
HumanS30-2-4	Kraken2	Human	Single	50%	30G	0.991146578
HumanS30-2-5	Kraken2	Human	Single	50%	30G	0.988456163
HumanS30-2-1	KMCP	Human	Single	50%	30G	0.894741588
HumanS30-2-2	KMCP	Human	Single	50%	30G	0.896252768
HumanS30-2-3	KMCP	Human	Single	50%	30G	0.896059222
HumanS30-2-4	KMCP	Human	Single	50%	30G	0.899919186
HumanS30-2-5	KMCP	Human	Single	50%	30G	0.897367773
HumanS30-2-1	KrakenUniq	Human	Single	50%	30G	0.999892227
HumanS30-2-2	KrakenUniq	Human	Single	50%	30G	0.999891748
HumanS30-2-3	KrakenUniq	Human	Single	50%	30G	0.999891935
HumanS30-2-4	KrakenUniq	Human	Single	50%	30G	0.999888435
HumanS30-2-5	KrakenUniq	Human	Single	50%	30G	0.99989181
HumanS30-3-1	Kneaddata	Human	Single	10%	30G	0.999754578
HumanS30-3-2	Kneaddata	Human	Single	10%	30G	0.999751307
HumanS30-3-3	Kneaddata	Human	Single	10%	30G	0.999753869
HumanS30-3-4	Kneaddata	Human	Single	10%	30G	0.999748494
HumanS30-3-5	Kneaddata	Human	Single	10%	30G	0.999753619
HumanS30-3-1	BWA	Human	Single	10%	30G	0.999882351
HumanS30-3-2	BWA	Human	Single	10%	30G	0.999631314
HumanS30-3-3	BWA	Human	Single	10%	30G	0.99973815
HumanS30-3-4	BWA	Human	Single	10%	30G	0.999879581
HumanS30-3-5	BWA	Human	Single	10%	30G	0.99988132
HumanS30-3-1	Bowtie2	Human	Single	10%	30G	0.999789276
HumanS30-3-2	Bowtie2	Human	Single	10%	30G	0.999789276
HumanS30-3-3	Bowtie2	Human	Single	10%	30G	0.999789276
HumanS30-3-4	Bowtie2	Human	Single	10%	30G	0.999789276
HumanS30-3-5	Bowtie2	Human	Single	10%	30G	0.999789276
HumanS30-3-1	Kraken2	Human	Single	10%	30G	0.998221115
HumanS30-3-2	Kraken2	Human	Single	10%	30G	0.998121582
HumanS30-3-3	Kraken2	Human	Single	10%	30G	0.998226657
HumanS30-3-4	Kraken2	Human	Single	10%	30G	0.998216553
HumanS30-3-5	Kraken2	Human	Single	10%	30G	0.997675801
HumanS30-3-1	KMCP	Human	Single	10%	30G	0.978939747
HumanS30-3-2	KMCP	Human	Single	10%	30G	0.979231941
HumanS30-3-3	KMCP	Human	Single	10%	30G	0.979203336
HumanS30-3-4	KMCP	Human	Single	10%	30G	0.980006021
HumanS30-3-5	KMCP	Human	Single	10%	30G	0.979471446
HumanS30-3-1	KrakenUniq	Human	Single	10%	30G	0.9998061
HumanS30-3-2	KrakenUniq	Human	Single	10%	30G	0.999804558
HumanS30-3-3	KrakenUniq	Human	Single	10%	30G	0.999804433
HumanS30-3-4	KrakenUniq	Human	Single	10%	30G	0.999799808
HumanS30-3-5	KrakenUniq	Human	Single	10%	30G	0.999804912
HumanS60-1-1	Kneaddata	Human	Single	90%	60G	0.999976874
HumanS60-1-2	Kneaddata	Human	Single	90%	60G	0.999976599
HumanS60-1-3	Kneaddata	Human	Single	90%	60G	0.999977531
HumanS60-1-4	Kneaddata	Human	Single	90%	60G	0.999977541
HumanS60-1-5	Kneaddata	Human	Single	90%	60G	0.999976111
HumanS60-1-1	BWA	Human	Single	90%	60G	0.999986703
HumanS60-1-2	BWA	Human	Single	90%	60G	0.999922877
HumanS60-1-3	BWA	Human	Single	90%	60G	0.999924571
HumanS60-1-4	BWA	Human	Single	90%	60G	0.999986922
HumanS60-1-5	BWA	Human	Single	90%	60G	0.999986253
HumanS60-1-1	Bowtie2	Human	Single	90%	60G	0.998103806
HumanS60-1-2	Bowtie2	Human	Single	90%	60G	0.99786649
HumanS60-1-3	Bowtie2	Human	Single	90%	60G	0.997888691
HumanS60-1-4	Bowtie2	Human	Single	90%	60G	0.997329027
HumanS60-1-5	Bowtie2	Human	Single	90%	60G	0.997946665
HumanS60-1-1	Kraken2	Human	Single	90%	60G	0.975113987
HumanS60-1-2	Kraken2	Human	Single	90%	60G	0.974154508
HumanS60-1-3	Kraken2	Human	Single	90%	60G	0.974999571
HumanS60-1-4	Kraken2	Human	Single	90%	60G	0.974971173
HumanS60-1-5	Kraken2	Human	Single	90%	60G	0.968711793
HumanS60-1-1	KMCP	Human	Single	90%	60G	0.810483824
HumanS60-1-2	KMCP	Human	Single	90%	60G	0.813787822
HumanS60-1-3	KMCP	Human	Single	90%	60G	0.812902483
HumanS60-1-4	KMCP	Human	Single	90%	60G	0.819724567
HumanS60-1-5	KMCP	Human	Single	90%	60G	0.815983888
HumanS60-1-1	KrakenUniq	Human	Single	90%	60G	0.999976874
HumanS60-1-2	KrakenUniq	Human	Single	90%	60G	0.999976599
HumanS60-1-3	KrakenUniq	Human	Single	90%	60G	0.999977531
HumanS60-1-4	KrakenUniq	Human	Single	90%	60G	0.999977541
HumanS60-1-5	KrakenUniq	Human	Single	90%	60G	0.999976111
HumanS60-2-1	Kneaddata	Human	Single	50%	60G	0.999864247
HumanS60-2-2	Kneaddata	Human	Single	50%	60G	0.99986207
HumanS60-2-3	Kneaddata	Human	Single	50%	60G	0.999864122
HumanS60-2-4	Kneaddata	Human	Single	50%	60G	0.999860278
HumanS60-2-5	Kneaddata	Human	Single	50%	60G	0.999864247
HumanS60-2-1	BWA	Human	Single	50%	60G	0.999934853
HumanS60-2-2	BWA	Human	Single	50%	60G	0.999809225
HumanS60-2-3	BWA	Human	Single	50%	60G	0.99986307
HumanS60-2-4	BWA	Human	Single	50%	60G	0.99993328
HumanS60-2-5	BWA	Human	Single	50%	60G	0.99993479
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	0.998946861
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	0.998814218
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	0.998828989
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	0.998517357
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	0.99885464
HumanS60-2-1	Kraken2	Human	Single	50%	60G	0.991186121
HumanS60-2-2	Kraken2	Human	Single	50%	60G	0.990660588
HumanS60-2-3	Kraken2	Human	Single	50%	60G	0.991152526
HumanS60-2-4	Kraken2	Human	Single	50%	60G	0.991132932
HumanS60-2-5	Kraken2	Human	Single	50%	60G	0.988452829
HumanS60-2-1	KMCP	Human	Single	50%	60G	0.894715546
HumanS60-2-2	KMCP	Human	Single	50%	60G	0.896322947
HumanS60-2-3	KMCP	Human	Single	50%	60G	0.896060233
HumanS60-2-4	KMCP	Human	Single	50%	60G	0.899876622
HumanS60-2-5	KMCP	Human	Single	50%	60G	0.897363971
HumanS60-2-1	KrakenUniq	Human	Single	50%	60G	0.999892091
HumanS60-2-2	KrakenUniq	Human	Single	50%	60G	0.999890747
HumanS60-2-3	KrakenUniq	Human	Single	50%	60G	0.999891914
HumanS60-2-4	KrakenUniq	Human	Single	50%	60G	0.999888466
HumanS60-2-5	KrakenUniq	Human	Single	50%	60G	0.999892018
HumanS60-3-1	Kneaddata	Human	Single	10%	60G	0.999754786
