SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Accuracy
RiceS10-3-5	KrakenUniq	Rice	Single	10%	10G	0.999174931
RiceS30-1-1	Kneaddata	Rice	Single	90%	30G	0.999797829
RiceS30-1-2	Kneaddata	Rice	Single	90%	30G	0.999793204
RiceS30-1-3	Kneaddata	Rice	Single	90%	30G	0.999794724
RiceS30-1-4	Kneaddata	Rice	Single	90%	30G	0.999791849
RiceS30-1-5	Kneaddata	Rice	Single	90%	30G	0.999795683
RiceS30-1-1	BWA	Rice	Single	90%	30G	0.999634429
RiceS30-1-2	BWA	Rice	Single	90%	30G	0.999688222
RiceS30-1-3	BWA	Rice	Single	90%	30G	0.999638679
RiceS30-1-4	BWA	Rice	Single	90%	30G	0.999601866
RiceS30-1-5	BWA	Rice	Single	90%	30G	0.99951477
RiceS30-1-1	Bowtie2	Rice	Single	90%	30G	0.999803079
RiceS30-1-2	Bowtie2	Rice	Single	90%	30G	0.999799131
RiceS30-1-3	Bowtie2	Rice	Single	90%	30G	0.999801152
RiceS30-1-4	Bowtie2	Rice	Single	90%	30G	0.999802579
RiceS30-1-5	Bowtie2	Rice	Single	90%	30G	0.999801995
RiceS30-1-1	Kraken2	Rice	Single	90%	30G	0.980746746
RiceS30-1-2	Kraken2	Rice	Single	90%	30G	0.980739684
RiceS30-1-3	Kraken2	Rice	Single	90%	30G	0.980749684
RiceS30-1-4	Kraken2	Rice	Single	90%	30G	0.98076432
RiceS30-1-5	Kraken2	Rice	Single	90%	30G	0.980747132
RiceS30-1-1	KMCP	Rice	Single	90%	30G	0.772953755
RiceS30-1-2	KMCP	Rice	Single	90%	30G	0.772858524
RiceS30-1-3	KMCP	Rice	Single	90%	30G	0.772894379
RiceS30-1-4	KMCP	Rice	Single	90%	30G	0.772914421
RiceS30-1-5	KMCP	Rice	Single	90%	30G	0.773040278
RiceS30-1-1	KrakenUniq	Rice	Single	90%	30G	0.999911185
RiceS30-1-2	KrakenUniq	Rice	Single	90%	30G	0.999908144
RiceS30-1-3	KrakenUniq	Rice	Single	90%	30G	0.999909602
RiceS30-1-4	KrakenUniq	Rice	Single	90%	30G	0.999907102
RiceS30-1-5	KrakenUniq	Rice	Single	90%	30G	0.999908602
RiceS30-2-1	Kneaddata	Rice	Single	50%	30G	0.998979185
RiceS30-2-2	Kneaddata	Rice	Single	50%	30G	0.998973768
RiceS30-2-3	Kneaddata	Rice	Single	50%	30G	0.998975435
RiceS30-2-4	Kneaddata	Rice	Single	50%	30G	0.998969497
RiceS30-2-5	Kneaddata	Rice	Single	50%	30G	0.998967789
RiceS30-2-1	BWA	Rice	Single	50%	30G	0.998022569
RiceS30-2-2	BWA	Rice	Single	50%	30G	0.998119613
RiceS30-2-3	BWA	Rice	Single	50%	30G	0.997909556
RiceS30-2-4	BWA	Rice	Single	50%	30G	0.998071675
RiceS30-2-5	BWA	Rice	Single	50%	30G	0.997929192
RiceS30-2-1	Bowtie2	Rice	Single	50%	30G	0.999889654
RiceS30-2-2	Bowtie2	Rice	Single	50%	30G	0.999886727
RiceS30-2-3	Bowtie2	Rice	Single	50%	30G	0.999889987
RiceS30-2-4	Bowtie2	Rice	Single	50%	30G	0.999888425
RiceS30-2-5	Bowtie2	Rice	Single	50%	30G	0.999888331
RiceS30-2-1	Kraken2	Rice	Single	50%	30G	0.98903303
RiceS30-2-2	Kraken2	Rice	Single	50%	30G	0.989044916
RiceS30-2-3	Kraken2	Rice	Single	50%	30G	0.989042634
RiceS30-2-4	Kraken2	Rice	Single	50%	30G	0.989052562
RiceS30-2-5	Kraken2	Rice	Single	50%	30G	0.98905278
RiceS30-2-1	KMCP	Rice	Single	50%	30G	0.873885172
RiceS30-2-2	KMCP	Rice	Single	50%	30G	0.873842026
RiceS30-2-3	KMCP	Rice	Single	50%	30G	0.873850984
RiceS30-2-4	KMCP	Rice	Single	50%	30G	0.873894381
RiceS30-2-5	KMCP	Rice	Single	50%	30G	0.873942945
RiceS30-2-1	KrakenUniq	Rice	Single	50%	30G	0.999555261
RiceS30-2-2	KrakenUniq	Rice	Single	50%	30G	0.999551219
RiceS30-2-3	KrakenUniq	Rice	Single	50%	30G	0.999552927
RiceS30-2-4	KrakenUniq	Rice	Single	50%	30G	0.999550344
RiceS30-2-5	KrakenUniq	Rice	Single	50%	30G	0.999544781
RiceS30-3-1	Kneaddata	Rice	Single	10%	30G	0.998154291
RiceS30-3-2	Kneaddata	Rice	Single	10%	30G	0.998149624
RiceS30-3-3	Kneaddata	Rice	Single	10%	30G	0.998147895
RiceS30-3-4	Kneaddata	Rice	Single	10%	30G	0.998146666
RiceS30-3-5	Kneaddata	Rice	Single	10%	30G	0.998147041
RiceS30-3-1	BWA	Rice	Single	10%	30G	0.996331822
RiceS30-3-2	BWA	Rice	Single	10%	30G	0.996589359
RiceS30-3-3	BWA	Rice	Single	10%	30G	0.996153568
RiceS30-3-4	BWA	Rice	Single	10%	30G	0.996218559
RiceS30-3-5	BWA	Rice	Single	10%	30G	0.996237768
RiceS30-3-1	Bowtie2	Rice	Single	10%	30G	0.99997527
RiceS30-3-2	Bowtie2	Rice	Single	10%	30G	0.999974583
RiceS30-3-3	Bowtie2	Rice	Single	10%	30G	0.999975374
RiceS30-3-4	Bowtie2	Rice	Single	10%	30G	0.999974656
RiceS30-3-5	Bowtie2	Rice	Single	10%	30G	0.999974124
