Software	SampleID	GenomeProportion	Group	Software_Group	Software_GenomeProportion	PeakRSS	Times	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	Precision	Recall	Accuracy	F1	TPR	TNR
HostPurge	RiceS10-2-5	50%	10G	HostPurge10G	HostPurge0.5	6.28	31.74945	19999544	19999544	39999088	19622939	32561	0	19957194	0.998343415	1	0.999178016	0.999171021	1	0.998371116
Kneaddata	RiceS10-3-1	10%	10G	Kneaddata10G	Kneaddata0.1	6.48	72.6102	3999908	35999172	39999080	3999908	73482	0	35925690	0.98196048	1	0.998162908	0.990898143	1	0.997958786
Kneaddata	RiceS10-3-2	10%	10G	Kneaddata10G	Kneaddata0.1	6.48	72.23508333	3999908	35999172	39999080	3999908	73834	0	35925338	0.981875632	1	0.998154108	0.990854942	1	0.997949008
Kneaddata	RiceS10-3-3	10%	10G	Kneaddata10G	Kneaddata0.1	6.48	72.18831667	3999908	35999172	39999080	3999908	73724	0	35925448	0.981902145	1	0.998156858	0.990868442	1	0.997952064
Kneaddata	RiceS10-3-4	10%	10G	Kneaddata10G	Kneaddata0.1	6.48	72.22411667	3999908	35999172	39999080	3999908	74184	0	35924988	0.98179128	1	0.998145357	0.990811989	1	0.997939286
Kneaddata	RiceS10-3-5	10%	10G	Kneaddata10G	Kneaddata0.1	6.48	72.52773333	3999908	35999172	39999080	3999908	74562	0	35924610	0.981700197	1	0.998135907	0.990765604	1	0.997928786
Kraken2	RiceS10-3-1	10%	10G	Kraken210G	Kraken20.1	0.75	7.104283333	3999908	35999172	39999080	3914418	20847	85490	35978325	0.994702517	0.978627008	0.997341514	0.986599284	0.978627008	0.999420903
Kraken2	RiceS10-3-2	10%	10G	Kraken210G	Kraken20.1	0.75	7.110066667	3999908	35999172	39999080	3915286	21096	84622	35978076	0.994640764	0.978844013	0.997356989	0.986679166	0.978844013	0.999413987
Kraken2	RiceS10-3-3	10%	10G	Kraken210G	Kraken20.1	0.75	7.1799	3999908	35999172	39999080	3914268	20872	85640	35978300	0.994695996	0.978589508	0.997337139	0.986577019	0.978589508	0.999420209
Kraken2	RiceS10-3-4	10%	10G	Kraken210G	Kraken20.1	0.75	7.156233333	3999908	35999172	39999080	3914512	21227	85396	35977945	0.994606604	0.978650509	0.997334364	0.986564044	0.978650509	0.999410348
Kraken2	RiceS10-3-5	10%	10G	Kraken210G	Kraken20.1	0.75	7.144633333	3999908	35999172	39999080	3914846	21478	85062	35977694	0.99454364	0.978734011	0.997336439	0.986575493	0.978734011	0.999403375
HostPurge	RiceS10-3-1	10%	10G	HostPurge10G	HostPurge0.1	5.85	42.80368333	3999908	35999172	39999080	3924426	57985	0	35923988	0.985439725	1	0.998546975	0.992666473	1	0.998388499
HostPurge	RiceS10-3-2	10%	10G	HostPurge10G	HostPurge0.1	5.85	43.1223	3999908	35999172	39999080	3925144	58180	0	35923686	0.985394108	1	0.998542111	0.992643329	1	0.998383074
HostPurge	RiceS10-3-3	10%	10G	HostPurge10G	HostPurge0.1	5.85	42.81516667	3999908	35999172	39999080	3924328	58176	0	35923874	0.985392105	1	0.998542188	0.992642312	1	0.998383194
HostPurge	RiceS10-3-4	10%	10G	HostPurge10G	HostPurge0.1	5.85	42.99643333	3999908	35999172	39999080	3924490	58491	0	35923266	0.985314768	1	0.99853429	0.992603071	1	0.998374426
HostPurge	RiceS10-3-5	10%	10G	HostPurge10G	HostPurge0.1	5.85	43.8893	3999908	35999172	39999080	3924846	58686	0	35922808	0.985267848	1	0.998529407	0.992579262	1	0.998368995
Kneaddata	RiceS30-1-1	90%	30G	Kneaddata30G	Kneaddata0.9	15.09	917.9408333	86398020	9599780	95997800	86398020	19408	0	9580372	0.999775416	1	0.999797829	0.999887695	1	0.997978287
Kneaddata	RiceS30-1-2	90%	30G	Kneaddata30G	Kneaddata0.9	15.09	873.6557667	86398020	9599780	95997800	86398020	19852	0	9579928	0.999770279	1	0.999793204	0.999885126	1	0.997932036
Kneaddata	RiceS30-1-3	90%	30G	Kneaddata30G	Kneaddata0.9	15.09	871.1562333	86398020	9599780	95997800	86398020	19706	0	9580074	0.999771968	1	0.999794724	0.999885971	1	0.997947245
Kneaddata	RiceS30-1-4	90%	30G	Kneaddata30G	Kneaddata0.9	15.09	922.4200333	86398020	9599780	95997800	86398020	19982	0	9579798	0.999768775	1	0.999791849	0.999884374	1	0.997918494
Kneaddata	RiceS30-1-5	90%	30G	Kneaddata30G	Kneaddata0.9	15.09	1112.824583	86398020	9599780	95997800	84555423	19614	0	9580166	0.999768088	1	0.999791684	0.99988403	1	0.997956828
Kraken2	RiceS30-1-1	90%	30G	Kraken230G	Kraken20.9	0.76	29.29858333	86398020	9599780	95997800	86398020	5636	1842597	9594144	0.999934771	0.979118494	0.981109715	0.989417157	0.979118494	0.999412903
Kraken2	RiceS30-1-2	90%	30G	Kraken230G	Kraken20.9	0.75	25.3889	86398020	9599780	95997800	84555281	5531	1842739	9594249	0.999934591	0.978671514	0.980746746	0.989188801	0.978671514	0.999423841
Kraken2	RiceS30-1-3	90%	30G	Kraken230G	Kraken20.9	0.76	25.35878333	86398020	9599780	95997800	84554708	5636	1843312	9594144	0.999933349	0.978664881	0.980739684	0.989184805	0.978664881	0.999412903
Kraken2	RiceS30-1-4	90%	30G	Kraken230G	Kraken20.9	0.76	25.40005	86398020	9599780	95997800	84555654	5622	1842366	9594158	0.999933516	0.978675831	0.980749684	0.98919048	0.978675831	0.999414362
Kraken2	RiceS30-1-5	90%	30G	Kraken230G	Kraken20.9	0.75	25.51481667	86398020	9599780	95997800	84557088	5651	1840932	9594129	0.999933174	0.978692428	0.98076432	0.98919879	0.978692428	0.999411341
HostPurge	RiceS30-1-1	90%	30G	HostPurge30G	HostPurge0.9	2.17	57.33576667	86398020	9599780	95997800	86615082	15382	0	9579914	0.999822441	1	0.999840121	0.999911213	1	0.998396923
HostPurge	RiceS30-1-2	90%	30G	HostPurge30G	HostPurge0.9	2.17	53.51346667	86398020	9599780	95997800	84772097	15567	0	9579496	0.9998164	1	0.999835038	0.999908192	1	0.998377603
HostPurge	RiceS30-1-3	90%	30G	HostPurge30G	HostPurge0.9	2.17	53.4385	86398020	9599780	95997800	84770828	15526	0	9579674	0.999816881	1	0.99983547	0.999908432	1	0.998381899
HostPurge	RiceS30-1-4	90%	30G	HostPurge30G	HostPurge0.9	2.17	53.3919	86398020	9599780	95997800	84772032	15708	0	9579416	0.999814737	1	0.999833544	0.99990736	1	0.998362918
HostPurge	RiceS30-1-5	90%	30G	HostPurge30G	HostPurge0.9	2.17	53.62561667	86398020	9599780	95997800	84774288	15437	0	9579698	0.999817938	1	0.999836419	0.999908961	1	0.998391164
Kneaddata	RiceS30-2-1	50%	30G	Kneaddata30G	Kneaddata0.5	16.32	564.7113	47998900	47998900	95997800	47998900	97996	0	47900904	0.99796253	1	0.998979185	0.998980226	1	0.99795837
Kneaddata	RiceS30-2-2	50%	30G	Kneaddata30G	Kneaddata0.5	16.19	537.9909667	47998900	47998900	95997800	47998900	98516	0	47900384	0.99795174	1	0.998973768	0.99897482	1	0.997947536
Kneaddata	RiceS30-2-3	50%	30G	Kneaddata30G	Kneaddata0.5	16.32	515.441	47998900	47998900	95997800	47998900	98356	0	47900544	0.99795506	1	0.998975435	0.998976484	1	0.99795087
Kneaddata	RiceS30-2-4	50%	30G	Kneaddata30G	Kneaddata0.5	16.32	511.3117667	47998900	47998900	95997800	47998900	98926	0	47899974	0.997943233	1	0.998969497	0.998970558	1	0.997938994
Kneaddata	RiceS30-2-5	50%	30G	Kneaddata30G	Kneaddata0.5	16.19	500.9322333	47998900	47998900	95997800	47998900	99090	0	47899810	0.997939831	1	0.998967789	0.998968853	1	0.997935578
Kraken2	RiceS30-2-1	50%	30G	Kraken230G	Kraken20.5	0.76	19.29408333	47998900	47998900	95997800	46973897	27802	1025003	47971098	0.999408489	0.978645281	0.98903303	0.988917912	0.978645281	0.999420778
Kraken2	RiceS30-2-2	50%	30G	Kraken230G	Kraken20.5	0.76	17.71255	47998900	47998900	95997800	46975423	28187	1023477	47970713	0.999400323	0.978677074	0.989044916	0.988930145	0.978677074	0.999412757
Kraken2	RiceS30-2-3	50%	30G	Kraken230G	Kraken20.5	0.77	17.70686667	47998900	47998900	95997800	46974963	27946	1023937	47970954	0.999405441	0.97866749	0.989042634	0.988927758	0.97866749	0.999417778
Kraken2	RiceS30-2-4	50%	30G	Kraken230G	Kraken20.5	0.78	17.73528333	47998900	47998900	95997800	46976182	28212	1022718	47970688	0.999399801	0.978692887	0.989052562	0.988937963	0.978692887	0.999412237
Kraken2	RiceS30-2-5	50%	30G	Kraken230G	Kraken20.5	0.77	17.72871667	47998900	47998900	95997800	46976454	28463	1022446	47970437	0.999394468	0.978698554	0.98905278	0.988938244	0.978698554	0.999407007
HostPurge	RiceS30-2-1	50%	30G	HostPurge30G	HostPurge0.5	8.51	76.2424	47998900	47998900	95997800	47094143	77296	0	47898642	0.998361381	1	0.999186958	0.999180019	1	0.998388859
HostPurge	RiceS30-2-2	50%	30G	HostPurge30G	HostPurge0.5	8.51	74.5669	47998900	47998900	95997800	47095293	77641	0	47898148	0.99835412	1	0.999183337	0.999176382	1	0.998381663
HostPurge	RiceS30-2-3	50%	30G	HostPurge30G	HostPurge0.5	8.51	74.08186667	47998900	47998900	95997800	47095503	77540	0	47898438	0.998356265	1	0.999184403	0.999177456	1	0.998383774
HostPurge	RiceS30-2-4	50%	30G	HostPurge30G	HostPurge0.5	8.51	74.12135	47998900	47998900	95997800	47096486	78136	0	47897682	0.998343686	1	0.999178141	0.999171156	1	0.998371346
HostPurge	RiceS30-2-5	50%	30G	HostPurge30G	HostPurge0.5	8.51	72.36941667	47998900	47998900	95997800	47096462	78069	0	47897438	0.998345103	1	0.999178843	0.999171866	1	0.998372732
Kneaddata	RiceS30-3-1	10%	30G	Kneaddata30G	Kneaddata0.1	15.18	169.6266667	9599780	86398020	95997800	9599780	177184	0	86220836	0.981877401	1	0.998154291	0.990855842	1	0.997949212
Kneaddata	RiceS30-3-2	10%	30G	Kneaddata30G	Kneaddata0.1	15.18	169.6169167	9599780	86398020	95997800	9599780	177632	0	86220388	0.981832411	1	0.998149624	0.990832934	1	0.997944027
Kneaddata	RiceS30-3-3	10%	30G	Kneaddata30G	Kneaddata0.1	15.18	169.9146333	9599780	86398020	95997800	9599780	177798	0	86220222	0.981815742	1	0.998147895	0.990824446	1	0.997942106
Kneaddata	RiceS30-3-4	10%	30G	Kneaddata30G	Kneaddata0.1	15.18	169.6298667	9599780	86398020	95997800	9599780	177916	0	86220104	0.981803893	1	0.998146666	0.990818412	1	0.99794074
Kneaddata	RiceS30-3-5	10%	30G	Kneaddata30G	Kneaddata0.1	15.18	169.6735667	9599780	86398020	95997800	9599780	177880	0	86220140	0.981807508	1	0.998147041	0.990820253	1	0.997941157
