SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	F1
RiceS10-3-5	KrakenUniq	Rice	Single	10%	10G	0.995891593
RiceS30-1-1	Kneaddata	Rice	Single	90%	30G	0.999887695
RiceS30-1-2	Kneaddata	Rice	Single	90%	30G	0.999885126
RiceS30-1-3	Kneaddata	Rice	Single	90%	30G	0.999885971
RiceS30-1-4	Kneaddata	Rice	Single	90%	30G	0.999884374
RiceS30-1-5	Kneaddata	Rice	Single	90%	30G	0.999886503
RiceS30-1-1	BWA	Rice	Single	90%	30G	0.999796946
RiceS30-1-2	BWA	Rice	Single	90%	30G	0.99982682
RiceS30-1-3	BWA	Rice	Single	90%	30G	0.999799307
RiceS30-1-4	BWA	Rice	Single	90%	30G	0.999778863
RiceS30-1-5	BWA	Rice	Single	90%	30G	0.9997305
RiceS30-1-1	Bowtie2	Rice	Single	90%	30G	0.999890587
RiceS30-1-2	Bowtie2	Rice	Single	90%	30G	0.999888394
RiceS30-1-3	Bowtie2	Rice	Single	90%	30G	0.999889517
RiceS30-1-4	Bowtie2	Rice	Single	90%	30G	0.99989031
RiceS30-1-5	Bowtie2	Rice	Single	90%	30G	0.999889985
RiceS30-1-1	Kraken2	Rice	Single	90%	30G	0.989188801
RiceS30-1-2	Kraken2	Rice	Single	90%	30G	0.989184805
RiceS30-1-3	Kraken2	Rice	Single	90%	30G	0.98919048
RiceS30-1-4	Kraken2	Rice	Single	90%	30G	0.98919879
RiceS30-1-5	Kraken2	Rice	Single	90%	30G	0.989189033
RiceS30-1-1	KMCP	Rice	Single	90%	30G	0.855656122
RiceS30-1-2	KMCP	Rice	Single	90%	30G	0.855586836
RiceS30-1-3	KMCP	Rice	Single	90%	30G	0.855612923
RiceS30-1-4	KMCP	Rice	Single	90%	30G	0.855627505
RiceS30-1-5	KMCP	Rice	Single	90%	30G	0.855719065
RiceS30-1-1	KrakenUniq	Rice	Single	90%	30G	0.999950661
RiceS30-1-2	KrakenUniq	Rice	Single	90%	30G	0.999948971
RiceS30-1-3	KrakenUniq	Rice	Single	90%	30G	0.999949781
RiceS30-1-4	KrakenUniq	Rice	Single	90%	30G	0.999948393
RiceS30-1-5	KrakenUniq	Rice	Single	90%	30G	0.999949226
RiceS30-2-1	Kneaddata	Rice	Single	50%	30G	0.998980226
RiceS30-2-2	Kneaddata	Rice	Single	50%	30G	0.99897482
RiceS30-2-3	Kneaddata	Rice	Single	50%	30G	0.998976484
RiceS30-2-4	Kneaddata	Rice	Single	50%	30G	0.998970558
RiceS30-2-5	Kneaddata	Rice	Single	50%	30G	0.998968853
RiceS30-2-1	BWA	Rice	Single	50%	30G	0.998026472
RiceS30-2-2	BWA	Rice	Single	50%	30G	0.998123142
RiceS30-2-3	BWA	Rice	Single	50%	30G	0.997913917
RiceS30-2-4	BWA	Rice	Single	50%	30G	0.998075386
RiceS30-2-5	BWA	Rice	Single	50%	30G	0.997933472
RiceS30-2-1	Bowtie2	Rice	Single	50%	30G	0.999889642
RiceS30-2-2	Bowtie2	Rice	Single	50%	30G	0.999886714
RiceS30-2-3	Bowtie2	Rice	Single	50%	30G	0.999889975
RiceS30-2-4	Bowtie2	Rice	Single	50%	30G	0.999888412
RiceS30-2-5	Bowtie2	Rice	Single	50%	30G	0.999888319
RiceS30-2-1	Kraken2	Rice	Single	50%	30G	0.988917912
RiceS30-2-2	Kraken2	Rice	Single	50%	30G	0.988930145
RiceS30-2-3	Kraken2	Rice	Single	50%	30G	0.988927758
RiceS30-2-4	Kraken2	Rice	Single	50%	30G	0.988937963
RiceS30-2-5	Kraken2	Rice	Single	50%	30G	0.988938244
RiceS30-2-1	KMCP	Rice	Single	50%	30G	0.855684898
RiceS30-2-2	KMCP	Rice	Single	50%	30G	0.855628396
RiceS30-2-3	KMCP	Rice	Single	50%	30G	0.855640128
RiceS30-2-4	KMCP	Rice	Single	50%	30G	0.855696956
RiceS30-2-5	KMCP	Rice	Single	50%	30G	0.855760543
RiceS30-2-1	KrakenUniq	Rice	Single	50%	30G	0.999555458
RiceS30-2-2	KrakenUniq	Rice	Single	50%	30G	0.99955142
RiceS30-2-3	KrakenUniq	Rice	Single	50%	30G	0.999553126
RiceS30-2-4	KrakenUniq	Rice	Single	50%	30G	0.999550545
RiceS30-2-5	KrakenUniq	Rice	Single	50%	30G	0.999544988
RiceS30-3-1	Kneaddata	Rice	Single	10%	30G	0.990855842
RiceS30-3-2	Kneaddata	Rice	Single	10%	30G	0.990832934
RiceS30-3-3	Kneaddata	Rice	Single	10%	30G	0.990824446
RiceS30-3-4	Kneaddata	Rice	Single	10%	30G	0.990818412
RiceS30-3-5	Kneaddata	Rice	Single	10%	30G	0.990820253
RiceS30-3-1	BWA	Rice	Single	10%	30G	0.981989441
RiceS30-3-2	BWA	Rice	Single	10%	30G	0.983232732
RiceS30-3-3	BWA	Rice	Single	10%	30G	0.981130737
RiceS30-3-4	BWA	Rice	Single	10%	30G	0.981443645
RiceS30-3-5	BWA	Rice	Single	10%	30G	0.981536166
RiceS30-3-1	Bowtie2	Rice	Single	10%	30G	0.99987634
RiceS30-3-2	Bowtie2	Rice	Single	10%	30G	0.999872901
RiceS30-3-3	Bowtie2	Rice	Single	10%	30G	0.99987686
RiceS30-3-4	Bowtie2	Rice	Single	10%	30G	0.999873266
RiceS30-3-5	Bowtie2	Rice	Single	10%	30G	0.999870609
RiceS30-3-1	Kraken2	Rice	Single	10%	30G	0.98663088
RiceS30-3-2	Kraken2	Rice	Single	10%	30G	0.986586542
RiceS30-3-3	Kraken2	Rice	Single	10%	30G	0.986596357
RiceS30-3-4	Kraken2	Rice	Single	10%	30G	0.98659049
RiceS30-3-5	Kraken2	Rice	Single	10%	30G	0.986579408
RiceS30-3-1	KMCP	Rice	Single	10%	30G	0.855732038
RiceS30-3-2	KMCP	Rice	Single	10%	30G	0.855796821
RiceS30-3-3	KMCP	Rice	Single	10%	30G	0.855659472
RiceS30-3-4	KMCP	Rice	Single	10%	30G	0.855672021
RiceS30-3-5	KMCP	Rice	Single	10%	30G	0.855493163
RiceS30-3-1	KrakenUniq	Rice	Single	10%	30G	0.99599166
RiceS30-3-2	KrakenUniq	Rice	Single	10%	30G	0.995974608
RiceS30-3-3	KrakenUniq	Rice	Single	10%	30G	0.995969131
RiceS30-3-4	KrakenUniq	Rice	Single	10%	30G	0.995977814
RiceS30-3-5	KrakenUniq	Rice	Single	10%	30G	0.99596727
RiceS60-1-1	Kneaddata	Rice	Single	90%	60G	0.999886498
RiceS60-1-2	Kneaddata	Rice	Single	90%	60G	0.999886353
RiceS60-1-3	Kneaddata	Rice	Single	90%	60G	0.999886903
RiceS60-1-4	Kneaddata	Rice	Single	90%	60G	0.999886498
RiceS60-1-5	Kneaddata	Rice	Single	90%	60G	0.999885699
RiceS60-1-1	BWA	Rice	Single	90%	60G	0.999797895
RiceS60-1-2	BWA	Rice	Single	90%	60G	0.999801849
RiceS60-1-3	BWA	Rice	Single	90%	60G	0.999782239
RiceS60-1-4	BWA	Rice	Single	90%	60G	0.999771225
RiceS60-1-5	BWA	Rice	Single	90%	60G	0.999770056
RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	0.999890747
RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	0.999889554
RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	0.999890903
RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	0.999890917
RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	0.999890564
RiceS60-1-1	Kraken2	Rice	Single	90%	60G	0.981856932
RiceS60-1-2	Kraken2	Rice	Single	90%	60G	0.981855984
RiceS60-1-3	Kraken2	Rice	Single	90%	60G	0.981856279
RiceS60-1-4	Kraken2	Rice	Single	90%	60G	0.981876372
RiceS60-1-5	Kraken2	Rice	Single	90%	60G	0.981865108
RiceS60-1-1	KMCP	Rice	Single	90%	60G	0.855678804
RiceS60-1-2	KMCP	Rice	Single	90%	60G	0.855653985
RiceS60-1-3	KMCP	Rice	Single	90%	60G	0.855624686
