SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
HumanS30-2-5	Kneaddata	Human	Single	50%	30G	718.6415667
HumanS30-3-1	Kneaddata	Human	Single	10%	30G	235.2262
HumanS30-3-2	Kneaddata	Human	Single	10%	30G	238.9139167
HumanS30-3-3	Kneaddata	Human	Single	10%	30G	231.0254833
HumanS30-3-4	Kneaddata	Human	Single	10%	30G	238.1166667
HumanS30-3-5	Kneaddata	Human	Single	10%	30G	230.8345667
HumanS30-1-1	Kraken2	Human	Single	90%	30G	37.71965
HumanS30-1-2	Kraken2	Human	Single	90%	30G	34.78265
HumanS30-1-3	Kraken2	Human	Single	90%	30G	34.00226667
HumanS30-1-4	Kraken2	Human	Single	90%	30G	34.15408333
HumanS30-1-5	Kraken2	Human	Single	90%	30G	35.27168333
HumanS30-2-1	Kraken2	Human	Single	50%	30G	27.44423333
HumanS30-2-2	Kraken2	Human	Single	50%	30G	27.32015
HumanS30-2-3	Kraken2	Human	Single	50%	30G	27.10325
HumanS30-2-4	Kraken2	Human	Single	50%	30G	31.43868333
HumanS30-2-5	Kraken2	Human	Single	50%	30G	32.86773333
HumanS30-3-1	Kraken2	Human	Single	10%	30G	27.43913333
HumanS30-3-2	Kraken2	Human	Single	10%	30G	31.89183333
HumanS30-3-3	Kraken2	Human	Single	10%	30G	32.85933333
HumanS30-3-4	Kraken2	Human	Single	10%	30G	33.0732
HumanS30-3-5	Kraken2	Human	Single	10%	30G	33.09036667
HumanS30-1-1	KMCP	Human	Single	90%	30G	221.9747
HumanS30-1-2	KMCP	Human	Single	90%	30G	230.9822833
HumanS30-1-3	KMCP	Human	Single	90%	30G	231.68465
HumanS30-1-4	KMCP	Human	Single	90%	30G	213.5566
HumanS30-1-5	KMCP	Human	Single	90%	30G	212.9432833
HumanS30-2-1	KMCP	Human	Single	50%	30G	215.7506833
HumanS30-2-2	KMCP	Human	Single	50%	30G	226.7789833
HumanS30-2-3	KMCP	Human	Single	50%	30G	225.2798667
HumanS30-2-4	KMCP	Human	Single	50%	30G	210.6833
HumanS30-2-5	KMCP	Human	Single	50%	30G	208.5350167
HumanS30-3-1	KMCP	Human	Single	10%	30G	210.81965
HumanS30-3-2	KMCP	Human	Single	10%	30G	226.3768333
HumanS30-3-3	KMCP	Human	Single	10%	30G	223.7126167
HumanS30-3-4	KMCP	Human	Single	10%	30G	209.1769833
HumanS30-3-5	KMCP	Human	Single	10%	30G	206.2068667
HumanS30-1-1	KrakenUniq	Human	Single	90%	30G	69.7891
HumanS30-1-2	KrakenUniq	Human	Single	90%	30G	74.63256667
HumanS30-1-3	KrakenUniq	Human	Single	90%	30G	75.08445
HumanS30-1-4	KrakenUniq	Human	Single	90%	30G	68.68853333
HumanS30-1-5	KrakenUniq	Human	Single	90%	30G	70.79816667
HumanS30-2-1	KrakenUniq	Human	Single	50%	30G	58.38243333
HumanS30-2-2	KrakenUniq	Human	Single	50%	30G	58.54605
HumanS30-2-3	KrakenUniq	Human	Single	50%	30G	61.77651667
HumanS30-2-4	KrakenUniq	Human	Single	50%	30G	62.59493333
HumanS30-2-5	KrakenUniq	Human	Single	50%	30G	59.88346667
HumanS30-3-1	KrakenUniq	Human	Single	10%	30G	45.97855
HumanS30-3-2	KrakenUniq	Human	Single	10%	30G	53.50385
HumanS30-3-3	KrakenUniq	Human	Single	10%	30G	50.5956
HumanS30-3-4	KrakenUniq	Human	Single	10%	30G	48.82858333
HumanS30-3-5	KrakenUniq	Human	Single	10%	30G	50.8606
HumanS60-1-1	Bowtie2	Human	Single	90%	60G	833.5232167
HumanS60-1-2	Bowtie2	Human	Single	90%	60G	831.2908
HumanS60-1-3	Bowtie2	Human	Single	90%	60G	887.6742333
HumanS60-1-4	Bowtie2	Human	Single	90%	60G	909.33985
HumanS60-1-5	Bowtie2	Human	Single	90%	60G	883.709
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	556.52875
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	542.84715
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	535.8918667
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	565.93455
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	570.91985
HumanS60-3-1	Bowtie2	Human	Single	10%	60G	169.9165333
HumanS60-3-2	Bowtie2	Human	Single	10%	60G	171.0274833
HumanS60-3-3	Bowtie2	Human	Single	10%	60G	171.5506667
HumanS60-3-4	Bowtie2	Human	Single	10%	60G	156.6538333
HumanS60-3-5	Bowtie2	Human	Single	10%	60G	170.6323
HumanS60-1-1	BWA	Human	Single	90%	60G	2081.079733
HumanS60-1-2	BWA	Human	Single	90%	60G	2274.77785
HumanS60-1-3	BWA	Human	Single	90%	60G	2447.997217
HumanS60-1-4	BWA	Human	Single	90%	60G	2533.347467
HumanS60-1-5	BWA	Human	Single	90%	60G	2109.64995
HumanS60-2-1	BWA	Human	Single	50%	60G	1531.725383
HumanS60-2-2	BWA	Human	Single	50%	60G	1549.126683
HumanS60-2-3	BWA	Human	Single	50%	60G	1701.493617
HumanS60-2-4	BWA	Human	Single	50%	60G	1744.315767
HumanS60-2-5	BWA	Human	Single	50%	60G	1479.236067
HumanS60-3-1	BWA	Human	Single	10%	60G	722.73595
HumanS60-3-2	BWA	Human	Single	10%	60G	762.4044833
HumanS60-3-3	BWA	Human	Single	10%	60G	751.6674667
HumanS60-3-4	BWA	Human	Single	10%	60G	759.229
HumanS60-3-5	BWA	Human	Single	10%	60G	751.7468833
HumanS60-1-1	Kneaddata	Human	Single	90%	60G	2338.3572
HumanS60-1-2	Kneaddata	Human	Single	90%	60G	2384.057683
HumanS60-1-3	Kneaddata	Human	Single	90%	60G	2367.7224
HumanS60-1-4	Kneaddata	Human	Single	90%	60G	2604.50675
HumanS60-1-5	Kneaddata	Human	Single	90%	60G	2386.837533
HumanS60-2-1	Kneaddata	Human	Single	50%	60G	1404.900483
HumanS60-2-2	Kneaddata	Human	Single	50%	60G	1390.942033
HumanS60-2-3	Kneaddata	Human	Single	50%	60G	1452.802183
HumanS60-2-4	Kneaddata	Human	Single	50%	60G	1528.9055
HumanS60-2-5	Kneaddata	Human	Single	50%	60G	1522.5018
HumanS60-3-1	Kneaddata	Human	Single	10%	60G	464.2505333
HumanS60-3-2	Kneaddata	Human	Single	10%	60G	460.2624833
HumanS60-3-3	Kneaddata	Human	Single	10%	60G	456.2115167
HumanS60-3-4	Kneaddata	Human	Single	10%	60G	465.4139
HumanS60-3-5	Kneaddata	Human	Single	10%	60G	461.0307667
HumanS60-1-1	Kraken2	Human	Single	90%	60G	60.33003333
HumanS60-1-2	Kraken2	Human	Single	90%	60G	58.54558333
HumanS60-1-3	Kraken2	Human	Single	90%	60G	60.11646667
HumanS60-1-4	Kraken2	Human	Single	90%	60G	60.07896667
HumanS60-1-5	Kraken2	Human	Single	90%	60G	58.98033333
HumanS60-2-1	Kraken2	Human	Single	50%	60G	70.25238333
HumanS60-2-2	Kraken2	Human	Single	50%	60G	69.96375
HumanS60-2-3	Kraken2	Human	Single	50%	60G	70.46858333
HumanS60-2-4	Kraken2	Human	Single	50%	60G	70.23696667
HumanS60-2-5	Kraken2	Human	Single	50%	60G	71.52765
HumanS60-3-1	Kraken2	Human	Single	10%	60G	65.28406667
HumanS60-3-2	Kraken2	Human	Single	10%	60G	64.67535
HumanS60-3-3	Kraken2	Human	Single	10%	60G	68.67285
HumanS60-3-4	Kraken2	Human	Single	10%	60G	68.6377
HumanS60-3-5	Kraken2	Human	Single	10%	60G	66.82856667
HumanS60-1-1	KMCP	Human	Single	90%	60G	441.6749
HumanS60-1-2	KMCP	Human	Single	90%	60G	454.3990167
HumanS60-1-3	KMCP	Human	Single	90%	60G	418.0103333
HumanS60-1-4	KMCP	Human	Single	90%	60G	272.6723167
HumanS60-1-5	KMCP	Human	Single	90%	60G	243.7447
HumanS60-2-1	KMCP	Human	Single	50%	60G	349.7242333
HumanS60-2-2	KMCP	Human	Single	50%	60G	244.3457333
HumanS60-2-3	KMCP	Human	Single	50%	60G	363.97605
HumanS60-2-4	KMCP	Human	Single	50%	60G	383.6955
HumanS60-2-5	KMCP	Human	Single	50%	60G	340.1922
HumanS60-3-1	KMCP	Human	Single	10%	60G	205.1519
HumanS60-3-2	KMCP	Human	Single	10%	60G	204.4523833
HumanS60-3-3	KMCP	Human	Single	10%	60G	205.8073
HumanS60-3-4	KMCP	Human	Single	10%	60G	204.8969167
HumanS60-3-5	KMCP	Human	Single	10%	60G	206.0418
HumanS60-1-1	KrakenUniq	Human	Single	90%	60G	138.8017667
HumanS60-1-2	KrakenUniq	Human	Single	90%	60G	151.9437167
HumanS60-1-3	KrakenUniq	Human	Single	90%	60G	134.7311
HumanS60-1-4	KrakenUniq	Human	Single	90%	60G	151.9938
HumanS60-1-5	KrakenUniq	Human	Single	90%	60G	121.9088167
HumanS60-2-1	KrakenUniq	Human	Single	50%	60G	118.4055167
HumanS60-2-2	KrakenUniq	Human	Single	50%	60G	118.08065
HumanS60-2-3	KrakenUniq	Human	Single	50%	60G	126.38655
HumanS60-2-4	KrakenUniq	Human	Single	50%	60G	122.9788167
HumanS60-2-5	KrakenUniq	Human	Single	50%	60G	131.1783667
HumanS60-3-1	KrakenUniq	Human	Single	10%	60G	102.6874333
HumanS60-3-2	KrakenUniq	Human	Single	10%	60G	110.6483
HumanS60-3-3	KrakenUniq	Human	Single	10%	60G	99.1601
HumanS60-3-4	KrakenUniq	Human	Single	10%	60G	100.8682667
HumanS60-3-5	KrakenUniq	Human	Single	10%	60G	100.8682667
RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	187.3283167
RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	185.1307333
RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	178.62925
RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	178.6082833
RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	183.5368167
RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	111.70525
RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	105.5545833
RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	109.84275
RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	104.4167667
RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	104.3827667
RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	33.40208333
RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	31.86333333
RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	30.64135
RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	31.30763333
RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	32.07216667
RiceM10-1-1	BWA	Rice	Multiple	90%	10G	221.9793333
RiceM10-1-2	BWA	Rice	Multiple	90%	10G	249.3843333
RiceM10-1-3	BWA	Rice	Multiple	90%	10G	256.72045
RiceM10-1-4	BWA	Rice	Multiple	90%	10G	229.0841167
RiceM10-1-5	BWA	Rice	Multiple	90%	10G	227.0979
RiceM10-2-1	BWA	Rice	Multiple	50%	10G	221.9793333
RiceM10-2-2	BWA	Rice	Multiple	50%	10G	249.3843333
RiceM10-2-3	BWA	Rice	Multiple	50%	10G	256.72045
RiceM10-2-4	BWA	Rice	Multiple	50%	10G	229.0841167
RiceM10-2-5	BWA	Rice	Multiple	50%	10G	227.0979
RiceM10-3-1	BWA	Rice	Multiple	10%	10G	128.15935
RiceM10-3-2	BWA	Rice	Multiple	10%	10G	134.2503667
RiceM10-3-3	BWA	Rice	Multiple	10%	10G	121.7813833
RiceM10-3-4	BWA	Rice	Multiple	10%	10G	110.5470333
RiceM10-3-5	BWA	Rice	Multiple	10%	10G	129.0065
RiceM10-1-1	Kneaddata	Rice	Multiple	90%	10G	367.2485333
RiceM10-1-2	Kneaddata	Rice	Multiple	90%	10G	363.6475
RiceM10-1-3	Kneaddata	Rice	Multiple	90%	10G	356.5056833
RiceM10-1-4	Kneaddata	Rice	Multiple	90%	10G	374.8211833
RiceM10-1-5	Kneaddata	Rice	Multiple	90%	10G	371.6665
RiceM10-2-1	Kneaddata	Rice	Multiple	50%	10G	281.6902
RiceM10-2-2	Kneaddata	Rice	Multiple	50%	10G	286.16775
RiceM10-2-3	Kneaddata	Rice	Multiple	50%	10G	281.3608833
RiceM10-2-4	Kneaddata	Rice	Multiple	50%	10G	284.4828833
RiceM10-2-5	Kneaddata	Rice	Multiple	50%	10G	278.4560167
RiceM10-3-1	Kneaddata	Rice	Multiple	10%	10G	81.183
RiceM10-3-2	Kneaddata	Rice	Multiple	10%	10G	78.69693333
RiceM10-3-3	Kneaddata	Rice	Multiple	10%	10G	79.44423333
RiceM10-3-4	Kneaddata	Rice	Multiple	10%	10G	79.05721667
RiceM10-3-5	Kneaddata	Rice	Multiple	10%	10G	77.74306667
RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	13.3867
RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	13.44685
RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	12.52068333
RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	13.12598333
RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	13.6429
RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	13.05438333
RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	13.42515
RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	13.51718333
RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	13.5625
RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	11.49046667
RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	11.90076667
RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	12.8203
RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	11.92588333
RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	12.442
RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	12.74181667
RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	60.91856667
RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	60.91623333
RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	60.87355
RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	60.64443333
RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	60.0641
RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	40.68551667
RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	40.72651667
RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	40.68385
RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	40.69338333
RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	40.68656667
RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	39.93695
RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	39.92805
RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	39.87731667
RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	39.82591667
RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	39.8189
RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	24.67118333
RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	23.59381667
RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	24.93063333
RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	22.24766667
RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	22.9417
RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	22.24766667
RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	20.23408333
RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	20.89588333
RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	21.15246667
RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	22.7321
RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	20.68591667
RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	20.74366667
RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	20.15553333
RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	19.12736667
RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	19.16538333
RiceM15-1-1	Bowtie2	Rice	Multiple	90%	30G	451.4259333
RiceM15-1-2	Bowtie2	Rice	Multiple	90%	30G	433.3998167
RiceM15-1-3	Bowtie2	Rice	Multiple	90%	30G	443.5436333
RiceM15-1-4	Bowtie2	Rice	Multiple	90%	30G	442.9458167
RiceM15-1-5	Bowtie2	Rice	Multiple	90%	30G	443.37475
RiceM15-2-1	Bowtie2	Rice	Multiple	50%	30G	250.3634333
RiceM15-2-2	Bowtie2	Rice	Multiple	50%	30G	249.8828
RiceM15-2-3	Bowtie2	Rice	Multiple	50%	30G	247.9868667
RiceM15-2-4	Bowtie2	Rice	Multiple	50%	30G	251.2808167
RiceM15-2-5	Bowtie2	Rice	Multiple	50%	30G	250.9217333
RiceM15-3-1	Bowtie2	Rice	Multiple	10%	30G	71.67305
RiceM15-3-2	Bowtie2	Rice	Multiple	10%	30G	71.73486667
RiceM15-3-3	Bowtie2	Rice	Multiple	10%	30G	70.14771667
RiceM15-3-4	Bowtie2	Rice	Multiple	10%	30G	70.25948333
RiceM15-3-5	Bowtie2	Rice	Multiple	10%	30G	71.09518333
RiceM15-1-1	BWA	Rice	Multiple	90%	30G	591.46345
RiceM15-1-2	BWA	Rice	Multiple	90%	30G	572.3188667
RiceM15-1-3	BWA	Rice	Multiple	90%	30G	603.64925
RiceM15-1-4	BWA	Rice	Multiple	90%	30G	604.5531667
RiceM15-1-5	BWA	Rice	Multiple	90%	30G	587.1028333
RiceM15-2-1	BWA	Rice	Multiple	50%	30G	440.02565
RiceM15-2-2	BWA	Rice	Multiple	50%	30G	441.8617167
RiceM15-2-3	BWA	Rice	Multiple	50%	30G	427.1023167
RiceM15-2-4	BWA	Rice	Multiple	50%	30G	419.70465
RiceM15-2-5	BWA	Rice	Multiple	50%	30G	427.3997167
RiceM15-3-1	BWA	Rice	Multiple	10%	30G	299.22965
RiceM15-3-2	BWA	Rice	Multiple	10%	30G	307.2310667
RiceM15-3-3	BWA	Rice	Multiple	10%	30G	266.9037667
RiceM15-3-4	BWA	Rice	Multiple	10%	30G	273.3081333
RiceM15-3-5	BWA	Rice	Multiple	10%	30G	293.2645333
RiceM15-1-1	Kneaddata	Rice	Multiple	90%	30G	859.8024333
RiceM15-1-2	Kneaddata	Rice	Multiple	90%	30G	826.4299833
RiceM15-1-3	Kneaddata	Rice	Multiple	90%	30G	854.1703
RiceM15-1-4	Kneaddata	Rice	Multiple	90%	30G	835.1660833
RiceM15-1-5	Kneaddata	Rice	Multiple	90%	30G	866.5630667
RiceM15-2-1	Kneaddata	Rice	Multiple	50%	30G	501.15945
RiceM15-2-2	Kneaddata	Rice	Multiple	50%	30G	502.5046
RiceM15-2-3	Kneaddata	Rice	Multiple	50%	30G	506.6755
RiceM15-2-4	Kneaddata	Rice	Multiple	50%	30G	500.0371167
RiceM15-2-5	Kneaddata	Rice	Multiple	50%	30G	493.2186667
RiceM15-3-1	Kneaddata	Rice	Multiple	10%	30G	177.3707667
RiceM15-3-2	Kneaddata	Rice	Multiple	10%	30G	182.7070667
RiceM15-3-3	Kneaddata	Rice	Multiple	10%	30G	177.4758
RiceM15-3-4	Kneaddata	Rice	Multiple	10%	30G	174.5699833
RiceM15-3-5	Kneaddata	Rice	Multiple	10%	30G	179.0786833
RiceM15-1-1	Kraken2	Rice	Multiple	90%	30G	32.33658333
RiceM15-1-2	Kraken2	Rice	Multiple	90%	30G	31.94808333
RiceM15-1-3	Kraken2	Rice	Multiple	90%	30G	34.39683333
RiceM15-1-4	Kraken2	Rice	Multiple	90%	30G	29.34086667
RiceM15-1-5	Kraken2	Rice	Multiple	90%	30G	29.33048333
RiceM15-2-1	Kraken2	Rice	Multiple	50%	30G	27.93488333
RiceM15-2-2	Kraken2	Rice	Multiple	50%	30G	27.6839
RiceM15-2-3	Kraken2	Rice	Multiple	50%	30G	27.93325
RiceM15-2-4	Kraken2	Rice	Multiple	50%	30G	27.8149
RiceM15-2-5	Kraken2	Rice	Multiple	50%	30G	27.75073333
RiceM15-3-1	Kraken2	Rice	Multiple	10%	30G	25.70116667
RiceM15-3-2	Kraken2	Rice	Multiple	10%	30G	25.92508333
RiceM15-3-3	Kraken2	Rice	Multiple	10%	30G	26.03968333
RiceM15-3-4	Kraken2	Rice	Multiple	10%	30G	25.98828333
RiceM15-3-5	Kraken2	Rice	Multiple	10%	30G	36.22866667
RiceM15-1-1	KMCP	Rice	Multiple	90%	30G	99.061
RiceM15-1-2	KMCP	Rice	Multiple	90%	30G	98.7925
RiceM15-1-3	KMCP	Rice	Multiple	90%	30G	98.49256667
RiceM15-1-4	KMCP	Rice	Multiple	90%	30G	98.4267
RiceM15-1-5	KMCP	Rice	Multiple	90%	30G	98.38488333
RiceM15-2-1	KMCP	Rice	Multiple	50%	30G	97.41023333
RiceM15-2-2	KMCP	Rice	Multiple	50%	30G	97.17498333
RiceM15-2-3	KMCP	Rice	Multiple	50%	30G	96.96525
RiceM15-2-4	KMCP	Rice	Multiple	50%	30G	96.84721667
RiceM15-2-5	KMCP	Rice	Multiple	50%	30G	96.90745
RiceM15-3-1	KMCP	Rice	Multiple	10%	30G	95.84621667
RiceM15-3-2	KMCP	Rice	Multiple	10%	30G	95.7257
RiceM15-3-3	KMCP	Rice	Multiple	10%	30G	95.5546
RiceM15-3-4	KMCP	Rice	Multiple	10%	30G	95.28805
RiceM15-3-5	KMCP	Rice	Multiple	10%	30G	95.3021
RiceM15-1-1	KrakenUniq	Rice	Multiple	90%	30G	61.94865
RiceM15-1-2	KrakenUniq	Rice	Multiple	90%	30G	50.01571667
RiceM15-1-3	KrakenUniq	Rice	Multiple	90%	30G	48.16363333
RiceM15-1-4	KrakenUniq	Rice	Multiple	90%	30G	48.28475
RiceM15-1-5	KrakenUniq	Rice	Multiple	90%	30G	55.18541667
RiceM15-2-1	KrakenUniq	Rice	Multiple	50%	30G	56.16088333
RiceM15-2-2	KrakenUniq	Rice	Multiple	50%	30G	53.5684
RiceM15-2-3	KrakenUniq	Rice	Multiple	50%	30G	52.76878333
RiceM15-2-4	KrakenUniq	Rice	Multiple	50%	30G	52.91226667
RiceM15-2-5	KrakenUniq	Rice	Multiple	50%	30G	52.0432
RiceM15-3-1	KrakenUniq	Rice	Multiple	10%	30G	48.25061667
RiceM15-3-2	KrakenUniq	Rice	Multiple	10%	30G	49.67166667
RiceM15-3-3	KrakenUniq	Rice	Multiple	10%	30G	45.8693
RiceM15-3-4	KrakenUniq	Rice	Multiple	10%	30G	46.91058333
RiceM15-3-5	KrakenUniq	Rice	Multiple	10%	30G	46.76793333
RiceM60-1-1	Bowtie2	Rice	Multiple	90%	60G	922.0504667
RiceM60-1-2	Bowtie2	Rice	Multiple	90%	60G	843.8788
RiceM60-1-3	Bowtie2	Rice	Multiple	90%	60G	841.0653333
RiceM60-1-4	Bowtie2	Rice	Multiple	90%	60G	837.0448
RiceM60-1-5	Bowtie2	Rice	Multiple	90%	60G	834.9030167
RiceM60-2-1	Bowtie2	Rice	Multiple	50%	60G	481.0572833
RiceM60-2-2	Bowtie2	Rice	Multiple	50%	60G	482.0533
RiceM60-2-3	Bowtie2	Rice	Multiple	50%	60G	496.80605
RiceM60-2-4	Bowtie2	Rice	Multiple	50%	60G	501.8640333
RiceM60-2-5	Bowtie2	Rice	Multiple	50%	60G	498.3176167
RiceM60-3-1	Bowtie2	Rice	Multiple	10%	60G	145.3099167
RiceM60-3-2	Bowtie2	Rice	Multiple	10%	60G	142.4405333
RiceM60-3-3	Bowtie2	Rice	Multiple	10%	60G	147.9354833
RiceM60-3-4	Bowtie2	Rice	Multiple	10%	60G	149.3897667
RiceM60-3-5	Bowtie2	Rice	Multiple	10%	60G	150.8740167
RiceM60-1-1	BWA	Rice	Multiple	90%	60G	1051.904667
RiceM60-1-2	BWA	Rice	Multiple	90%	60G	1065.116083
RiceM60-1-3	BWA	Rice	Multiple	90%	60G	1063.912783
RiceM60-1-4	BWA	Rice	Multiple	90%	60G	1053.876317
RiceM60-1-5	BWA	Rice	Multiple	90%	60G	1067.22475
RiceM60-2-1	BWA	Rice	Multiple	50%	60G	828.2642333
RiceM60-2-2	BWA	Rice	Multiple	50%	60G	837.9752833
RiceM60-2-3	BWA	Rice	Multiple	50%	60G	797.5041833
RiceM60-2-4	BWA	Rice	Multiple	50%	60G	796.1224167
RiceM60-2-5	BWA	Rice	Multiple	50%	60G	818.8946167
RiceM60-3-1	BWA	Rice	Multiple	10%	60G	601.7004333
RiceM60-3-2	BWA	Rice	Multiple	10%	60G	638.2309167
RiceM60-3-3	BWA	Rice	Multiple	10%	60G	602.1295833
RiceM60-3-4	BWA	Rice	Multiple	10%	60G	597.5857333
RiceM60-3-5	BWA	Rice	Multiple	10%	60G	650.2146833
RiceM60-1-1	Kneaddata	Rice	Multiple	90%	60G	1646.13435
RiceM60-1-2	Kneaddata	Rice	Multiple	90%	60G	1706.221983
RiceM60-1-3	Kneaddata	Rice	Multiple	90%	60G	1690.39
RiceM60-1-4	Kneaddata	Rice	Multiple	90%	60G	1662.044633
RiceM60-1-5	Kneaddata	Rice	Multiple	90%	60G	1640.283983
RiceM60-2-1	Kneaddata	Rice	Multiple	50%	60G	969.3204
RiceM60-2-2	Kneaddata	Rice	Multiple	50%	60G	982.4771167
RiceM60-2-3	Kneaddata	Rice	Multiple	50%	60G	974.3351833
RiceM60-2-4	Kneaddata	Rice	Multiple	50%	60G	974.1028333
RiceM60-2-5	Kneaddata	Rice	Multiple	50%	60G	981.3344667
RiceM60-3-1	Kneaddata	Rice	Multiple	10%	60G	348.2601333
RiceM60-3-2	Kneaddata	Rice	Multiple	10%	60G	368.1383667
RiceM60-3-3	Kneaddata	Rice	Multiple	10%	60G	351.6305167
RiceM60-3-4	Kneaddata	Rice	Multiple	10%	60G	356.0190833
RiceM60-3-5	Kneaddata	Rice	Multiple	10%	60G	367.9558833
RiceM60-1-1	Kraken2	Rice	Multiple	90%	60G	84.01211667
RiceM60-1-2	Kraken2	Rice	Multiple	90%	60G	70.72251667
RiceM60-1-3	Kraken2	Rice	Multiple	90%	60G	69.63851667
RiceM60-1-4	Kraken2	Rice	Multiple	90%	60G	68.1411
RiceM60-1-5	Kraken2	Rice	Multiple	90%	60G	47.06823333
RiceM60-2-1	Kraken2	Rice	Multiple	50%	60G	55.83168333
RiceM60-2-2	Kraken2	Rice	Multiple	50%	60G	55.26985
RiceM60-2-3	Kraken2	Rice	Multiple	50%	60G	55.24371667
RiceM60-2-4	Kraken2	Rice	Multiple	50%	60G	55.22626667
RiceM60-2-5	Kraken2	Rice	Multiple	50%	60G	55.26261667
RiceM60-3-1	Kraken2	Rice	Multiple	10%	60G	72.82048333
RiceM60-3-2	Kraken2	Rice	Multiple	10%	60G	57.74483333
RiceM60-3-3	Kraken2	Rice	Multiple	10%	60G	56.27315
RiceM60-3-4	Kraken2	Rice	Multiple	10%	60G	50.55328333
RiceM60-3-5	Kraken2	Rice	Multiple	10%	60G	50.62306667
RiceM60-1-1	KMCP	Rice	Multiple	90%	60G	292.5058
RiceM60-1-2	KMCP	Rice	Multiple	90%	60G	291.4510833
RiceM60-1-3	KMCP	Rice	Multiple	90%	60G	286.4343333
RiceM60-1-4	KMCP	Rice	Multiple	90%	60G	287.3892333
RiceM60-1-5	KMCP	Rice	Multiple	90%	60G	287.7721167
RiceM60-2-1	KMCP	Rice	Multiple	50%	60G	365.6005667
RiceM60-2-2	KMCP	Rice	Multiple	50%	60G	327.0156333
RiceM60-2-3	KMCP	Rice	Multiple	50%	60G	316.8657
RiceM60-2-4	KMCP	Rice	Multiple	50%	60G	311.3186
