SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
RiceS30-1-1	Bowtie2	Rice	Single	90%	30G	486.6248833
RiceS30-1-2	Bowtie2	Rice	Single	90%	30G	462.0833333
RiceS30-1-3	Bowtie2	Rice	Single	90%	30G	454.4367833
RiceS30-1-4	Bowtie2	Rice	Single	90%	30G	456.3720333
RiceS30-1-5	Bowtie2	Rice	Single	90%	30G	446.492
RiceS30-2-1	Bowtie2	Rice	Single	50%	30G	239.9832
RiceS30-2-2	Bowtie2	Rice	Single	50%	30G	241.5338833
RiceS30-2-3	Bowtie2	Rice	Single	50%	30G	241.0942333
RiceS30-2-4	Bowtie2	Rice	Single	50%	30G	239.6752333
RiceS30-2-5	Bowtie2	Rice	Single	50%	30G	238.8522667
RiceS30-3-1	Bowtie2	Rice	Single	10%	30G	74.68401667
RiceS30-3-2	Bowtie2	Rice	Single	10%	30G	78.91043333
RiceS30-3-3	Bowtie2	Rice	Single	10%	30G	74.68706667
RiceS30-3-4	Bowtie2	Rice	Single	10%	30G	74.97568333
RiceS30-3-5	Bowtie2	Rice	Single	10%	30G	75.46876667
RiceS30-1-1	BWA	Rice	Single	90%	30G	657.2662
RiceS30-1-2	BWA	Rice	Single	90%	30G	625.8959333
RiceS30-1-3	BWA	Rice	Single	90%	30G	602.66485
RiceS30-1-4	BWA	Rice	Single	90%	30G	617.9151
RiceS30-1-5	BWA	Rice	Single	90%	30G	577.4228333
RiceS30-2-1	BWA	Rice	Single	50%	30G	404.1897
RiceS30-2-2	BWA	Rice	Single	50%	30G	406.1991667
RiceS30-2-3	BWA	Rice	Single	50%	30G	401.2959333
RiceS30-2-4	BWA	Rice	Single	50%	30G	397.4577667
RiceS30-2-5	BWA	Rice	Single	50%	30G	387.8655167
RiceS30-3-1	BWA	Rice	Single	10%	30G	313.7635333
RiceS30-3-2	BWA	Rice	Single	10%	30G	311.1944333
RiceS30-3-3	BWA	Rice	Single	10%	30G	310.5328333
RiceS30-3-4	BWA	Rice	Single	10%	30G	306.5570833
RiceS30-3-5	BWA	Rice	Single	10%	30G	300.4533667
RiceS30-1-1	Kneaddata	Rice	Single	90%	30G	917.9408333
RiceS30-1-2	Kneaddata	Rice	Single	90%	30G	873.6557667
RiceS30-1-3	Kneaddata	Rice	Single	90%	30G	871.1562333
RiceS30-1-4	Kneaddata	Rice	Single	90%	30G	922.4200333
RiceS30-1-5	Kneaddata	Rice	Single	90%	30G	1112.824583
RiceS30-2-1	Kneaddata	Rice	Single	50%	30G	564.7113
RiceS30-2-2	Kneaddata	Rice	Single	50%	30G	537.9909667
RiceS30-2-3	Kneaddata	Rice	Single	50%	30G	515.441
RiceS30-2-4	Kneaddata	Rice	Single	50%	30G	511.3117667
RiceS30-2-5	Kneaddata	Rice	Single	50%	30G	500.9322333
RiceS30-3-1	Kneaddata	Rice	Single	10%	30G	169.6266667
RiceS30-3-2	Kneaddata	Rice	Single	10%	30G	169.6169167
RiceS30-3-3	Kneaddata	Rice	Single	10%	30G	169.9146333
RiceS30-3-4	Kneaddata	Rice	Single	10%	30G	169.6298667
RiceS30-3-5	Kneaddata	Rice	Single	10%	30G	169.6735667
RiceS30-1-1	Kraken2	Rice	Single	90%	30G	29.29858333
RiceS30-1-2	Kraken2	Rice	Single	90%	30G	25.3889
RiceS30-1-3	Kraken2	Rice	Single	90%	30G	25.35878333
RiceS30-1-4	Kraken2	Rice	Single	90%	30G	25.40005
RiceS30-1-5	Kraken2	Rice	Single	90%	30G	25.51481667
RiceS30-2-1	Kraken2	Rice	Single	50%	30G	19.29408333
RiceS30-2-2	Kraken2	Rice	Single	50%	30G	17.71255
RiceS30-2-3	Kraken2	Rice	Single	50%	30G	17.70686667
RiceS30-2-4	Kraken2	Rice	Single	50%	30G	17.73528333
RiceS30-2-5	Kraken2	Rice	Single	50%	30G	17.72871667
RiceS30-3-1	Kraken2	Rice	Single	10%	30G	17.37671667
RiceS30-3-2	Kraken2	Rice	Single	10%	30G	18.97905
RiceS30-3-3	Kraken2	Rice	Single	10%	30G	16.78598333
RiceS30-3-4	Kraken2	Rice	Single	10%	30G	16.8007
RiceS30-3-5	Kraken2	Rice	Single	10%	30G	16.7826
RiceS30-1-1	KMCP	Rice	Single	90%	30G	120.54375
RiceS30-1-2	KMCP	Rice	Single	90%	30G	123.6377167
RiceS30-1-3	KMCP	Rice	Single	90%	30G	119.60225
RiceS30-1-4	KMCP	Rice	Single	90%	30G	141.31795
RiceS30-1-5	KMCP	Rice	Single	90%	30G	132.7989333
RiceS30-2-1	KMCP	Rice	Single	50%	30G	118.3922333
RiceS30-2-2	KMCP	Rice	Single	50%	30G	124.5711167
RiceS30-2-3	KMCP	Rice	Single	50%	30G	125.2608667
RiceS30-2-4	KMCP	Rice	Single	50%	30G	145.8540333
RiceS30-2-5	KMCP	Rice	Single	50%	30G	150.7816
RiceS30-3-1	KMCP	Rice	Single	10%	30G	116.5908667
RiceS30-3-2	KMCP	Rice	Single	10%	30G	117.1580667
RiceS30-3-3	KMCP	Rice	Single	10%	30G	150.1013833
RiceS30-3-4	KMCP	Rice	Single	10%	30G	151.5240667
RiceS30-3-5	KMCP	Rice	Single	10%	30G	147.2232667
RiceS30-1-1	KrakenUniq	Rice	Single	90%	30G	68.05793333
RiceS30-1-2	KrakenUniq	Rice	Single	90%	30G	78.4519
RiceS30-1-3	KrakenUniq	Rice	Single	90%	30G	77.85903333
RiceS30-1-4	KrakenUniq	Rice	Single	90%	30G	80.69875
RiceS30-1-5	KrakenUniq	Rice	Single	90%	30G	67.40913333
RiceS30-2-1	KrakenUniq	Rice	Single	50%	30G	55.56555
RiceS30-2-2	KrakenUniq	Rice	Single	50%	30G	64.18273333
RiceS30-2-3	KrakenUniq	Rice	Single	50%	30G	64.53691667
RiceS30-2-4	KrakenUniq	Rice	Single	50%	30G	66.02663333
RiceS30-2-5	KrakenUniq	Rice	Single	50%	30G	73.15423333
RiceS30-3-1	KrakenUniq	Rice	Single	10%	30G	70.11453333
RiceS30-3-2	KrakenUniq	Rice	Single	10%	30G	59.82631667
RiceS30-3-3	KrakenUniq	Rice	Single	10%	30G	61.49031667
RiceS30-3-4	KrakenUniq	Rice	Single	10%	30G	66.13833333
RiceS30-3-5	KrakenUniq	Rice	Single	10%	30G	51.2511
RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	907.4201667
RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	898.4665
