SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy
RiceS10-1-1	OrSinBac	Single	90%	Bowtie2	0.755486126
RiceS10-1-2	OrSinBac	Single	90%	Bowtie2	0.755369824
RiceS10-1-3	OrSinBac	Single	90%	Bowtie2	0.755246496
RiceS10-1-4	OrSinBac	Single	90%	Bowtie2	0.755249896
RiceS10-1-5	OrSinBac	Single	90%	Bowtie2	0.755366673
RiceS10-1-1	OrSinBac	Single	90%	BWA	0.934843526
RiceS10-1-2	OrSinBac	Single	90%	BWA	0.9347845
RiceS10-1-3	OrSinBac	Single	90%	BWA	0.934839426
RiceS10-1-4	OrSinBac	Single	90%	BWA	0.934512169
RiceS10-1-5	OrSinBac	Single	90%	BWA	0.934587146
RiceS10-1-1	OrSinBac	Single	90%	KneadData	0.949279733
RiceS10-1-2	OrSinBac	Single	90%	KneadData	0.94914908
RiceS10-1-3	OrSinBac	Single	90%	KneadData	0.949157981
RiceS10-1-4	OrSinBac	Single	90%	KneadData	0.949177431
RiceS10-1-5	OrSinBac	Single	90%	KneadData	0.949165531
RiceS10-1-1	OrSinBac	Single	90%	Kraken2	0.83737711
RiceS10-1-2	OrSinBac	Single	90%	Kraken2	0.837270457
RiceS10-1-3	OrSinBac	Single	90%	Kraken2	0.83718533
RiceS10-1-4	OrSinBac	Single	90%	Kraken2	0.837170555
RiceS10-1-5	OrSinBac	Single	90%	Kraken2	0.837146379
RiceS10-1-1	OrSinBac	Single	90%	KMCP	0.375817294
RiceS10-1-2	OrSinBac	Single	90%	KMCP	0.375778393
RiceS10-1-3	OrSinBac	Single	90%	KMCP	0.375819394
RiceS10-1-4	OrSinBac	Single	90%	KMCP	0.375838044
RiceS10-1-5	OrSinBac	Single	90%	KMCP	0.375822644
RiceS10-1-1	OrSinBac	Single	90%	KrakenUniq	0.909735174
RiceS10-1-2	OrSinBac	Single	90%	KrakenUniq	0.909645622
RiceS10-1-3	OrSinBac	Single	90%	KrakenUniq	0.909625221
RiceS10-1-4	OrSinBac	Single	90%	KrakenUniq	0.909598071
RiceS10-1-5	OrSinBac	Single	90%	KrakenUniq	0.90956247
RiceS10-2-1	OrSinBac	Single	50%	Bowtie2	0.864159778
RiceS10-2-2	OrSinBac	Single	50%	Bowtie2	0.864067551
RiceS10-2-3	OrSinBac	Single	50%	Bowtie2	0.864028775
RiceS10-2-4	OrSinBac	Single	50%	Bowtie2	0.8640144
RiceS10-2-5	OrSinBac	Single	50%	Bowtie2	0.864082551
RiceS10-2-1	OrSinBac	Single	50%	BWA	0.962158137
RiceS10-2-2	OrSinBac	Single	50%	BWA	0.962150087
RiceS10-2-3	OrSinBac	Single	50%	BWA	0.961898731
RiceS10-2-4	OrSinBac	Single	50%	BWA	0.961749053
RiceS10-2-5	OrSinBac	Single	50%	BWA	0.961892631
RiceS10-2-1	OrSinBac	Single	50%	KMCP	0.653239944
RiceS10-2-2	OrSinBac	Single	50%	KMCP	0.653220293
RiceS10-2-3	OrSinBac	Single	50%	KMCP	0.653283895
RiceS10-2-4	OrSinBac	Single	50%	KMCP	0.653248194
RiceS10-2-5	OrSinBac	Single	50%	KMCP	0.653218793
RiceS10-2-1	OrSinBac	Single	50%	KneadData	0.970918537
RiceS10-2-2	OrSinBac	Single	50%	KneadData	0.970808134
RiceS10-2-3	OrSinBac	Single	50%	KneadData	0.970861186
RiceS10-2-4	OrSinBac	Single	50%	KneadData	0.970820635
RiceS10-2-5	OrSinBac	Single	50%	KneadData	0.970851735
RiceS10-2-1	OrSinBac	Single	50%	Kraken2	0.909403234
RiceS10-2-2	OrSinBac	Single	50%	Kraken2	0.909318457
RiceS10-2-3	OrSinBac	Single	50%	Kraken2	0.909277357
RiceS10-2-4	OrSinBac	Single	50%	Kraken2	0.909258756
RiceS10-2-5	OrSinBac	Single	50%	Kraken2	0.909238081
RiceS10-2-1	OrSinBac	Single	50%	KrakenUniq	0.949443547
RiceS10-2-2	OrSinBac	Single	50%	KrakenUniq	0.949419147
RiceS10-2-3	OrSinBac	Single	50%	KrakenUniq	0.949391596
RiceS10-2-4	OrSinBac	Single	50%	KrakenUniq	0.949344545
RiceS10-2-5	OrSinBac	Single	50%	KrakenUniq	0.949374696
RiceS10-3-1	OrSinBac	Single	10%	Bowtie2	0.972821625
RiceS10-3-2	OrSinBac	Single	10%	Bowtie2	0.97282065
RiceS10-3-3	OrSinBac	Single	10%	Bowtie2	0.972787649
RiceS10-3-4	OrSinBac	Single	10%	Bowtie2	0.972830525
RiceS10-3-5	OrSinBac	Single	10%	Bowtie2	0.972811925
RiceS10-3-1	OrSinBac	Single	10%	BWA	0.989072974
RiceS10-3-2	OrSinBac	Single	10%	BWA	0.989705488
RiceS10-3-3	OrSinBac	Single	10%	BWA	0.989023898
RiceS10-3-4	OrSinBac	Single	10%	BWA	0.989174401
RiceS10-3-5	OrSinBac	Single	10%	BWA	0.989170951
RiceS10-3-1	OrSinBac	Single	10%	KMCP	0.930635205
RiceS10-3-2	OrSinBac	Single	10%	KMCP	0.930646655
RiceS10-3-3	OrSinBac	Single	10%	KMCP	0.930646705
RiceS10-3-4	OrSinBac	Single	10%	KMCP	0.930670705
RiceS10-3-5	OrSinBac	Single	10%	KMCP	0.930628054
RiceS10-3-1	OrSinBac	Single	10%	KneadData	0.992553279
RiceS10-3-2	OrSinBac	Single	10%	KneadData	0.992527228
RiceS10-3-3	OrSinBac	Single	10%	KneadData	0.992517178
RiceS10-3-4	OrSinBac	Single	10%	KneadData	0.992527478
RiceS10-3-5	OrSinBac	Single	10%	KneadData	0.992525678
RiceS10-3-1	OrSinBac	Single	10%	Kraken2	0.981426523
RiceS10-3-2	OrSinBac	Single	10%	Kraken2	0.981403572
RiceS10-3-3	OrSinBac	Single	10%	Kraken2	0.981368821
RiceS10-3-4	OrSinBac	Single	10%	Kraken2	0.981390822
RiceS10-3-5	OrSinBac	Single	10%	Kraken2	0.981383872
RiceS10-3-1	OrSinBac	Single	10%	KrakenUniq	0.989187551
RiceS10-3-2	OrSinBac	Single	10%	KrakenUniq	0.989186551
RiceS10-3-3	OrSinBac	Single	10%	KrakenUniq	0.9891496
RiceS10-3-4	OrSinBac	Single	10%	KrakenUniq	0.989152801
RiceS10-3-5	OrSinBac	Single	10%	KrakenUniq	0.989162951
RiceS10-1-1	OsjSinBac	Single	90%	Bowtie2	0.879919688
RiceS10-1-2	OsjSinBac	Single	90%	Bowtie2	0.879849837
RiceS10-1-3	OsjSinBac	Single	90%	Bowtie2	0.879831436
RiceS10-1-4	OsjSinBac	Single	90%	Bowtie2	0.879855262
RiceS10-1-5	OsjSinBac	Single	90%	Bowtie2	0.879908688
RiceS10-1-1	OsjSinBac	Single	90%	BWA	0.963994997
RiceS10-1-2	OsjSinBac	Single	90%	BWA	0.964099199
RiceS10-1-3	OsjSinBac	Single	90%	BWA	0.964164501
RiceS10-1-4	OsjSinBac	Single	90%	BWA	0.963838943
RiceS10-1-5	OsjSinBac	Single	90%	BWA	0.963942046
RiceS10-1-1	OsjSinBac	Single	90%	KMCP	0.595589599
RiceS10-1-2	OsjSinBac	Single	90%	KMCP	0.595522847
RiceS10-1-3	OsjSinBac	Single	90%	KMCP	0.595500747
RiceS10-1-4	OsjSinBac	Single	90%	KMCP	0.595371044
RiceS10-1-5	OsjSinBac	Single	90%	KMCP	0.595723152
RiceS10-1-1	OsjSinBac	Single	90%	KneadData	0.971206738
RiceS10-1-2	OsjSinBac	Single	90%	KneadData	0.971202738
RiceS10-1-3	OsjSinBac	Single	90%	KneadData	0.971224488
RiceS10-1-4	OsjSinBac	Single	90%	KneadData	0.971226588
RiceS10-1-5	OsjSinBac	Single	90%	KneadData	0.971243439
RiceS10-1-1	OsjSinBac	Single	90%	Kraken2	0.91369754
RiceS10-1-2	OsjSinBac	Single	90%	Kraken2	0.913638064
RiceS10-1-3	OsjSinBac	Single	90%	Kraken2	0.913681915
RiceS10-1-4	OsjSinBac	Single	90%	Kraken2	0.913670914
RiceS10-1-5	OsjSinBac	Single	90%	Kraken2	0.913734166
RiceS10-1-1	OsjSinBac	Single	90%	KrakenUniq	0.956361446
RiceS10-1-2	OsjSinBac	Single	90%	KrakenUniq	0.956322545
RiceS10-1-3	OsjSinBac	Single	90%	KrakenUniq	0.956381347
RiceS10-1-4	OsjSinBac	Single	90%	KrakenUniq	0.956300195
RiceS10-1-5	OsjSinBac	Single	90%	KrakenUniq	0.956346996
RiceS10-2-1	OsjSinBac	Single	50%	Bowtie2	0.933332955
RiceS10-2-2	OsjSinBac	Single	50%	Bowtie2	0.933183602
RiceS10-2-3	OsjSinBac	Single	50%	Bowtie2	0.933226003
RiceS10-2-4	OsjSinBac	Single	50%	Bowtie2	0.933247603
RiceS10-2-5	OsjSinBac	Single	50%	Bowtie2	0.933257353
RiceS10-2-1	OsjSinBac	Single	50%	BWA	0.978382207
RiceS10-2-2	OsjSinBac	Single	50%	BWA	0.978422808
RiceS10-2-3	OsjSinBac	Single	50%	BWA	0.978189428
RiceS10-2-4	OsjSinBac	Single	50%	BWA	0.978066025
RiceS10-2-5	OsjSinBac	Single	50%	BWA	0.978212628
RiceS10-2-1	OsjSinBac	Single	50%	KMCP	0.775355578
RiceS10-2-2	OsjSinBac	Single	50%	KMCP	0.775203775
RiceS10-2-3	OsjSinBac	Single	50%	KMCP	0.775280576
RiceS10-2-4	OsjSinBac	Single	50%	KMCP	0.775180074
RiceS10-2-5	OsjSinBac	Single	50%	KMCP	0.77542298
RiceS10-2-1	OsjSinBac	Single	50%	KneadData	0.983114265
RiceS10-2-2	OsjSinBac	Single	50%	KneadData	0.983081414
RiceS10-2-3	OsjSinBac	Single	50%	KneadData	0.983124465
RiceS10-2-4	OsjSinBac	Single	50%	KneadData	0.983119465
RiceS10-2-5	OsjSinBac	Single	50%	KneadData	0.983124315
RiceS10-2-1	OsjSinBac	Single	50%	Kraken2	0.951818901
RiceS10-2-2	OsjSinBac	Single	50%	Kraken2	0.951727649
RiceS10-2-3	OsjSinBac	Single	50%	Kraken2	0.951821027
RiceS10-2-4	OsjSinBac	Single	50%	Kraken2	0.951773625
RiceS10-2-5	OsjSinBac	Single	50%	Kraken2	0.951813251
RiceS10-2-1	OsjSinBac	Single	50%	KrakenUniq	0.975380789
RiceS10-2-2	OsjSinBac	Single	50%	KrakenUniq	0.975308837
RiceS10-2-3	OsjSinBac	Single	50%	KrakenUniq	0.975412839
RiceS10-2-4	OsjSinBac	Single	50%	KrakenUniq	0.975312537
RiceS10-2-5	OsjSinBac	Single	50%	KrakenUniq	0.975350938
RiceS10-3-1	OsjSinBac	Single	10%	Bowtie2	0.986665493
RiceS10-3-2	OsjSinBac	Single	10%	Bowtie2	0.986604692
RiceS10-3-3	OsjSinBac	Single	10%	Bowtie2	0.986646568
RiceS10-3-4	OsjSinBac	Single	10%	Bowtie2	0.986654868
RiceS10-3-5	OsjSinBac	Single	10%	Bowtie2	0.986684844
RiceS10-3-1	OsjSinBac	Single	10%	BWA	0.992339574
RiceS10-3-2	OsjSinBac	Single	10%	BWA	0.992931537
RiceS10-3-3	OsjSinBac	Single	10%	BWA	0.992303198
RiceS10-3-4	OsjSinBac	Single	10%	BWA	0.992424501
RiceS10-3-5	OsjSinBac	Single	10%	BWA	0.992423651
RiceS10-3-1	OsjSinBac	Single	10%	KMCP	0.955038266
RiceS10-3-2	OsjSinBac	Single	10%	KMCP	0.955110368
RiceS10-3-3	OsjSinBac	Single	10%	KMCP	0.955034516
RiceS10-3-4	OsjSinBac	Single	10%	KMCP	0.955032666
RiceS10-3-5	OsjSinBac	Single	10%	KMCP	0.955097667
RiceS10-3-1	OsjSinBac	Single	10%	KneadData	0.995002835
RiceS10-3-2	OsjSinBac	Single	10%	KneadData	0.994953984
RiceS10-3-3	OsjSinBac	Single	10%	KneadData	0.994982885
RiceS10-3-4	OsjSinBac	Single	10%	KneadData	0.994962934
RiceS10-3-5	OsjSinBac	Single	10%	KneadData	0.994962884
RiceS10-3-1	OsjSinBac	Single	10%	Kraken2	0.989916043
RiceS10-3-2	OsjSinBac	Single	10%	Kraken2	0.989859092
RiceS10-3-3	OsjSinBac	Single	10%	Kraken2	0.989914668
RiceS10-3-4	OsjSinBac	Single	10%	Kraken2	0.989877717
RiceS10-3-5	OsjSinBac	Single	10%	Kraken2	0.989889092
RiceS10-3-1	OsjSinBac	Single	10%	KrakenUniq	0.994381171
RiceS10-3-2	OsjSinBac	Single	10%	KrakenUniq	0.994325269
RiceS10-3-3	OsjSinBac	Single	10%	KrakenUniq	0.994375721
RiceS10-3-4	OsjSinBac	Single	10%	KrakenUniq	0.99433852
RiceS10-3-5	OsjSinBac	Single	10%	KrakenUniq	0.99433962
RiceS10-1-1	OsiSinBac	Single	90%	Bowtie2	0.82631943
RiceS10-1-2	OsiSinBac	Single	90%	Bowtie2	0.826359031
RiceS10-1-3	OsiSinBac	Single	90%	Bowtie2	0.826293305
RiceS10-1-4	OsiSinBac	Single	90%	Bowtie2	0.826302855
RiceS10-1-5	OsiSinBac	Single	90%	Bowtie2	0.826404432
RiceS10-1-1	OsiSinBac	Single	90%	BWA	0.946222888
RiceS10-1-2	OsiSinBac	Single	90%	BWA	0.946309515
RiceS10-1-3	OsiSinBac	Single	90%	BWA	0.946363441
RiceS10-1-4	OsiSinBac	Single	90%	BWA	0.946023459
RiceS10-1-5	OsiSinBac	Single	90%	BWA	0.946039984
RiceS10-1-1	OsiSinBac	Single	90%	KMCP	0.430587954
RiceS10-1-2	OsiSinBac	Single	90%	KMCP	0.430714456
RiceS10-1-3	OsiSinBac	Single	90%	KMCP	0.4304333
RiceS10-1-4	OsiSinBac	Single	90%	KMCP	0.430724907
RiceS10-1-5	OsiSinBac	Single	90%	KMCP	0.430563803
RiceS10-1-1	OsiSinBac	Single	90%	KneadData	0.956362396
RiceS10-1-2	OsiSinBac	Single	90%	KneadData	0.956302495
RiceS10-1-3	OsiSinBac	Single	90%	KneadData	0.956351446
RiceS10-1-4	OsiSinBac	Single	90%	KneadData	0.956309645
RiceS10-1-5	OsiSinBac	Single	90%	KneadData	0.956277444
RiceS10-1-1	OsiSinBac	Single	90%	Kraken2	0.872951503
RiceS10-1-2	OsiSinBac	Single	90%	Kraken2	0.872894477
RiceS10-1-3	OsiSinBac	Single	90%	Kraken2	0.872927577
RiceS10-1-4	OsiSinBac	Single	90%	Kraken2	0.872942078
RiceS10-1-5	OsiSinBac	Single	90%	Kraken2	0.872942728
RiceS10-1-1	OsiSinBac	Single	90%	KrakenUniq	0.929264373
RiceS10-1-2	OsiSinBac	Single	90%	KrakenUniq	0.929248873
RiceS10-1-3	OsiSinBac	Single	90%	KrakenUniq	0.929290574
RiceS10-1-4	OsiSinBac	Single	90%	KrakenUniq	0.929186821
RiceS10-1-5	OsiSinBac	Single	90%	KrakenUniq	0.929255373
RiceS10-2-1	OsiSinBac	Single	50%	Bowtie2	0.903521825
RiceS10-2-2	OsiSinBac	Single	50%	Bowtie2	0.903539251
RiceS10-2-3	OsiSinBac	Single	50%	Bowtie2	0.9035191
RiceS10-2-4	OsiSinBac	Single	50%	Bowtie2	0.903566651
RiceS10-2-5	OsiSinBac	Single	50%	Bowtie2	0.9035299
RiceS10-2-1	OsiSinBac	Single	50%	BWA	0.968497632
RiceS10-2-2	OsiSinBac	Single	50%	BWA	0.968603809
RiceS10-2-3	OsiSinBac	Single	50%	BWA	0.968261476
RiceS10-2-4	OsiSinBac	Single	50%	BWA	0.968205175
RiceS10-2-5	OsiSinBac	Single	50%	BWA	0.968235051
RiceS10-2-1	OsiSinBac	Single	50%	KMCP	0.683690588
RiceS10-2-2	OsiSinBac	Single	50%	KMCP	0.683682588
RiceS10-2-3	OsiSinBac	Single	50%	KMCP	0.683633387
RiceS10-2-4	OsiSinBac	Single	50%	KMCP	0.683715289
RiceS10-2-5	OsiSinBac	Single	50%	KMCP	0.683674238
RiceS10-2-1	OsiSinBac	Single	50%	KneadData	0.974844226
RiceS10-2-2	OsiSinBac	Single	50%	KneadData	0.974853627
RiceS10-2-3	OsiSinBac	Single	50%	KneadData	0.974824326
RiceS10-2-4	OsiSinBac	Single	50%	KneadData	0.974843476
RiceS10-2-5	OsiSinBac	Single	50%	KneadData	0.974759175
RiceS10-2-1	OsiSinBac	Single	50%	Kraken2	0.929166685
RiceS10-2-2	OsiSinBac	Single	50%	Kraken2	0.929186585
RiceS10-2-3	OsiSinBac	Single	50%	Kraken2	0.92914606
RiceS10-2-4	OsiSinBac	Single	50%	Kraken2	0.929177035
RiceS10-2-5	OsiSinBac	Single	50%	Kraken2	0.929137134
RiceS10-2-1	OsiSinBac	Single	50%	KrakenUniq	0.960318345
RiceS10-2-2	OsiSinBac	Single	50%	KrakenUniq	0.960335596
RiceS10-2-3	OsiSinBac	Single	50%	KrakenUniq	0.960297245
RiceS10-2-4	OsiSinBac	Single	50%	KrakenUniq	0.960279144
RiceS10-2-5	OsiSinBac	Single	50%	KrakenUniq	0.960282694
RiceS10-3-1	OsiSinBac	Single	10%	Bowtie2	0.980691331
RiceS10-3-2	OsiSinBac	Single	10%	Bowtie2	0.980641405
RiceS10-3-3	OsiSinBac	Single	10%	Bowtie2	0.980694531
RiceS10-3-4	OsiSinBac	Single	10%	Bowtie2	0.980726957
RiceS10-3-5	OsiSinBac	Single	10%	Bowtie2	0.980702106
RiceS10-3-1	OsiSinBac	Single	10%	BWA	0.990345478
RiceS10-3-2	OsiSinBac	Single	10%	BWA	0.990963017
RiceS10-3-3	OsiSinBac	Single	10%	BWA	0.990314852
RiceS10-3-4	OsiSinBac	Single	10%	BWA	0.990478156
RiceS10-3-5	OsiSinBac	Single	10%	BWA	0.990391629
RiceS10-3-1	OsiSinBac	Single	10%	KMCP	0.936753145
RiceS10-3-2	OsiSinBac	Single	10%	KMCP	0.936710844
RiceS10-3-3	OsiSinBac	Single	10%	KMCP	0.936777896
RiceS10-3-4	OsiSinBac	Single	10%	KMCP	0.936721945
RiceS10-3-5	OsiSinBac	Single	10%	KMCP	0.936668643
RiceS10-3-1	OsiSinBac	Single	10%	KneadData	0.993334597
RiceS10-3-2	OsiSinBac	Single	10%	KneadData	0.993312096
RiceS10-3-3	OsiSinBac	Single	10%	KneadData	0.993328347
RiceS10-3-4	OsiSinBac	Single	10%	KneadData	0.993344347
RiceS10-3-5	OsiSinBac	Single	10%	KneadData	0.993260245
RiceS10-3-1	OsiSinBac	Single	10%	Kraken2	0.985367163
RiceS10-3-2	OsiSinBac	Single	10%	Kraken2	0.985324062
RiceS10-3-3	OsiSinBac	Single	10%	Kraken2	0.985346263
RiceS10-3-4	OsiSinBac	Single	10%	Kraken2	0.985385239
RiceS10-3-5	OsiSinBac	Single	10%	Kraken2	0.985310637
RiceS10-3-1	OsiSinBac	Single	10%	KrakenUniq	0.991343251
RiceS10-3-2	OsiSinBac	Single	10%	KrakenUniq	0.9913084
RiceS10-3-3	OsiSinBac	Single	10%	KrakenUniq	0.991339401
RiceS10-3-4	OsiSinBac	Single	10%	KrakenUniq	0.991363151
RiceS10-3-5	OsiSinBac	Single	10%	KrakenUniq	0.99128485
