Software	SampleID	GenomeProportion	Group	PeakRSS
Kneaddata	RiceS60-3-1	10%	60G	30.3
Kneaddata	RiceS60-3-2	10%	60G	30.3
Kneaddata	RiceS60-3-3	10%	60G	30.3
Kneaddata	RiceS60-3-4	10%	60G	30.3
Kneaddata	RiceS60-3-5	10%	60G	30.3
Kraken2	RiceS60-3-1	10%	60G	0.77
Kraken2	RiceS60-3-2	10%	60G	0.78
Kraken2	RiceS60-3-3	10%	60G	0.77
Kraken2	RiceS60-3-4	10%	60G	0.77
Kraken2	RiceS60-3-5	10%	60G	0.77
HostPurge	RiceS60-3-1	10%	60G	27.29
HostPurge	RiceS60-3-2	10%	60G	27.34
HostPurge	RiceS60-3-3	10%	60G	27.34
HostPurge	RiceS60-3-4	10%	60G	27.34
HostPurge	RiceS60-3-5	10%	60G	27.34
