SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
Rices30-1-5	Bowtie2	Rice	Single	90%	30G	0.460498047
Rices30-2-1	Bowtie2	Rice	Single	50%	30G	0.464335938
Rices30-2-2	Bowtie2	Rice	Single	50%	30G	0.465390625
Rices30-2-3	Bowtie2	Rice	Single	50%	30G	0.462753906
Rices30-2-4	Bowtie2	Rice	Single	50%	30G	0.462900391
Rices30-2-5	Bowtie2	Rice	Single	50%	30G	0.450302734
Rices30-3-1	Bowtie2	Rice	Single	10%	30G	0.445400391
Rices30-3-2	Bowtie2	Rice	Single	10%	30G	0.455292969
Rices30-3-3	Bowtie2	Rice	Single	10%	30G	0.448300781
Rices30-3-4	Bowtie2	Rice	Single	10%	30G	0.462197266
Rices30-3-5	Bowtie2	Rice	Single	10%	30G	0.448710938
Rices30-1-1	BWA	Rice	Single	90%	30G	1.4
Rices30-1-2	BWA	Rice	Single	90%	30G	1.4
Rices30-1-3	BWA	Rice	Single	90%	30G	1.41
Rices30-1-4	BWA	Rice	Single	90%	30G	1.4
Rices30-1-5	BWA	Rice	Single	90%	30G	1.4
Rices30-2-1	BWA	Rice	Single	50%	30G	1.41
Rices30-2-2	BWA	Rice	Single	50%	30G	1.4
Rices30-2-3	BWA	Rice	Single	50%	30G	1.41
Rices30-2-4	BWA	Rice	Single	50%	30G	1.4
Rices30-2-5	BWA	Rice	Single	50%	30G	1.4
Rices30-3-1	BWA	Rice	Single	10%	30G	1.34
Rices30-3-2	BWA	Rice	Single	10%	30G	1.34
Rices30-3-3	BWA	Rice	Single	10%	30G	1.34
Rices30-3-4	BWA	Rice	Single	10%	30G	1.34
Rices30-3-5	BWA	Rice	Single	10%	30G	1.34
Rices30-1-1	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-2	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-3	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-4	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-5	KneadData	Rice	Single	90%	30G	15.09
Rices30-2-1	KneadData	Rice	Single	50%	30G	16.32
Rices30-2-2	KneadData	Rice	Single	50%	30G	16.19
Rices30-2-3	KneadData	Rice	Single	50%	30G	16.32
Rices30-2-4	KneadData	Rice	Single	50%	30G	16.32
Rices30-2-5	KneadData	Rice	Single	50%	30G	16.19
Rices30-3-1	KneadData	Rice	Single	10%	30G	15.18
Rices30-3-2	KneadData	Rice	Single	10%	30G	15.18
Rices30-3-3	KneadData	Rice	Single	10%	30G	15.18
Rices30-3-4	KneadData	Rice	Single	10%	30G	15.18
Rices30-3-5	KneadData	Rice	Single	10%	30G	15.18
Rices30-1-1	Kraken2	Rice	Single	90%	30G	0.759550781
Rices30-1-2	Kraken2	Rice	Single	90%	30G	0.746318359
Rices30-1-3	Kraken2	Rice	Single	90%	30G	0.763984375
Rices30-1-4	Kraken2	Rice	Single	90%	30G	0.756523438
Rices30-1-5	Kraken2	Rice	Single	90%	30G	0.745673828
Rices30-2-1	Kraken2	Rice	Single	50%	30G	0.759345703
Rices30-2-2	Kraken2	Rice	Single	50%	30G	0.763515625
Rices30-2-3	Kraken2	Rice	Single	50%	30G	0.765117188
Rices30-2-4	Kraken2	Rice	Single	50%	30G	0.778564453
Rices30-2-5	Kraken2	Rice	Single	50%	30G	0.765341797
Rices30-3-1	Kraken2	Rice	Single	10%	30G	0.746220703
Rices30-3-2	Kraken2	Rice	Single	10%	30G	0.733125
Rices30-3-3	Kraken2	Rice	Single	10%	30G	0.743789063
Rices30-3-4	Kraken2	Rice	Single	10%	30G	0.758642578
Rices30-3-5	Kraken2	Rice	Single	10%	30G	0.754863281
Rices30-1-1	KMCP	Rice	Single	90%	30G	4.3
Rices30-1-2	KMCP	Rice	Single	90%	30G	4.26
Rices30-1-3	KMCP	Rice	Single	90%	30G	4.31
Rices30-1-4	KMCP	Rice	Single	90%	30G	4.03
Rices30-1-5	KMCP	Rice	Single	90%	30G	4.11
Rices30-2-1	KMCP	Rice	Single	50%	30G	4.3
Rices30-2-2	KMCP	Rice	Single	50%	30G	4.23
Rices30-2-3	KMCP	Rice	Single	50%	30G	4.21
Rices30-2-4	KMCP	Rice	Single	50%	30G	3.97
Rices30-2-5	KMCP	Rice	Single	50%	30G	3.92
Rices30-3-1	KMCP	Rice	Single	10%	30G	4.27
Rices30-3-2	KMCP	Rice	Single	10%	30G	4.29
