SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
Humans30-1-5	KMCP	Human	Single	90%	30G	25.18
Humans30-2-1	KMCP	Human	Single	50%	30G	24.8
Humans30-2-2	KMCP	Human	Single	50%	30G	24.9
Humans30-2-3	KMCP	Human	Single	50%	30G	24.91
Humans30-2-4	KMCP	Human	Single	50%	30G	25.42
Humans30-2-5	KMCP	Human	Single	50%	30G	25.16
Humans30-3-1	KMCP	Human	Single	10%	30G	24.77
Humans30-3-2	KMCP	Human	Single	10%	30G	24.81
Humans30-3-3	KMCP	Human	Single	10%	30G	24.84
Humans30-3-4	KMCP	Human	Single	10%	30G	25.36
Humans30-3-5	KMCP	Human	Single	10%	30G	25.06
Humans30-1-1	KrakenUniq	Human	Single	90%	30G	33.45
Humans30-1-2	KrakenUniq	Human	Single	90%	30G	33.55
Humans30-1-3	KrakenUniq	Human	Single	90%	30G	33.51
Humans30-1-4	KrakenUniq	Human	Single	90%	30G	33.7
Humans30-1-5	KrakenUniq	Human	Single	90%	30G	33.66
Humans30-2-1	KrakenUniq	Human	Single	50%	30G	33.5
Humans30-2-2	KrakenUniq	Human	Single	50%	30G	33.47
Humans30-2-3	KrakenUniq	Human	Single	50%	30G	33.67
Humans30-2-4	KrakenUniq	Human	Single	50%	30G	33.72
Humans30-2-5	KrakenUniq	Human	Single	50%	30G	33.73
Humans30-3-1	KrakenUniq	Human	Single	10%	30G	33.6
Humans30-3-2	KrakenUniq	Human	Single	10%	30G	33.48
Humans30-3-3	KrakenUniq	Human	Single	10%	30G	33.59
Humans30-3-4	KrakenUniq	Human	Single	10%	30G	33.65
Humans30-3-5	KrakenUniq	Human	Single	10%	30G	33.63
HumanS60-1-1	Bowtie2	Human	Single	90%	60G	3.42
HumanS60-1-2	Bowtie2	Human	Single	90%	60G	3.42
HumanS60-1-3	Bowtie2	Human	Single	90%	60G	3.42
HumanS60-1-4	Bowtie2	Human	Single	90%	60G	3.42
HumanS60-1-5	Bowtie2	Human	Single	90%	60G	3.42
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	3.42
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	3.42
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	3.42
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	3.42
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	3.42
HumanS60-3-1	Bowtie2	Human	Single	10%	60G	3.42
HumanS60-3-2	Bowtie2	Human	Single	10%	60G	3.42
HumanS60-3-3	Bowtie2	Human	Single	10%	60G	3.42
HumanS60-3-4	Bowtie2	Human	Single	10%	60G	3.42
HumanS60-3-5	Bowtie2	Human	Single	10%	60G	3.42
HumanS60-1-1	BWA	Human	Single	90%	60G	6.58
HumanS60-1-2	BWA	Human	Single	90%	60G	6.79
HumanS60-1-3	BWA	Human	Single	90%	60G	6.74
HumanS60-1-4	BWA	Human	Single	90%	60G	6.77
HumanS60-1-5	BWA	Human	Single	90%	60G	6.74
HumanS60-2-1	BWA	Human	Single	50%	60G	6.58
HumanS60-2-2	BWA	Human	Single	50%	60G	6.78
HumanS60-2-3	BWA	Human	Single	50%	60G	6.74
HumanS60-2-4	BWA	Human	Single	50%	60G	6.77
HumanS60-2-5	BWA	Human	Single	50%	60G	6.74
HumanS60-3-1	BWA	Human	Single	10%	60G	6.57
HumanS60-3-2	BWA	Human	Single	10%	60G	6.79
HumanS60-3-3	BWA	Human	Single	10%	60G	6.73
HumanS60-3-4	BWA	Human	Single	10%	60G	6.77
HumanS60-3-5	BWA	Human	Single	10%	60G	6.73
HumanS60-1-1	KneadData	Human	Single	90%	60G	30.27
HumanS60-1-2	KneadData	Human	Single	90%	60G	29.77
HumanS60-1-3	KneadData	Human	Single	90%	60G	30.27
HumanS60-1-4	KneadData	Human	Single	90%	60G	30.27
HumanS60-1-5	KneadData	Human	Single	90%	60G	29.37
HumanS60-2-1	KneadData	Human	Single	50%	60G	32.75
HumanS60-2-2	KneadData	Human	Single	50%	60G	32.75
HumanS60-2-3	KneadData	Human	Single	50%	60G	32.51
HumanS60-2-4	KneadData	Human	Single	50%	60G	32.57
HumanS60-2-5	KneadData	Human	Single	50%	60G	32.75
HumanS60-3-1	KneadData	Human	Single	10%	60G	30.27
HumanS60-3-2	KneadData	Human	Single	10%	60G	30.27
HumanS60-3-3	KneadData	Human	Single	10%	60G	30.27
HumanS60-3-4	KneadData	Human	Single	10%	60G	30.27
HumanS60-3-5	KneadData	Human	Single	10%	60G	30.27
HumanS60-1-1	Kraken2	Human	Single	90%	60G	4.13
HumanS60-1-2	Kraken2	Human	Single	90%	60G	4.12
HumanS60-1-3	Kraken2	Human	Single	90%	60G	4.13
HumanS60-1-4	Kraken2	Human	Single	90%	60G	4.13
HumanS60-1-5	Kraken2	Human	Single	90%	60G	4.14
HumanS60-2-1	Kraken2	Human	Single	50%	60G	4.11
HumanS60-2-2	Kraken2	Human	Single	50%	60G	4.12
HumanS60-2-3	Kraken2	Human	Single	50%	60G	4.12
HumanS60-2-4	Kraken2	Human	Single	50%	60G	4.12
HumanS60-2-5	Kraken2	Human	Single	50%	60G	4.12
HumanS60-3-1	Kraken2	Human	Single	10%	60G	4.13
HumanS60-3-2	Kraken2	Human	Single	10%	60G	4.13
HumanS60-3-3	Kraken2	Human	Single	10%	60G	4.14
HumanS60-3-4	Kraken2	Human	Single	10%	60G	4.12
HumanS60-3-5	Kraken2	Human	Single	10%	60G	4.14
HumanS60-1-1	KMCP	Human	Single	90%	60G	24.88
HumanS60-1-2	KMCP	Human	Single	90%	60G	24.94
HumanS60-1-3	KMCP	Human	Single	90%	60G	25.2
HumanS60-1-4	KMCP	Human	Single	90%	60G	27.32
HumanS60-1-5	KMCP	Human	Single	90%	60G	27.72
HumanS60-2-1	KMCP	Human	Single	50%	60G	29.14
HumanS60-2-2	KMCP	Human	Single	50%	60G	27.2
HumanS60-2-3	KMCP	Human	Single	50%	60G	29.62
HumanS60-2-4	KMCP	Human	Single	50%	60G	28.62
HumanS60-2-5	KMCP	Human	Single	50%	60G	25.64
HumanS60-3-1	KMCP	Human	Single	10%	60G	28.39
HumanS60-3-2	KMCP	Human	Single	10%	60G	27.7
HumanS60-3-3	KMCP	Human	Single	10%	60G	27.8
HumanS60-3-4	KMCP	Human	Single	10%	60G	28.42
HumanS60-3-5	KMCP	Human	Single	10%	60G	27.76
HumanS60-1-1	KrakenUniq	Human	Single	90%	60G	33.34
HumanS60-1-2	KrakenUniq	Human	Single	90%	60G	33.68
HumanS60-1-3	KrakenUniq	Human	Single	90%	60G	33.43
HumanS60-1-4	KrakenUniq	Human	Single	90%	60G	33.74
HumanS60-1-5	KrakenUniq	Human	Single	90%	60G	33.79
HumanS60-2-1	KrakenUniq	Human	Single	50%	60G	33.62
HumanS60-2-2	KrakenUniq	Human	Single	50%	60G	33.67
HumanS60-2-3	KrakenUniq	Human	Single	50%	60G	33.66
HumanS60-2-4	KrakenUniq	Human	Single	50%	60G	33.74
HumanS60-2-5	KrakenUniq	Human	Single	50%	60G	33.41
HumanS60-3-1	KrakenUniq	Human	Single	10%	60G	33.36
HumanS60-3-2	KrakenUniq	Human	Single	10%	60G	33.26
HumanS60-3-3	KrakenUniq	Human	Single	10%	60G	33.66
HumanS60-3-4	KrakenUniq	Human	Single	10%	60G	33.56
HumanS60-3-5	KrakenUniq	Human	Single	10%	60G	33.56
RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	0.450175781
RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	0.456533203
RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	0.459716797
RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	0.462158203
RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	0.448193359
RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	0.449814453
RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	0.457607422
RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	0.459277344
RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	0.461269531
RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	0.451650391
RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	0.443867188
RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	0.439033203
RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	0.445761719
RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	0.459316406
RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	0.445126953
RiceM10-1-1	BWA	Rice	Multiple	90%	10G	1.41
RiceM10-1-2	BWA	Rice	Multiple	90%	10G	1.41
RiceM10-1-3	BWA	Rice	Multiple	90%	10G	1.4
RiceM10-1-4	BWA	Rice	Multiple	90%	10G	1.41
RiceM10-1-5	BWA	Rice	Multiple	90%	10G	1.42
RiceM10-2-1	BWA	Rice	Multiple	50%	10G	1.41
RiceM10-2-2	BWA	Rice	Multiple	50%	10G	1.41
RiceM10-2-3	BWA	Rice	Multiple	50%	10G	1.4
RiceM10-2-4	BWA	Rice	Multiple	50%	10G	1.41
RiceM10-2-5	BWA	Rice	Multiple	50%	10G	1.42
RiceM10-3-1	BWA	Rice	Multiple	10%	10G	1.35
RiceM10-3-2	BWA	Rice	Multiple	10%	10G	1.34
RiceM10-3-3	BWA	Rice	Multiple	10%	10G	1.4
RiceM10-3-4	BWA	Rice	Multiple	10%	10G	1.42
RiceM10-3-5	BWA	Rice	Multiple	10%	10G	1.35
RiceM10-1-1	KneadData	Rice	Multiple	90%	10G	6.36
RiceM10-1-2	KneadData	Rice	Multiple	90%	10G	6.36
RiceM10-1-3	KneadData	Rice	Multiple	90%	10G	6.36
RiceM10-1-4	KneadData	Rice	Multiple	90%	10G	6.36
RiceM10-1-5	KneadData	Rice	Multiple	90%	10G	6.36
RiceM10-2-1	KneadData	Rice	Multiple	50%	10G	6.28
RiceM10-2-2	KneadData	Rice	Multiple	50%	10G	6.29
RiceM10-2-3	KneadData	Rice	Multiple	50%	10G	6.28
RiceM10-2-4	KneadData	Rice	Multiple	50%	10G	6.28
RiceM10-2-5	KneadData	Rice	Multiple	50%	10G	6.28
RiceM10-3-1	KneadData	Rice	Multiple	10%	10G	6.48
RiceM10-3-2	KneadData	Rice	Multiple	10%	10G	6.5
RiceM10-3-3	KneadData	Rice	Multiple	10%	10G	6.48
RiceM10-3-4	KneadData	Rice	Multiple	10%	10G	6.48
RiceM10-3-5	KneadData	Rice	Multiple	10%	10G	6.49
RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	0.742792969
RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	0.759541016
RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	0.765507813
RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	0.753037109
RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	0.753066406
RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	0.749960938
RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	0.764414063
RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	0.7465625
RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	0.746318359
RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	0.753212891
RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	0.741376953
RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	0.743291016
RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	0.741367188
RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	0.736220703
RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	0.741748047
RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	3.87
RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	3.88
RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	3.89
RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	3.9
RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	3.94
RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	4.49
RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	4.48
RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	4.51
RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	4.51
RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	4.52
RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	4.45
RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	4.48
RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	4.49
RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	4.48
RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	4.51
RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	11.46
RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	11.49
RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	10.67
RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	11.43
RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	11.45
RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	11.43
RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	11.49
RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	10.19
RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	11.52
RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	11.43
RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	10.18
RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	10.25
RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	9.82
RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	10.2
RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	9.93
RiceM30-1-1	Bowtie2	Rice	Multiple	90%	30G	0.464013672
RiceM30-1-2	Bowtie2	Rice	Multiple	90%	30G	0.462558594
RiceM30-1-3	Bowtie2	Rice	Multiple	90%	30G	0.45984375
RiceM30-1-4	Bowtie2	Rice	Multiple	90%	30G	0.459873047
RiceM30-1-5	Bowtie2	Rice	Multiple	90%	30G	0.459794922
RiceM30-2-1	Bowtie2	Rice	Multiple	50%	30G	0.455361328
RiceM30-2-2	Bowtie2	Rice	Multiple	50%	30G	0.459960938
RiceM30-2-3	Bowtie2	Rice	Multiple	50%	30G	0.460400391
RiceM30-2-4	Bowtie2	Rice	Multiple	50%	30G	0.464130859
RiceM30-2-5	Bowtie2	Rice	Multiple	50%	30G	0.451806641
RiceM30-3-1	Bowtie2	Rice	Multiple	10%	30G	0.494082031
RiceM30-3-2	Bowtie2	Rice	Multiple	10%	30G	0.460107422
RiceM30-3-3	Bowtie2	Rice	Multiple	10%	30G	0.449443359
RiceM30-3-4	Bowtie2	Rice	Multiple	10%	30G	0.462382813
RiceM30-3-5	Bowtie2	Rice	Multiple	10%	30G	0.450214844
RiceM30-1-1	BWA	Rice	Multiple	90%	30G	1.4
RiceM30-1-2	BWA	Rice	Multiple	90%	30G	1.41
RiceM30-1-3	BWA	Rice	Multiple	90%	30G	1.4
RiceM30-1-4	BWA	Rice	Multiple	90%	30G	1.4
RiceM30-1-5	BWA	Rice	Multiple	90%	30G	1.4
RiceM30-2-1	BWA	Rice	Multiple	50%	30G	1.39
RiceM30-2-2	BWA	Rice	Multiple	50%	30G	1.39
RiceM30-2-3	BWA	Rice	Multiple	50%	30G	1.39
RiceM30-2-4	BWA	Rice	Multiple	50%	30G	1.39
RiceM30-2-5	BWA	Rice	Multiple	50%	30G	1.39
RiceM30-3-1	BWA	Rice	Multiple	10%	30G	1.37
RiceM30-3-2	BWA	Rice	Multiple	10%	30G	1.37
RiceM30-3-3	BWA	Rice	Multiple	10%	30G	1.34
RiceM30-3-4	BWA	Rice	Multiple	10%	30G	1.34
RiceM30-3-5	BWA	Rice	Multiple	10%	30G	1.36
RiceM30-1-1	KneadData	Rice	Multiple	90%	30G	15.09
RiceM30-1-2	KneadData	Rice	Multiple	90%	30G	15.1
RiceM30-1-3	KneadData	Rice	Multiple	90%	30G	15.09
RiceM30-1-4	KneadData	Rice	Multiple	90%	30G	15.09
RiceM30-1-5	KneadData	Rice	Multiple	90%	30G	15.09
RiceM30-2-1	KneadData	Rice	Multiple	50%	30G	16.3
RiceM30-2-2	KneadData	Rice	Multiple	50%	30G	16.22
RiceM30-2-3	KneadData	Rice	Multiple	50%	30G	16.19
RiceM30-2-4	KneadData	Rice	Multiple	50%	30G	16.29
RiceM30-2-5	KneadData	Rice	Multiple	50%	30G	16.2
RiceM30-3-1	KneadData	Rice	Multiple	10%	30G	15.17
RiceM30-3-2	KneadData	Rice	Multiple	10%	30G	15.22
RiceM30-3-3	KneadData	Rice	Multiple	10%	30G	15.18
RiceM30-3-4	KneadData	Rice	Multiple	10%	30G	15.18
RiceM30-3-5	KneadData	Rice	Multiple	10%	30G	15.2
RiceM30-1-1	Kraken2	Rice	Multiple	90%	30G	0.746074219
RiceM30-1-2	Kraken2	Rice	Multiple	90%	30G	0.765869141
RiceM30-1-3	Kraken2	Rice	Multiple	90%	30G	0.759628906
RiceM30-1-4	Kraken2	Rice	Multiple	90%	30G	0.764677734
RiceM30-1-5	Kraken2	Rice	Multiple	90%	30G	0.769550781
RiceM30-2-1	Kraken2	Rice	Multiple	50%	30G	0.767734375
RiceM30-2-2	Kraken2	Rice	Multiple	50%	30G	0.763144531
RiceM30-2-3	Kraken2	Rice	Multiple	50%	30G	0.765107422
RiceM30-2-4	Kraken2	Rice	Multiple	50%	30G	0.770292969
RiceM30-2-5	Kraken2	Rice	Multiple	50%	30G	0.773125
RiceM30-3-1	Kraken2	Rice	Multiple	10%	30G	0.753876953
RiceM30-3-2	Kraken2	Rice	Multiple	10%	30G	0.772958984
RiceM30-3-3	Kraken2	Rice	Multiple	10%	30G	0.758203125
RiceM30-3-4	Kraken2	Rice	Multiple	10%	30G	0.738984375
RiceM30-3-5	Kraken2	Rice	Multiple	10%	30G	0.751826172
RiceM30-1-1	KMCP	Rice	Multiple	90%	30G	4.52
RiceM30-1-2	KMCP	Rice	Multiple	90%	30G	4.56
RiceM30-1-3	KMCP	Rice	Multiple	90%	30G	4.56
RiceM30-1-4	KMCP	Rice	Multiple	90%	30G	4.56
RiceM30-1-5	KMCP	Rice	Multiple	90%	30G	4.57
RiceM30-2-1	KMCP	Rice	Multiple	50%	30G	4.51
RiceM30-2-2	KMCP	Rice	Multiple	50%	30G	4.55
RiceM30-2-3	KMCP	Rice	Multiple	50%	30G	4.55
RiceM30-2-4	KMCP	Rice	Multiple	50%	30G	4.57
RiceM30-2-5	KMCP	Rice	Multiple	50%	30G	4.57
RiceM30-3-1	KMCP	Rice	Multiple	10%	30G	4.49
RiceM30-3-2	KMCP	Rice	Multiple	10%	30G	4.53
RiceM30-3-3	KMCP	Rice	Multiple	10%	30G	4.54
RiceM30-3-4	KMCP	Rice	Multiple	10%	30G	4.57
RiceM30-3-5	KMCP	Rice	Multiple	10%	30G	4.54
RiceM30-1-1	KrakenUniq	Rice	Multiple	90%	30G	11.4
RiceM30-1-2	KrakenUniq	Rice	Multiple	90%	30G	11.58
RiceM30-1-3	KrakenUniq	Rice	Multiple	90%	30G	10.24
RiceM30-1-4	KrakenUniq	Rice	Multiple	90%	30G	11.59
RiceM30-1-5	KrakenUniq	Rice	Multiple	90%	30G	11.45
RiceM30-2-1	KrakenUniq	Rice	Multiple	50%	30G	11.33
RiceM30-2-2	KrakenUniq	Rice	Multiple	50%	30G	11.38
RiceM30-2-3	KrakenUniq	Rice	Multiple	50%	30G	10.21
RiceM30-2-4	KrakenUniq	Rice	Multiple	50%	30G	11.44
RiceM30-2-5	KrakenUniq	Rice	Multiple	50%	30G	11.54
RiceM30-3-1	KrakenUniq	Rice	Multiple	10%	30G	10.62
RiceM30-3-2	KrakenUniq	Rice	Multiple	10%	30G	10.61
RiceM30-3-3	KrakenUniq	Rice	Multiple	10%	30G	10.09
RiceM30-3-4	KrakenUniq	Rice	Multiple	10%	30G	10.62
RiceM30-3-5	KrakenUniq	Rice	Multiple	10%	30G	10.66
RiceM60-1-1	Bowtie2	Rice	Multiple	90%	60G	0.465742188
RiceM60-1-2	Bowtie2	Rice	Multiple	90%	60G	0.46421875
RiceM60-1-3	Bowtie2	Rice	Multiple	90%	60G	0.463466797
RiceM60-1-4	Bowtie2	Rice	Multiple	90%	60G	0.464384766
RiceM60-1-5	Bowtie2	Rice	Multiple	90%	60G	0.462382813
RiceM60-2-1	Bowtie2	Rice	Multiple	50%	60G	0.463515625
RiceM60-2-2	Bowtie2	Rice	Multiple	50%	60G	0.461044922
RiceM60-2-3	Bowtie2	Rice	Multiple	50%	60G	0.461376953
RiceM60-2-4	Bowtie2	Rice	Multiple	50%	60G	0.460498047
RiceM60-2-5	Bowtie2	Rice	Multiple	50%	60G	0.460957031
RiceM60-3-1	Bowtie2	Rice	Multiple	10%	60G	0.454755859
RiceM60-3-2	Bowtie2	Rice	Multiple	10%	60G	0.458427734
RiceM60-3-3	Bowtie2	Rice	Multiple	10%	60G	0.448681641
RiceM60-3-4	Bowtie2	Rice	Multiple	10%	60G	0.459804688
RiceM60-3-5	Bowtie2	Rice	Multiple	10%	60G	0.449794922
RiceM60-1-1	BWA	Rice	Multiple	90%	60G	1.42
RiceM60-1-2	BWA	Rice	Multiple	90%	60G	1.41
RiceM60-1-3	BWA	Rice	Multiple	90%	60G	1.42
RiceM60-1-4	BWA	Rice	Multiple	90%	60G	1.42
RiceM60-1-5	BWA	Rice	Multiple	90%	60G	1.42
RiceM60-2-1	BWA	Rice	Multiple	50%	60G	1.41
RiceM60-2-2	BWA	Rice	Multiple	50%	60G	1.41
RiceM60-2-3	BWA	Rice	Multiple	50%	60G	1.42
RiceM60-2-4	BWA	Rice	Multiple	50%	60G	1.42
RiceM60-2-5	BWA	Rice	Multiple	50%	60G	1.41
RiceM60-3-1	BWA	Rice	Multiple	10%	60G	1.35
RiceM60-3-2	BWA	Rice	Multiple	10%	60G	1.38
RiceM60-3-3	BWA	Rice	Multiple	10%	60G	1.34
RiceM60-3-4	BWA	Rice	Multiple	10%	60G	1.34
RiceM60-3-5	BWA	Rice	Multiple	10%	60G	1.34
RiceM60-1-1	KneadData	Rice	Multiple	90%	60G	30.27
RiceM60-1-2	KneadData	Rice	Multiple	90%	60G	30.28
RiceM60-1-3	KneadData	Rice	Multiple	90%	60G	30.27
RiceM60-1-4	KneadData	Rice	Multiple	90%	60G	30.27
RiceM60-1-5	KneadData	Rice	Multiple	90%	60G	30.27
RiceM60-2-1	KneadData	Rice	Multiple	50%	60G	32.48
RiceM60-2-2	KneadData	Rice	Multiple	50%	60G	32.52
RiceM60-2-3	KneadData	Rice	Multiple	50%	60G	32.74
RiceM60-2-4	KneadData	Rice	Multiple	50%	60G	32.47
RiceM60-2-5	KneadData	Rice	Multiple	50%	60G	32.72
RiceM60-3-1	KneadData	Rice	Multiple	10%	60G	30.32
RiceM60-3-2	KneadData	Rice	Multiple	10%	60G	30.39
RiceM60-3-3	KneadData	Rice	Multiple	10%	60G	30.3
RiceM60-3-4	KneadData	Rice	Multiple	10%	60G	30.3
RiceM60-3-5	KneadData	Rice	Multiple	10%	60G	30.34
RiceM60-1-1	Kraken2	Rice	Multiple	90%	60G	0.761542969
RiceM60-1-2	Kraken2	Rice	Multiple	90%	60G	0.768349609
RiceM60-1-3	Kraken2	Rice	Multiple	90%	60G	0.759853516
RiceM60-1-4	Kraken2	Rice	Multiple	90%	60G	0.769931641
RiceM60-1-5	Kraken2	Rice	Multiple	90%	60G	0.752304688
RiceM60-2-1	Kraken2	Rice	Multiple	50%	60G	0.779882813
RiceM60-2-2	Kraken2	Rice	Multiple	50%	60G	0.784619141
RiceM60-2-3	Kraken2	Rice	Multiple	50%	60G	0.776367188
RiceM60-2-4	Kraken2	Rice	Multiple	50%	60G	0.7703125
RiceM60-2-5	Kraken2	Rice	Multiple	50%	60G	0.779960938
RiceM60-3-1	Kraken2	Rice	Multiple	10%	60G	0.801367188
RiceM60-3-2	Kraken2	Rice	Multiple	10%	60G	0.773261719
RiceM60-3-3	Kraken2	Rice	Multiple	10%	60G	0.753867188
RiceM60-3-4	Kraken2	Rice	Multiple	10%	60G	0.765244141
RiceM60-3-5	Kraken2	Rice	Multiple	10%	60G	0.844882813
RiceM60-1-1	KMCP	Rice	Multiple	90%	60G	3.96
RiceM60-1-2	KMCP	Rice	Multiple	90%	60G	4
RiceM60-1-3	KMCP	Rice	Multiple	90%	60G	4.01
RiceM60-1-4	KMCP	Rice	Multiple	90%	60G	4.03
RiceM60-1-5	KMCP	Rice	Multiple	90%	60G	4.04
RiceM60-2-1	KMCP	Rice	Multiple	50%	60G	3.69
RiceM60-2-2	KMCP	Rice	Multiple	50%	60G	3.8
RiceM60-2-3	KMCP	Rice	Multiple	50%	60G	3.88
RiceM60-2-4	KMCP	Rice	Multiple	50%	60G	3.82
RiceM60-2-5	KMCP	Rice	Multiple	50%	60G	3.93
RiceM60-3-1	KMCP	Rice	Multiple	10%	60G	4.36
RiceM60-3-2	KMCP	Rice	Multiple	10%	60G	4.4
RiceM60-3-3	KMCP	Rice	Multiple	10%	60G	4.41
RiceM60-3-4	KMCP	Rice	Multiple	10%	60G	4.45
RiceM60-3-5	KMCP	Rice	Multiple	10%	60G	4.44
RiceM60-1-1	KrakenUniq	Rice	Multiple	90%	60G	11.42
RiceM60-1-2	KrakenUniq	Rice	Multiple	90%	60G	11.28
RiceM60-1-3	KrakenUniq	Rice	Multiple	90%	60G	10.05
RiceM60-1-4	KrakenUniq	Rice	Multiple	90%	60G	11.49
RiceM60-1-5	KrakenUniq	Rice	Multiple	90%	60G	11.42
RiceM60-2-1	KrakenUniq	Rice	Multiple	50%	60G	11.25
RiceM60-2-2	KrakenUniq	Rice	Multiple	50%	60G	11.27
RiceM60-2-3	KrakenUniq	Rice	Multiple	50%	60G	10.11
RiceM60-2-4	KrakenUniq	Rice	Multiple	50%	60G	11.36
RiceM60-2-5	KrakenUniq	Rice	Multiple	50%	60G	11.66
RiceM60-3-1	KrakenUniq	Rice	Multiple	10%	60G	11.49
RiceM60-3-2	KrakenUniq	Rice	Multiple	10%	60G	11.43
RiceM60-3-3	KrakenUniq	Rice	Multiple	10%	60G	10.19
RiceM60-3-4	KrakenUniq	Rice	Multiple	10%	60G	11.47
RiceM60-3-5	KrakenUniq	Rice	Multiple	10%	60G	10.96
HumanM10-1-1	Bowtie2	Human	Multiple	90%	10G	3.42
HumanM10-1-2	Bowtie2	Human	Multiple	90%	10G	3.42
HumanM10-1-3	Bowtie2	Human	Multiple	90%	10G	3.42
HumanM10-1-4	Bowtie2	Human	Multiple	90%	10G	3.43
HumanM10-1-5	Bowtie2	Human	Multiple	90%	10G	3.42
HumanM10-2-1	Bowtie2	Human	Multiple	50%	10G	3.42
HumanM10-2-2	Bowtie2	Human	Multiple	50%	10G	3.42
HumanM10-2-3	Bowtie2	Human	Multiple	50%	10G	3.42
HumanM10-2-4	Bowtie2	Human	Multiple	50%	10G	3.42
HumanM10-2-5	Bowtie2	Human	Multiple	50%	10G	3.42
HumanM10-3-1	Bowtie2	Human	Multiple	10%	10G	3.42
HumanM10-3-2	Bowtie2	Human	Multiple	10%	10G	3.42
HumanM10-3-3	Bowtie2	Human	Multiple	10%	10G	3.42
HumanM10-3-4	Bowtie2	Human	Multiple	10%	10G	3.42
HumanM10-3-5	Bowtie2	Human	Multiple	10%	10G	3.42
HumanM10-1-1	BWA	Human	Multiple	90%	10G	6.58
HumanM10-1-2	BWA	Human	Multiple	90%	10G	6.78
HumanM10-1-3	BWA	Human	Multiple	90%	10G	6.73
HumanM10-1-4	BWA	Human	Multiple	90%	10G	6.77
HumanM10-1-5	BWA	Human	Multiple	90%	10G	6.73
