KEGG_ko	anonymous_reads1
-	464964.327415
ko:K00001	116.84873999999999
ko:K00003	223.29698
ko:K00004	67.13418
ko:K00005	38.39597
ko:K00008	338.06647
ko:K00009	38.67712
ko:K00010	8.50535
ko:K00012	214.85370999999998
ko:K00013	443.18735
ko:K00014	183.85711
ko:K00015	7.454257
ko:K00016	113.41028
ko:K00018	74.57187
ko:K00020	66.7485
ko:K00023	10.10907
ko:K00024	171.58979
ko:K00027	381.23836
ko:K00029	93.62133
ko:K00030	83.56754
ko:K00031	123.47935
ko:K00033	43.45139
ko:K00034	7.97358
ko:K00036	31.18542
ko:K00038	20.521
ko:K00040	8.342849999999999
ko:K00041	49.8453
ko:K00042	23.1052
ko:K00045	12.17818
ko:K00046	344.19280000000003
ko:K00048	34.79314
ko:K00052	219.89324
ko:K00053	180.31543
ko:K00057	161.32186
ko:K00058	322.89948
ko:K00059	813.68357
ko:K00060	79.72115
ko:K00064	10.721969999999999
ko:K00065	19.402160000000002
ko:K00067	259.97261000000003
ko:K00068	23.62877
ko:K00073	3.2617
ko:K00074	157.08356
ko:K00075	149.86453
ko:K00076	70.82130000000001
ko:K00077	151.84424
ko:K00082	5.62955
ko:K00086	8.99274
ko:K00087	26.6652
ko:K00088	379.53067
ko:K00091	12.011849999999999
ko:K00096	72.32819
ko:K00097	54.46001
ko:K00099	155.22009
ko:K00102	26.8883
ko:K00104	30.582769999999996
ko:K00111	66.73967999999999
ko:K00112	2.61847
ko:K00113	9.29859
ko:K00121	115.7261
ko:K00123	103.5426
ko:K00124	14.94031
ko:K00127	58.21768
ko:K00128	80.50739
ko:K00130	2.31296
ko:K00131	20.13415
ko:K00132	13.81568
ko:K00133	220.8875
ko:K00134	340.05289999999997
ko:K00135	53.448699999999995
ko:K00140	25.304090000000002
ko:K00145	367.19897000000003
ko:K00146	18.42126
ko:K00147	143.07332
ko:K00148	27.3629
ko:K00151	18.42126
ko:K00156	95.54857
ko:K00158	4.88238
ko:K00161	16.58371
ko:K00162	6.52945
ko:K00164	25.575860000000002
ko:K00169	30.53027
ko:K00170	112.9689
ko:K00172	57.13662
ko:K00174	321.64300000000003
ko:K00175	162.88022
ko:K00176	747.9071
ko:K00177	143.2775
ko:K00179	111.183814
ko:K00180	117.5929
ko:K00183	201.58923
ko:K00184	350.05871
ko:K00185	66.11025
ko:K00186	12.92923
ko:K00196	43.82266
ko:K00198	42.28429
ko:K00208	43.20004
ko:K00209	14.93852
ko:K00210	31.50689
ko:K00215	151.1972
ko:K00219	100.40881
ko:K00226	115.554135
ko:K00230	19.56483
ko:K00239	159.12046
ko:K00240	64.94339
ko:K00241	71.46721
ko:K00243	198.20219
ko:K00244	369.70662
ko:K00245	9.17522
ko:K00246	6.46182
ko:K00248	41.2168
ko:K00252	3.49831
ko:K00254	90.65226
ko:K00259	166.89949099999998
ko:K00260	11.9436
ko:K00261	67.32766
ko:K00262	267.41632
ko:K00265	241.306497
ko:K00266	303.62724000000003
ko:K00273	5.90902
ko:K00274	3.61312
ko:K00275	143.47221
ko:K00278	109.31548
ko:K00281	74.84289
ko:K00282	8.53252
ko:K00283	78.69784
ko:K00284	236.745427
ko:K00285	5.66439
ko:K00286	279.10003
ko:K00287	88.57111
ko:K00290	242.8717
ko:K00294	26.89756
ko:K00297	102.8468
ko:K00313	62.2184
ko:K00318	3.06486
ko:K00324	37.79784
ko:K00325	85.51071
ko:K00330	46.55455
ko:K00331	22.66877
ko:K00332	6.71056
ko:K00333	112.33680000000001
ko:K00334	88.87695
ko:K00335	71.38853
ko:K00336	151.19424
