KEGG_ko	anonymous_reads0
ko:K00606	5.36072
ko:K00609	11.307758999999999
ko:K00610	5.149868000000001
ko:K00611	15.689095
ko:K00612	0.315072
ko:K00613	0.438971
ko:K00615	51.075093
ko:K00616	14.633516
ko:K00620	9.260917
ko:K00622	0.279781
ko:K00625	11.193706
ko:K00626	7.686963
ko:K00627	11.134038
ko:K00629	9.010814
ko:K00632	4.39723
ko:K00633	15.40445
ko:K00634	2.735938
ko:K00638	2.38832
ko:K00639	7.442571
ko:K00640	16.11137
ko:K00641	0.448723
ko:K00643	0.718082
ko:K00645	14.679053000000001
ko:K00646	0.312885
ko:K00647	4.573364
ko:K00648	8.607212
ko:K00649	1.43616
ko:K00650	2.578678
ko:K00651	7.130027
ko:K00652	5.92853
ko:K00653	35.278468
ko:K00654	1.9791750000000001
ko:K00655	18.416985
ko:K00656	31.365893
ko:K00657	6.5937090000000005
ko:K00658	11.814975
ko:K00661	24.057933
ko:K00662	0.343521
ko:K00663	0.574557
ko:K00665	4.135746
ko:K00666	7.1531400000000005
ko:K00671	15.446497
ko:K00674	1.523316
ko:K00677	4.629246
ko:K00681	3.7089790000000002
ko:K00682	4.3122799999999994
ko:K00683	0.416519
ko:K00684	1.7735059999999998
ko:K00688	26.942509
ko:K00689	1.06156
ko:K00690	2.28733
ko:K00691	6.994849
ko:K00692	0.274572
ko:K00693	4.397762
ko:K00694	2.834842
ko:K00697	0.47208300000000003
ko:K00699	88.426747
ko:K00700	19.681943
ko:K00702	1.669942
ko:K00703	3.823846
ko:K00705	40.986413
ko:K00710	18.508996
ko:K00712	1.2760630000000002
ko:K00713	0.319699
ko:K00715	0.33761
ko:K00716	0.435701
ko:K00717	0.0
ko:K00720	0.212893
ko:K00721	6.4767
ko:K00725	4.89617
ko:K00726	0.198201
ko:K00727	0.229926
ko:K00733	0.573954
ko:K00735	2.07585
ko:K00736	0.051699
ko:K00738	12.471122000000001
ko:K00742	5.5238879999999995
ko:K00746	1.8066879999999998
ko:K00747	1.141626
ko:K00748	3.579776
ko:K00750	9018.901515
ko:K00752	2.2348440000000003
ko:K00753	0.647602
ko:K00754	0.199283
ko:K00756	1.841738
ko:K00757	29.834056999999998
ko:K00758	1.841738
ko:K00759	16.66387
ko:K00760	13.105361
ko:K00761	34.638167
ko:K00762	13.879562
ko:K00763	13.445784
ko:K00764	49.74418
ko:K00765	12.177444
ko:K00766	8.951181
ko:K00767	10.515183
ko:K00768	28.640027
ko:K00771	1.82536
ko:K00772	1.8916
ko:K00773	13.375739000000001
ko:K00774	2.909445
ko:K00780	6.809241
ko:K00781	1.05041
ko:K00782	4.565054
ko:K00783	13.352415
ko:K00784	7.576332
ko:K00786	0.366672
ko:K00787	0.258759
ko:K00788	12.258967
ko:K00789	13.510691
ko:K00790	9.985237
ko:K00791	11.753428
ko:K00793	13.200576
ko:K00794	5.7011590000000005
ko:K00795	0.409935
ko:K00796	5.678184
ko:K00797	7.761844
ko:K00798	3.361267
ko:K00799	236.546495
ko:K00800	14.051331
ko:K00801	4.198051
ko:K00802	5.25664
ko:K00805	13.083236
ko:K00806	12.365646
ko:K00807	0.171894
ko:K00812	11.789692
ko:K00815	0.21013
ko:K00817	17.361957
ko:K00819	1.37934
ko:K00820	17.233058
ko:K00821	20.948578
ko:K00823	0.518178
ko:K00824	0.238118
ko:K00826	8.733585
ko:K00827	1.521002
ko:K00830	0.249104
ko:K00831	9.360686
ko:K00832	1.178147
ko:K00833	4.357355
ko:K00835	0.251623
ko:K00842	0.354603
ko:K00844	27.245483
ko:K00845	34.586228
ko:K00847	18.975157
ko:K00848	1.367044
ko:K00849	9.659485
ko:K00850	10.592473
ko:K00851	0.398947
ko:K00852	13.777096
ko:K00853	0.9016230000000001
ko:K00854	18.024759
ko:K00856	7.947675
ko:K00857	11.838363
ko:K00858	8.016387
ko:K00859	25.449388000000003
ko:K00860	4.687765000000001
ko:K00863	0.37826499999999996
ko:K00864	31.093189
ko:K00865	5.858085
ko:K00868	84.397316
ko:K00869	5.374369
ko:K00871	469.74757
ko:K00872	4.398792
ko:K00873	14.410995
ko:K00874	13.304942
ko:K00876	10.229194
ko:K00878	2.774273
ko:K00879	1.342706
ko:K00880	0.607823
ko:K00882	16.607174999999998
ko:K00886	1.899856
ko:K00887	2.4053839999999997
ko:K00889	15.744761
ko:K00891	61.70486
ko:K00895	1.564354
ko:K00898	0.365451
ko:K00899	7.899736
ko:K00901	7.04323
ko:K00907	22.450187
ko:K00911	0.0
ko:K00912	5.966253
ko:K00913	0.423802
ko:K00917	1.58699
ko:K00918	0.767069
ko:K00919	31.919128
ko:K00920	1.078079
ko:K00925	12.780452
ko:K00926	8.57476
ko:K00927	13.653457
ko:K00928	13.968083
ko:K00929	2.434264
ko:K00930	19.099825
ko:K00931	14.761973000000001
ko:K00933	24.796685
ko:K00936	5.689769999999999
ko:K00937	13.595616
ko:K00939	19.660635
ko:K00940	7.873307
ko:K00941	15.662891
ko:K00942	18.314892
ko:K00943	5.614696
ko:K00944	2.983339
ko:K00945	21.042821999999997
ko:K00946	5.749156
ko:K00948	14.841116
ko:K00949	10.033409
ko:K00950	10.861362
ko:K00951	15.68867
ko:K00954	9.010404999999999
ko:K00955	5.7239119999999994
ko:K00956	5.449869
ko:K00957	7.168429
ko:K00962	15.456223
ko:K00963	7.771139000000001
ko:K00965	5.555783
ko:K00966	1.09408
ko:K00967	0.0
ko:K00968	3.108426
ko:K00969	25.988596
ko:K00970	8.215335
ko:K00971	9.247972
ko:K00972	1.087101
ko:K00973	14.793222
ko:K00974	12.662061
ko:K00975	10.065556
ko:K00976	2.737502
ko:K00978	0.901122
ko:K00979	10.333335
ko:K00980	3.429378
ko:K00981	13.235562999999999
ko:K00982	0.8605670000000001
ko:K00983	1.634749
ko:K00986	19.263765
ko:K00989	2.229449
ko:K00990	0.65953
ko:K00991	23.865665999999997
ko:K00992	1.7757
ko:K00995	8.531843
ko:K00996	12.204415
ko:K00997	8.03383
ko:K00999	0.586588
ko:K01000	8.123327
ko:K01002	0.6466689999999999
ko:K01006	12.754169
ko:K01007	16.513869
ko:K01008	16.307384
ko:K01011	3.360443
ko:K01012	21.083114
ko:K01014	1.532886
ko:K01016	1.5801859999999999
ko:K01021	0.270569
ko:K01023	9.604645
ko:K01025	1.5801859999999999
ko:K01027	1.048279
ko:K01028	0.91491
ko:K01031	0.320016
ko:K01032	0.154227
ko:K01034	0.320016
ko:K01035	0.154227
ko:K01039	0.8574849999999999
ko:K01040	0.912431
ko:K01042	4.1301950000000005
ko:K01044	8.396193
ko:K01045	10.556754
ko:K01046	0.252313
ko:K01048	3.6651480000000003
ko:K01049	6.1484950000000005
ko:K01050	6.1484950000000005
ko:K01051	9.751384999999999
ko:K01053	3.7380120000000003
ko:K01055	0.414806
ko:K01056	12.987714
ko:K01057	1.70598
ko:K01058	0.440932
ko:K01060	6.8642710000000005
ko:K01063	6.1484950000000005
ko:K01064	4.319031
ko:K01066	3.050735
ko:K01067	1.207215
ko:K01070	9.363462
ko:K01071	14.704999
ko:K01073	2.78247
ko:K01074	1.403767
ko:K01077	8.705499
ko:K01079	5.983218
ko:K01081	7.420491
ko:K01082	7.076926
ko:K01084	3.213796
ko:K01089	2.9953700000000003
ko:K01090	0.462268
ko:K01091	32.947182
ko:K01092	7.514533999999999
ko:K01093	0.280829
ko:K01095	3.022384
ko:K01096	0.864391
ko:K01099	10.220769
ko:K01101	2.946523
ko:K01102	0.86193
ko:K01104	32.285174
ko:K01109	4.66577
ko:K01110	0.177192
ko:K01113	0.695425
ko:K01115	1.220974
ko:K01116	13.933223
ko:K01118	3.4004060000000003
ko:K01119	11.446394000000002
ko:K01122	0.138942
ko:K01124	0.83905
ko:K01126	21.011376
ko:K01128	0.327591
ko:K01129	10.199143
ko:K01130	17.01997
ko:K01131	16.715519999999998
ko:K01133	0.32673399999999997
ko:K01134	16.715519999999998
ko:K01135	1.399619
ko:K01136	41.21365
ko:K01138	2.1347050000000003
ko:K01139	8.271231
ko:K01141	0.383545
ko:K01142	15.784941
ko:K01144	2.847429
ko:K01147	1.51727
ko:K01150	0.496197
ko:K01151	10.303412
ko:K01153	21.553606
ko:K01154	81.471363
ko:K01155	5.1563680000000005
ko:K01156	6.500365
ko:K01159	10.54434
ko:K01163	9.5644
ko:K01164	0.0
ko:K01173	6.727533
ko:K01176	32.631566
ko:K01178	1.4134989999999998
ko:K01179	7.928543
ko:K01181	1.004617
ko:K01182	19.409046
ko:K01183	1.240753
ko:K01185	15.897181
ko:K01186	5.9396770000000005
ko:K01187	28.79974
ko:K01190	67.073797
ko:K01191	3.972944
ko:K01192	9.066332
ko:K01193	7.336615
ko:K01194	0.164569
ko:K01195	15.813957
ko:K01197	106.37065799999999
ko:K01198	6.23581
ko:K01200	4.888952
ko:K01201	5.569398
ko:K01202	0.551501
ko:K01203	3.4976380000000002
ko:K01205	6.918626000000001
ko:K01206	24.042167
ko:K01207	10.366136
ko:K01208	13.681442
ko:K01209	9.492451
ko:K01210	0.949337
ko:K01214	12.389294
ko:K01215	7.308429
ko:K01217	0.700276
ko:K01218	2.0894179999999998
ko:K01220	0.40141899999999997
ko:K01222	6.070617
ko:K01223	4.936129
ko:K01224	6.881799
ko:K01226	7.136565
ko:K01227	0.646994
ko:K01229	3.367889
ko:K01230	2.617051
ko:K01231	2.831232
ko:K01232	4.858931
ko:K01233	1.147027
ko:K01235	1.563952
ko:K01239	3.111363
ko:K01241	1.732229
ko:K01243	6.54936
ko:K01246	8.742609999999999
ko:K01247	1.032641
ko:K01250	2.083053
ko:K01251	3.307379
ko:K01253	0.749895
ko:K01254	0.0
ko:K01255	1.845126
ko:K01256	5.524942
ko:K01257	23.198912
ko:K01258	15.729346
ko:K01259	5.513853
ko:K01260	0.0
ko:K01262	16.339052
ko:K01265	24.90803
ko:K01266	0.508305
ko:K01267	4.553849
ko:K01270	11.762777
ko:K01271	2.437402
ko:K01273	12.937107
ko:K01274	5.645788
ko:K01277	3.964415
ko:K01278	38.620765
ko:K01280	0.0
ko:K01283	9.141609
ko:K01284	10.716285
ko:K01286	9.025339
ko:K01295	2.25652
ko:K01297	2.661429
ko:K01299	2.056347
ko:K01301	3.289974
ko:K01304	14.330932
ko:K01305	0.42320899999999995
ko:K01306	23.198912
ko:K01308	0.305534
ko:K01310	0.230471
ko:K01312	3.790385
ko:K01315	1.20866
ko:K01316	3.7051779999999996
ko:K01317	0.424753
ko:K01319	23.511809
ko:K01321	0.0
ko:K01322	1.590404
ko:K01323	6.567608
ko:K01324	9.40917
ko:K01327	6.3601909999999995
ko:K01328	0.202822
ko:K01329	23.511809
ko:K01330	0.106541
ko:K01331	0.972251
ko:K01332	22.097888
ko:K01334	6.3601909999999995
ko:K01335	22.097888
ko:K01337	2.75515
ko:K01338	20.367878
ko:K01342	1.749454
ko:K01343	0.202822
ko:K01346	1.261174
ko:K01347	0.29057
ko:K01349	3.904039
ko:K01350	8.027865
ko:K01353	23.511809
ko:K01354	0.600411
ko:K01356	11.966715
ko:K01358	22.154345
ko:K01359	4.482555
ko:K01360	2.582357
ko:K01361	7.286168999999999
ko:K01362	0.221687
ko:K01363	0.242114
ko:K01364	1.032813
ko:K01365	0.390495
ko:K01367	96.448026
ko:K01369	2.3916779999999997
ko:K01372	12.067898
ko:K01373	0.0473
ko:K01376	5.552861
ko:K01387	1.693532
ko:K01389	0.7397750000000001
ko:K01392	9.891496
ko:K01393	9.891496
ko:K01395	0.435746
ko:K01408	1.43616
ko:K01409	20.55853
ko:K01410	1.06067
ko:K01412	0.342524
ko:K01414	3.587164
ko:K01415	4.045612
ko:K01420	4.8404419999999995
ko:K01421	14.886219
ko:K01424	17.829234
ko:K01425	5.627758
ko:K01426	2.660069
ko:K01428	1.175721
ko:K01429	3.9816130000000003
ko:K01430	1.4840659999999999
ko:K01431	0.49501399999999995
ko:K01432	0.435718
ko:K01433	2.1882420000000002
ko:K01436	1.0404870000000002
ko:K01438	20.99633
ko:K01439	25.222224
ko:K01441	0.511952
ko:K01442	14.781874
ko:K01443	30.391819
ko:K01444	1.551228
ko:K01447	21.728037999999998
ko:K01448	29.150379
ko:K01449	5.781566
ko:K01457	0.684494
ko:K01460	0.184827
ko:K01462	23.05806
ko:K01463	0.166351
ko:K01464	1.3048549999999999
ko:K01465	11.40933
ko:K01468	2.574337
ko:K01469	0.226947
ko:K01470	3.346806
ko:K01476	3.433788
ko:K01478	8.682645
ko:K01480	8.677804
ko:K01481	4.737856
ko:K01482	4.996671999999999
ko:K01485	1.019457
ko:K01486	5.644751
ko:K01487	1.111774
ko:K01488	1.257391
ko:K01489	14.838057000000001
ko:K01491	9.973467
ko:K01493	9.518744
ko:K01494	6.417488
ko:K01495	3.642874
ko:K01496	17.133361
ko:K01501	0.933932
ko:K01507	1.300465
ko:K01512	9.665814000000001
ko:K01513	0.138942
ko:K01514	0.216943
ko:K01515	12.579341
ko:K01518	0.692851
ko:K01520	28.103298
ko:K01523	16.581157
ko:K01524	16.868282
ko:K01525	1.54406
ko:K01527	0.197656
ko:K01528	9.169087000000001
ko:K01530	19.972622
ko:K01531	3.590363
ko:K01533	18.22207
ko:K01534	20.598487000000002
ko:K01537	33.717178
ko:K01539	2.4652960000000004
ko:K01540	0.280174
ko:K01541	2.4652960000000004
ko:K01544	2.4652960000000004
ko:K01546	4.838083
ko:K01547	7.2066989999999995
ko:K01548	3.9026199999999998
ko:K01551	4.855045
ko:K01557	17.067881
ko:K01560	4.826348
ko:K01565	0.046314
ko:K01567	0.193596
ko:K01571	4.388211
ko:K01572	7.839713
ko:K01573	2.982936
ko:K01574	0.177629
ko:K01575	0.408438
ko:K01577	0.342514
ko:K01578	1.041234
ko:K01579	8.032295
ko:K01580	12.33149
ko:K01581	0.653188
ko:K01582	7.030459
ko:K01583	7.030459
ko:K01585	19.189339
ko:K01586	12.931204
ko:K01587	3.182957
ko:K01588	12.252552
ko:K01589	1.1273
ko:K01590	0.42862500000000003
ko:K01591	13.245415
ko:K01593	13.43822
ko:K01594	2.41779
ko:K01595	1.811565
ko:K01596	0.774562
ko:K01597	0.241772
ko:K01598	5.878714
ko:K01599	3.31486
ko:K01607	20.07792
ko:K01609	10.407984
ko:K01610	4.6685419999999995
ko:K01611	88.828869
ko:K01613	4.907278
ko:K01615	9.218925
ko:K01619	11.967262
ko:K01620	13.442413
ko:K01621	3.4118020000000002
ko:K01623	0.283879
ko:K01624	14.69978
ko:K01625	2.812747
ko:K01626	5.499485
ko:K01627	3.093703
ko:K01628	12.258206
ko:K01629	2.032473
ko:K01630	1.82986
ko:K01633	5.391396
ko:K01634	7.799776
ko:K01639	8.75309
ko:K01641	0.385572
ko:K01643	0.669402
ko:K01644	0.590118
ko:K01646	3.32615
ko:K01647	6.358383
ko:K01649	17.930158
ko:K01652	22.312578
ko:K01653	15.334964
ko:K01654	1.22425
ko:K01657	23.077802
ko:K01658	10.443075
ko:K01659	0.992426
ko:K01661	4.88326
ko:K01662	16.979136999999998
ko:K01664	6.258308
ko:K01665	3.250278
ko:K01666	0.964217
ko:K01667	1.4782250000000001
ko:K01668	0.49654999999999994
ko:K01672	142.69146
ko:K01673	12.618706
ko:K01674	0.134513
ko:K01676	9.151266
ko:K01677	9.103364
ko:K01678	18.300529
ko:K01679	5.292737
ko:K01681	11.573706
ko:K01683	1.837592
ko:K01684	1.703811
ko:K01685	2.154399
ko:K01686	4.3984760000000005
ko:K01687	13.734985
ko:K01689	14.906851999999999
ko:K01692	3.4265670000000004
ko:K01693	13.264446
ko:K01695	12.377438999999999
ko:K01696	11.555614
ko:K01697	1.859363
ko:K01698	3.731426
ko:K01703	16.368195
ko:K01704	22.181099
ko:K01706	0.584477
ko:K01707	5.175246
ko:K01708	2.205711
ko:K01709	1.281113
ko:K01710	12.953203
ko:K01711	4.35605
ko:K01712	5.371246
ko:K01713	0.6819379999999999
ko:K01714	22.166829
ko:K01715	3.082104
ko:K01719	1.436883
ko:K01727	2.170291
ko:K01729	1.794203
ko:K01730	0.195378
ko:K01733	14.943073
ko:K01734	6.610607
