KEGG_ko	anonymous_reads2
-	466042.388409
ko:K00001	130.05069
ko:K00003	119.42841
ko:K00004	13.74047
ko:K00005	75.6774
ko:K00008	353.46217
ko:K00009	75.83216
ko:K00010	3.05
ko:K00012	341.46439
ko:K00013	409.70103
ko:K00014	160.28197
ko:K00015	8.65262
ko:K00016	95.18236999999999
ko:K00018	116.67640999999999
ko:K00020	63.25862
ko:K00023	15.4787
ko:K00024	148.91946
ko:K00027	332.82949
ko:K00029	107.63376
ko:K00030	76.47295
ko:K00031	211.445361
ko:K00033	39.86052
ko:K00034	9.99029
ko:K00036	63.935908
ko:K00038	9.56599
ko:K00040	22.85054
ko:K00041	78.97306999999999
ko:K00042	25.834760000000003
ko:K00045	47.48617
ko:K00046	327.52889
ko:K00048	58.18592
ko:K00052	269.88792
ko:K00053	262.35083000000003
ko:K00057	207.86379
ko:K00058	399.049505
ko:K00059	894.110146
ko:K00060	86.85915
ko:K00064	18.758699999999997
ko:K00065	10.15017
ko:K00067	205.489489
ko:K00068	36.936679999999996
ko:K00073	9.36676
ko:K00074	151.237449
ko:K00075	256.663135
ko:K00076	110.78791
ko:K00077	126.73132
ko:K00082	5.15263
ko:K00086	10.4194
ko:K00087	23.99051
ko:K00088	249.78351999999998
ko:K00091	23.24445
ko:K00096	86.05844
ko:K00097	30.59174
ko:K00099	182.87245
ko:K00102	26.6766
ko:K00104	46.9053
ko:K00111	98.6642
ko:K00112	4.12685
ko:K00113	2.61722
ko:K00121	138.7226
ko:K00123	132.69263
ko:K00124	47.57606
ko:K00125	9.153649999999999
ko:K00127	52.40427
ko:K00128	83.38671000000001
ko:K00130	5.03066
ko:K00131	21.852220000000003
ko:K00132	91.22909
ko:K00133	260.78921
ko:K00134	229.43693
ko:K00135	11.5689
ko:K00140	29.87401
ko:K00145	279.39422
ko:K00146	16.85873
ko:K00147	130.25776
ko:K00148	24.7836
ko:K00151	16.85873
ko:K00156	163.53285
ko:K00158	4.31124
ko:K00161	16.28331
ko:K00162	4.48985
ko:K00164	15.39555
ko:K00169	94.42630000000001
ko:K00170	109.68713
ko:K00172	45.887
ko:K00174	239.36791
ko:K00175	147.33866
ko:K00176	731.29114
ko:K00177	181.53322
ko:K00179	119.26322
ko:K00180	47.90899
ko:K00183	192.176085
ko:K00184	169.78805
ko:K00185	50.68543
ko:K00186	4.255750000000001
ko:K00196	23.28591
ko:K00198	38.12914
ko:K00208	35.830096
ko:K00209	30.50636
ko:K00210	75.90044
ko:K00215	227.531329
ko:K00219	37.04145
ko:K00226	209.90044
ko:K00230	19.456319999999998
ko:K00239	106.33259
ko:K00240	85.45853
ko:K00241	28.37001
ko:K00243	166.25465
ko:K00244	348.86727
ko:K00245	11.40391
ko:K00246	6.30899
ko:K00248	46.60974
ko:K00252	11.339459999999999
ko:K00254	35.72921
