KEGG_ko	microbiome0
-	471521.730978
ko:K00001	216.16131
ko:K00003	181.2168
ko:K00004	6.88753
ko:K00005	49.297504
ko:K00008	390.07653
ko:K00009	40.973620000000004
ko:K00010	15.06624
ko:K00012	288.5943
ko:K00013	445.88294
ko:K00014	159.42515
ko:K00015	21.766170000000002
ko:K00016	171.99436
ko:K00018	148.17547000000002
ko:K00020	63.16962
ko:K00023	5.655939999999999
ko:K00024	115.63566
ko:K00027	381.90877
ko:K00029	66.62879
ko:K00030	77.70075
ko:K00031	144.23972
ko:K00033	229.49459000000002
ko:K00034	9.67812
ko:K00036	67.8052
ko:K00038	10.380880000000001
ko:K00040	15.2865
ko:K00041	80.54382
ko:K00042	14.57882
ko:K00045	10.02418
ko:K00046	490.22406
ko:K00048	36.780120000000004
ko:K00052	362.15665
ko:K00053	274.951374
ko:K00057	275.17114
ko:K00058	390.32175
ko:K00059	891.2114200000001
ko:K00060	80.59701
ko:K00064	5.18306
ko:K00065	13.23779
ko:K00067	155.770041
ko:K00068	25.53006
ko:K00073	4.92594
ko:K00074	143.99303
ko:K00075	269.61378
ko:K00076	11.96738
ko:K00077	164.41535
ko:K00082	7.04971
ko:K00086	11.3135
ko:K00087	10.57613
ko:K00088	276.7406
ko:K00091	11.78219
ko:K00096	55.52406
ko:K00097	55.73379
ko:K00099	288.84395
ko:K00102	28.4468
ko:K00104	32.29515
ko:K00111	172.46432
ko:K00112	3.48521
ko:K00113	2.77292
ko:K00121	141.656
ko:K00123	105.894259
ko:K00124	47.4197
ko:K00127	46.747082999999996
ko:K00128	122.09885
ko:K00130	4.24847
ko:K00131	20.90382
ko:K00132	54.5504
ko:K00133	206.053876
ko:K00134	260.81732999999997
ko:K00135	11.7242
ko:K00140	41.07153
ko:K00145	208.73099
ko:K00146	19.73918
ko:K00147	173.93816999999999
ko:K00148	27.254
ko:K00151	19.73918
ko:K00156	78.24801
ko:K00158	3.67922
ko:K00161	15.16807
ko:K00162	6.17524
ko:K00164	14.3682
ko:K00169	75.36529999999999
ko:K00170	111.20804
ko:K00172	47.51929
ko:K00174	302.16742999999997
ko:K00175	171.75986
ko:K00176	761.55213
ko:K00177	131.0438
ko:K00179	154.801382
ko:K00180	63.503521
ko:K00183	171.00804
ko:K00184	151.63335
ko:K00185	135.54478
ko:K00186	5.90549
ko:K00196	38.0993
ko:K00198	36.31543
ko:K00208	68.15709000000001
ko:K00209	12.660730000000001
ko:K00210	61.23365
ko:K00215	165.32135
ko:K00219	65.22654
ko:K00226	80.381167
ko:K00230	29.698120000000003
ko:K00239	119.94456
ko:K00240	62.88112
ko:K00241	57.62274
ko:K00243	97.31688
ko:K00244	447.9827
ko:K00245	10.603760000000001
ko:K00246	4.79537
ko:K00248	88.40392
ko:K00252	3.04093
ko:K00254	39.83776
ko:K00259	66.5745
ko:K00260	11.2411
ko:K00261	35.42013
ko:K00262	187.91991
ko:K00265	223.119011
ko:K00266	381.903783
ko:K00273	2.23224
ko:K00274	25.698880000000003
ko:K00275	14.04848
ko:K00278	179.05347
ko:K00281	120.55584400000001
ko:K00282	9.617953
ko:K00283	126.05516399999999
ko:K00284	218.13402100000002
ko:K00285	6.01609
ko:K00286	234.23042999999998
ko:K00287	177.56267
ko:K00288	0.0
ko:K00290	180.43828
ko:K00294	55.6345
ko:K00297	150.31213
ko:K00313	13.03903
ko:K00318	15.41379
ko:K00324	76.33242
ko:K00325	14.54769
ko:K00330	39.55586
ko:K00331	21.36437
ko:K00332	7.97248
ko:K00333	48.844210000000004
ko:K00334	37.363372999999996
ko:K00335	79.58503
ko:K00336	144.197416
ko:K00337	23.40681
ko:K00338	87.10579
ko:K00339	118.67517000000001
ko:K00340	67.36384
ko:K00341	40.0979
ko:K00342	31.32806
ko:K00343	46.90858
ko:K00344	6.39158
ko:K00346	33.1485
ko:K00347	38.66266
ko:K00348	25.76181
ko:K00349	33.40891
ko:K00350	166.00565
ko:K00351	131.15468
ko:K00354	4.39564
ko:K00355	12.466999999999999
ko:K00362	3.43767
ko:K00364	4.90488
ko:K00366	10.4695
ko:K00374	12.4589
ko:K00375	364.06181
ko:K00380	11.98046
ko:K00381	9.02468
ko:K00382	368.40105
