KEGG_ko	anonymous_reads2
-	186455.514876
ko:K00001	8.283564
ko:K00002	6.142271000000001
ko:K00003	6.91846
ko:K00004	0.218392
ko:K00005	3.968694
ko:K00008	20.470371
ko:K00009	4.36691
ko:K00010	0.176683
ko:K00011	6.142271000000001
ko:K00012	19.646158
ko:K00013	24.513513
ko:K00014	9.732992
ko:K00015	0.49138499999999996
ko:K00016	20.060483
ko:K00018	7.8124709999999995
ko:K00019	1.1028259999999999
ko:K00020	3.5680750000000003
ko:K00021	1.738616
ko:K00022	3.295386
ko:K00023	0.896188
ko:K00024	12.338306
ko:K00025	0.64758
ko:K00027	21.061154
ko:K00029	10.102373
ko:K00030	13.766421
ko:K00031	13.331000000000001
ko:K00033	2.581538
ko:K00034	0.578677
ko:K00036	3.641909
ko:K00037	0.518938
ko:K00038	0.55419
ko:K00040	1.3163559999999999
ko:K00041	4.548694
ko:K00042	1.3998119999999998
ko:K00045	2.7254620000000003
ko:K00046	19.961385
ko:K00048	3.340256
ko:K00052	14.051162999999999
ko:K00053	14.369496
ko:K00057	17.893754
ko:K00058	27.455434
ko:K00059	54.847741
ko:K00060	5.032509
ko:K00064	1.0488380000000002
ko:K00065	0.588037
ko:K00067	13.124047
ko:K00068	2.946921
ko:K00069	4.19694
ko:K00073	0.542559
ko:K00074	8.658975
ko:K00075	14.610242
ko:K00076	7.037666
ko:K00077	8.160086999999999
ko:K00082	0.298485
ko:K00086	0.603706
ko:K00087	1.379344
ko:K00088	16.029773
ko:K00089	0.885457
ko:K00091	1.355859
ko:K00096	4.866386
ko:K00097	1.813917
ko:K00099	10.144271
ko:K00102	1.54572
ko:K00104	2.7113050000000003
ko:K00111	5.699786
ko:K00112	0.239116
ko:K00113	0.151645
ko:K00121	13.314323
ko:K00123	6.613713
ko:K00124	2.74337
ko:K00125	0.530314
ko:K00127	3.035514
ko:K00128	6.179735
ko:K00129	0.359197
ko:K00130	0.291494
ko:K00131	1.266183
ko:K00132	4.300149
ko:K00133	14.612198
ko:K00134	23.424683
ko:K00135	0.670336
ko:K00140	1.947331
ko:K00145	15.507859
ko:K00146	0.975715
ko:K00147	6.59682
ko:K00148	1.43596
ko:K00151	0.975715
ko:K00156	6.781818
ko:K00158	0.249816
ko:K00161	9.464362
ko:K00162	3.456674
ko:K00164	7.896758
ko:K00169	5.450362
ko:K00170	6.347969
ko:K00172	2.657374
ko:K00174	16.830624
ko:K00175	8.44573
ko:K00176	40.598269
ko:K00177	10.279185
ko:K00179	6.889858
ko:K00180	2.774779
ko:K00182	2.03777
ko:K00183	10.737668
ko:K00184	9.572532
ko:K00185	2.935961
ko:K00186	0.404086
ko:K00196	1.347923
ko:K00198	2.2092609999999997
ko:K00208	4.534331
ko:K00209	1.7618779999999998
ko:K00210	4.195407
ko:K00212	1.404395
ko:K00215	13.071454000000001
ko:K00219	2.145803
ko:K00225	1.58642
ko:K00226	12.250198
ko:K00230	1.126701
ko:K00232	9.457104999999999
ko:K00234	14.944182
ko:K00236	0.652095
ko:K00237	0.247607
ko:K00239	6.136946
ko:K00240	4.298874
ko:K00241	4.299593
ko:K00243	9.130837
ko:K00244	20.380284
ko:K00245	0.6605540000000001
ko:K00246	0.365506
ko:K00248	2.490871
ko:K00251	1.404395
ko:K00252	0.656822
ko:K00254	2.067358
ko:K00259	7.137371
ko:K00260	0.771234
ko:K00261	3.416428
ko:K00262	19.995891
ko:K00265	12.050095
ko:K00266	16.088485
ko:K00272	68.02680000000001
ko:K00273	68.66317000000001
ko:K00274	0.5749489999999999
ko:K00275	4.590222
ko:K00277	15.97526
ko:K00278	8.628805999999999
ko:K00280	15.97526
ko:K00281	9.582843
ko:K00282	0.456782
ko:K00283	9.484499
ko:K00284	11.496735
ko:K00285	1.0017079999999998
ko:K00286	14.52292
ko:K00287	15.059179
ko:K00289	3.40332
ko:K00290	15.670438
ko:K00294	2.190818
ko:K00297	5.111975
ko:K00308	10.728244
ko:K00312	0.684631
