Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
247	RiceS60-3-2	BWA	Rice	Single	10%	60G	0.965553249	1	0.996432434	0.982474781
248	RiceS60-3-3	BWA	Rice	Single	10%	60G	0.962542116	1	0.996108442	0.98091359
249	RiceS60-3-4	BWA	Rice	Single	10%	60G	0.965231174	1	0.996397876	0.982308022
250	RiceS60-3-5	BWA	Rice	Single	10%	60G	0.961497936	1	0.995995617	0.980371091
251	RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	0.999972129	0.999782495	0.999975463	0.999877303
252	RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	0.999970671	0.99977838	0.999974906	0.999874516
253	RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	0.999972911	0.99977963	0.999975255	0.999876261
254	RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	0.999971035	0.999778224	0.999974927	0.99987462
255	RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	0.999970254	0.999779943	0.99997502	0.999875089
256	RiceS60-3-1	Kraken2	Rice	Single	10%	60G	0.994672768	0.994209947	0.998233119	0.994441304
257	RiceS60-3-2	Kraken2	Rice	Single	10%	60G	0.994648402	0.994192663	0.998226437	0.994420481
258	RiceS60-3-3	Kraken2	Rice	Single	10%	60G	0.994652408	0.994206555	0.998229296	0.994429432
259	RiceS60-3-4	Kraken2	Rice	Single	10%	60G	0.994634915	0.994213646	0.998227629	0.994424236
260	RiceS60-3-5	Kraken2	Rice	Single	10%	60G	0.994632536	0.994215986	0.998227685	0.994424218
261	RiceS60-3-1	KMCP	Rice	Single	10%	60G	1	0.74784443	0.974784443	0.855733402
262	RiceS60-3-2	KMCP	Rice	Single	10%	60G	1	0.74766328	0.974766328	0.855614795
263	RiceS60-3-3	KMCP	Rice	Single	10%	60G	1	0.747662134	0.974766213	0.855614045
264	RiceS60-3-4	KMCP	Rice	Single	10%	60G	1	0.747853909	0.974785391	0.855739608
265	RiceS60-3-5	KMCP	Rice	Single	10%	60G	1	0.747670363	0.974767036	0.855619434
266	RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	0.991998207	0.999999062	0.999193273	0.995982567
267	RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	0.991993387	0.99999875	0.999192752	0.995979982
268	RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	0.992001281	0.999998854	0.999193565	0.995984013
269	RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	0.991963253	0.999999062	0.999189721	0.995964949
270	RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	0.991957609	0.999998333	0.999189075	0.995961743
271	RiceM10-1-1	Kneaddata	Rice	Multiple	90%	10G	0.999682871	1	0.999714493	0.99984141
272	RiceM10-1-2	Kneaddata	Rice	Multiple	90%	10G	0.99934902	1	0.999413737	0.999674404
273	RiceM10-1-3	Kneaddata	Rice	Multiple	90%	10G	0.999765216	1	0.999788645	0.999882594
274	RiceM10-1-4	Kneaddata	Rice	Multiple	90%	10G	0.99979898	1	0.999819046	0.99989948
275	RiceM10-1-5	Kneaddata	Rice	Multiple	90%	10G	0.999586606	1	0.999627791	0.99979326
276	RiceM10-1-1	BWA	Rice	Multiple	90%	10G	0.998717091	1	0.998843898	0.999358134
277	RiceM10-1-2	BWA	Rice	Multiple	90%	10G	0.998414786	1	0.998571042	0.999206764
278	RiceM10-1-3	BWA	Rice	Multiple	90%	10G	0.999448042	1	0.999502964	0.999723945
279	RiceM10-1-4	BWA	Rice	Multiple	90%	10G	0.999041536	1	0.999136555	0.999520538
280	RiceM10-1-5	BWA	Rice	Multiple	90%	10G	0.998644836	1	0.998778697	0.999321958
281	RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	0.99999736	0.999782856	0.999802195	0.999890097
282	RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	0.999983635	0.999778245	0.999785695	0.999880929
283	RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	0.999995749	0.999781384	0.99979942	0.999888555
284	RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	0.999999166	0.99977905	0.999800395	0.999889096
285	RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	0.999998861	0.999780273	0.99980122	0.999889555
286	RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	0.999941022	0.978664259	0.980745882	0.989188241
287	RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	0.999922094	0.978691899	0.980754082	0.989193098
288	RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	0.999964436	0.978671426	0.980772958	0.989203359
289	RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	0.999961599	0.978697343	0.980793783	0.98921521
290	RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	0.999959357	0.978692038	0.980787033	0.989211403
291	RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	1	0.747819533	0.77303758	0.855717102
292	RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	1	0.747677697	0.772909927	0.855624236
293	RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	0.999999926	0.747719031	0.772947078	0.855651273
294	RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	1	0.747762976	0.772986679	0.855680074
295	RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	1	0.747838756	0.77305488	0.855729687
296	RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	0.999855184	0.999998889	0.999868647	0.999927031
297	RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	0.999600095	0.999998667	0.999638742	0.999799341
298	RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	0.999881289	0.999998556	0.999891848	0.999939919
299	RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	0.999911228	0.999998944	0.999919148	0.999955084
300	RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	0.999765327	0.999998278	0.999787195	0.999881789
301	RiceM10-2-1	Kneaddata	Rice	Multiple	50%	10G	0.997163205	1	0.998577568	0.998579588
302	RiceM10-2-2	Kneaddata	Rice	Multiple	50%	10G	0.994114707	1	0.997039933	0.997048669
303	RiceM10-2-3	Kneaddata	Rice	Multiple	50%	10G	0.997892005	1	0.998943776	0.99894489
304	RiceM10-2-4	Kneaddata	Rice	Multiple	50%	10G	0.998182568	1	0.999089629	0.999090457
305	RiceM10-2-5	Kneaddata	Rice	Multiple	50%	10G	0.996280997	1	0.998133557	0.998137035
306	RiceM10-2-1	BWA	Rice	Multiple	50%	10G	0.986798116	1	0.993310747	0.993355196
307	RiceM10-2-2	BWA	Rice	Multiple	50%	10G	0.985276869	1	0.99252843	0.99258384
308	RiceM10-2-3	BWA	Rice	Multiple	50%	10G	0.994559932	1	0.997265088	0.997272547
309	RiceM10-2-4	BWA	Rice	Multiple	50%	10G	0.992326807	1	0.996133737	0.996148627
310	RiceM10-2-5	BWA	Rice	Multiple	50%	10G	0.98847623	1	0.994170942	0.994204723
311	RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	0.999975545	0.999782195	0.999878872	0.999878861
312	RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	0.999844087	0.999780345	0.999812221	0.999812215
313	RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	0.999959542	0.999779595	0.999869572	0.99986956
314	RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	0.999993098	0.999776845	0.999884972	0.99988496
315	RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	0.999986447	0.999779445	0.999882947	0.999882935
316	RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	0.999460065	0.978685914	0.989078601	0.988963906
317	RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	0.999276953	0.978711015	0.989001424	0.988887068
318	RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	0.99968003	0.978707765	0.989197254	0.989082737
319	RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	0.999649296	0.978710215	0.989183428	0.989068945
320	RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	0.999628758	0.978668964	0.989152753	0.989037828
321	RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	1	0.74781955	0.873909775	0.855717114
322	RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	0.999999198	0.747685647	0.873842524	0.855629148
323	RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	0.999999599	0.747672647	0.873836173	0.855620782
324	RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	1	0.747831951	0.873915975	0.855725232
325	RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	1	0.747666747	0.873833373	0.855617066
326	RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	0.998707043	0.9999991	0.999352235	0.999352654
327	RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	0.996362095	0.9999988	0.998173808	0.998177135
328	RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	0.998926029	0.9999987	0.999461788	0.999462077
329	RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	0.999199922	0.999999	0.999599141	0.999599301
330	RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	0.997852967	0.9999983	0.998923325	0.998924482
331	RiceM10-3-1	Kneaddata	Rice	Multiple	10%	10G	0.974938626	1	0.997429441	0.987310302
332	RiceM10-3-2	Kneaddata	Rice	Multiple	10%	10G	0.949538917	1	0.994685728	0.974116401
333	RiceM10-3-3	Kneaddata	Rice	Multiple	10%	10G	0.98143668	1	0.998108556	0.990631384
334	RiceM10-3-4	Kneaddata	Rice	Multiple	10%	10G	0.983925728	1	0.998366312	0.991897745
335	RiceM10-3-5	Kneaddata	Rice	Multiple	10%	10G	0.967313718	1	0.996620922	0.983385323
336	RiceM10-3-1	BWA	Rice	Multiple	10%	10G	0.897340334	1	0.988559562	0.945892856
337	RiceM10-3-2	BWA	Rice	Multiple	10%	10G	0.881217712	1	0.986520665	0.93685883
338	RiceM10-3-3	BWA	Rice	Multiple	10%	10G	0.951942233	1	0.994951609	0.975379514
339	RiceM10-3-4	BWA	Rice	Multiple	10%	10G	0.933012805	1	0.992820335	0.965345705
340	RiceM10-3-5	BWA	Rice	Multiple	10%	10G	0.905403732	1	0.989552035	0.950353688
341	RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	0.999787995	0.999788495	0.999957649	0.999788245
342	RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	0.998597848	0.999758744	0.999835496	0.999177959
343	RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	0.99963979	0.999772495	0.999941224	0.999706138
344	RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	0.999934239	0.999787245	0.999972149	0.999860737
345	RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	0.999876984	0.999768995	0.999964599	0.999822986
346	RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	0.995163523	0.978627008	0.99738709	0.986825994
347	RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	0.993520134	0.994256335	0.997900893	0.993888098
348	RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	0.997137692	0.978589508	0.997578044	0.987776535
349	RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	0.996888251	0.978650509	0.997559569	0.987685197
350	RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	0.99667076	0.978734011	0.997546469	0.987620952
351	RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	0.999998663	0.748110207	0.974810921	0.855906883
352	RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	0.999990643	0.748122207	0.974811521	0.855911799
353	RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	0.999997327	0.748151707	0.974814971	0.855933554
354	RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	1	0.747938203	0.97479382	0.855794789
355	RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	1	0.747650196	0.97476502	0.855606228
356	RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	0.988399855	0.9999985	0.998826223	0.994165349
357	RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	0.968252155	0.999998	0.996720925	0.983869063
358	RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	0.990520477	0.9999975	0.999042728	0.995236428
359	RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	0.992824684	0.999999	0.999277183	0.996398928
360	RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	0.980901363	0.9999975	0.998052705	0.990357387
361	RiceM30-1-1	Kneaddata	Rice	Multiple	90%	30G	0.999683149	1	0.999714743	0.999841549
362	RiceM30-1-2	Kneaddata	Rice	Multiple	90%	30G	0.99934657	1	0.999411528	0.999673178
363	RiceM30-1-3	Kneaddata	Rice	Multiple	90%	30G	0.999765073	1	0.999788516	0.999882523
364	RiceM30-1-4	Kneaddata	Rice	Multiple	90%	30G	0.999797305	1	0.999817537	0.999898642
365	RiceM30-1-5	Kneaddata	Rice	Multiple	90%	30G	0.999584307	1	0.999625721	0.99979211
366	RiceM30-1-1	BWA	Rice	Multiple	90%	30G	0.998605676	0.999999988	0.998743346	0.999302346
367	RiceM30-1-2	BWA	Rice	Multiple	90%	30G	0.998397454	1	0.998555394	0.999198085
368	RiceM30-1-3	BWA	Rice	Multiple	90%	30G	0.999510321	1	0.999559073	0.999755101
369	RiceM30-1-4	BWA	Rice	Multiple	90%	30G	0.999180295	1	0.99926166	0.999589979
370	RiceM30-1-5	BWA	Rice	Multiple	90%	30G	0.998687851	1	0.998817515	0.999343495
371	RiceM30-1-1	Bowtie2	Rice	Multiple	90%	30G	0.999997256	0.999781534	0.999800912	0.999889384
372	RiceM30-1-2	Bowtie2	Rice	Multiple	90%	30G	0.999982623	0.999777194	0.999783839	0.999879898
373	RiceM30-1-3	Bowtie2	Rice	Multiple	90%	30G	0.999995288	0.999779382	0.999797204	0.999887323
374	RiceM30-1-4	Bowtie2	Rice	Multiple	90%	30G	0.999999213	0.99978106	0.999802245	0.999890124
375	RiceM30-1-5	Bowtie2	Rice	Multiple	90%	30G	0.999998553	0.999780238	0.999800912	0.999889384
376	RiceM30-1-1	Kraken2	Rice	Multiple	90%	30G	0.999939369	0.978671514	0.980750955	0.989191138
377	RiceM30-1-2	Kraken2	Rice	Multiple	90%	30G	0.99991968	0.978664881	0.980727642	0.989178117
378	RiceM30-1-3	Kraken2	Rice	Multiple	90%	30G	0.999963871	0.978675831	0.980776424	0.989205333
379	RiceM30-1-4	Kraken2	Rice	Multiple	90%	30G	0.999961294	0.978692428	0.980789091	0.98921255
380	RiceM30-1-5	Kraken2	Rice	Multiple	90%	30G	0.999958857	0.978673157	0.980769601	0.989201514
381	RiceM30-1-1	KMCP	Rice	Multiple	90%	30G	1	0.747726395	0.772953755	0.855656122
382	RiceM30-1-2	KMCP	Rice	Multiple	90%	30G	0.999999907	0.747620582	0.772858461	0.855586802
383	RiceM30-1-3	KMCP	Rice	Multiple	90%	30G	0.999999907	0.747660421	0.772894316	0.855612889
384	RiceM30-1-4	KMCP	Rice	Multiple	90%	30G	1	0.74768269	0.772914421	0.855627505
385	RiceM30-1-5	KMCP	Rice	Multiple	90%	30G	1	0.747822531	0.773040278	0.855719065
386	RiceM30-1-1	KrakenUniq	Rice	Multiple	90%	30G	0.999855249	0.999998935	0.999868747	0.999927087
387	RiceM30-1-2	KrakenUniq	Rice	Multiple	90%	30G	0.999596426	0.999998704	0.999635471	0.999797525
388	RiceM30-1-3	KrakenUniq	Rice	Multiple	90%	30G	0.999880613	0.999998426	0.999891123	0.999939516
389	RiceM30-1-4	KrakenUniq	Rice	Multiple	90%	30G	0.999910446	0.999998634	0.999918165	0.999954538
390	RiceM30-1-5	KrakenUniq	Rice	Multiple	90%	30G	0.999762481	0.999998565	0.999784891	0.999880509
391	RiceM30-2-1	Kneaddata	Rice	Multiple	50%	30G	0.997150328	1	0.998571092	0.998573131
392	RiceM30-2-2	Kneaddata	Rice	Multiple	50%	30G	0.994137767	1	0.997051599	0.997060267
393	RiceM30-2-3	Kneaddata	Rice	Multiple	50%	30G	0.997905722	1	0.998950663	0.998951763
394	RiceM30-2-4	Kneaddata	Rice	Multiple	50%	30G	0.998181812	1	0.99908925	0.999090079
395	RiceM30-2-5	Kneaddata	Rice	Multiple	50%	30G	0.996267564	1	0.99812679	0.998130293
396	RiceM30-2-1	BWA	Rice	Multiple	50%	30G	0.987512312	0.999999979	0.993677188	0.993716915
397	RiceM30-2-2	BWA	Rice	Multiple	50%	30G	0.985295422	1	0.992537985	0.992593254
398	RiceM30-2-3	BWA	Rice	Multiple	50%	30G	0.9944564	1	0.997212749	0.997220496
399	RiceM30-2-4	BWA	Rice	Multiple	50%	30G	0.997905722	1	0.998950663	0.998951763
400	RiceM30-2-5	BWA	Rice	Multiple	50%	30G	0.991647328	1	0.995788487	0.995806149
401	RiceM30-2-1	Bowtie2	Rice	Multiple	50%	30G	0.999976495	0.999782495	0.999879497	0.999879486
402	RiceM30-2-2	Bowtie2	Rice	Multiple	50%	30G	0.999846757	0.999776932	0.99981185	0.999811843
403	RiceM30-2-3	Bowtie2	Rice	Multiple	50%	30G	0.999959992	0.999782974	0.999871487	0.999871475
404	RiceM30-2-4	Bowtie2	Rice	Multiple	50%	30G	0.999992936	0.999779974	0.999886456	0.999886444
405	RiceM30-2-5	Bowtie2	Rice	Multiple	50%	30G	0.99998658	0.999779787	0.999883185	0.999883173
406	RiceM30-2-1	Kraken2	Rice	Multiple	50%	30G	0.99998658	0.999779787	0.999883185	0.999883173
407	RiceM30-2-2	Kraken2	Rice	Multiple	50%	30G	0.999461842	0.978645281	0.989059166	0.98894403
408	RiceM30-2-3	Kraken2	Rice	Multiple	50%	30G	0.999276613	0.978677074	0.9889843	0.988869576
409	RiceM30-2-4	Kraken2	Rice	Multiple	50%	30G	0.999679379	0.97866749	0.989176804	0.989061852
410	RiceM30-2-5	Kraken2	Rice	Multiple	50%	30G	0.99964969	0.978692887	0.98917496	0.989060289
411	RiceM30-2-1	KMCP	Rice	Multiple	50%	30G	0.999628207	0.978698554	0.989167273	0.989052668
412	RiceM30-2-2	KMCP	Rice	Multiple	50%	30G	0.999999889	0.747770345	0.873885131	0.855684857
413	RiceM30-2-3	KMCP	Rice	Multiple	50%	30G	0.999998941	0.747684051	0.87384163	0.855628009
414	RiceM30-2-4	KMCP	Rice	Multiple	50%	30G	0.999999666	0.747701968	0.873850859	0.855640006
415	RiceM30-2-5	KMCP	Rice	Multiple	50%	30G	1	0.747788762	0.873894381	0.855696956
416	RiceM30-2-1	KrakenUniq	Rice	Multiple	50%	30G	0.998699371	0.999998833	0.999348256	0.99934868
417	RiceM30-2-2	KrakenUniq	Rice	Multiple	50%	30G	0.996380767	0.999998667	0.998183146	0.998186438
418	RiceM30-2-3	KrakenUniq	Rice	Multiple	50%	30G	0.998937147	0.999998542	0.999467279	0.999467562
419	RiceM30-2-4	KrakenUniq	Rice	Multiple	50%	30G	0.999193423	0.999998917	0.999595845	0.999596008
420	RiceM30-2-5	KrakenUniq	Rice	Multiple	50%	30G	0.997843234	0.9999985	0.998918538	0.998919704
421	RiceM30-3-1	Kneaddata	Rice	Multiple	10%	30G	0.974942391	1	0.997429837	0.987312233
422	RiceM30-3-2	Kneaddata	Rice	Multiple	10%	30G	0.949790171	1	0.994713587	0.974248599
423	RiceM30-3-3	Kneaddata	Rice	Multiple	10%	30G	0.981454782	1	0.998110436	0.990640605
424	RiceM30-3-4	Kneaddata	Rice	Multiple	10%	30G	0.983795089	1	0.998352816	0.991831358
425	RiceM30-3-5	Kneaddata	Rice	Multiple	10%	30G	0.967395603	1	0.996629673	0.983427635
426	RiceM30-3-1	BWA	Rice	Multiple	10%	30G	0.894464887	1	0.988201313	0.944292917
427	RiceM30-3-2	BWA	Rice	Multiple	10%	30G	0.881313783	1	0.986533035	0.93691312
428	RiceM30-3-3	BWA	Rice	Multiple	10%	30G	0.952356765	1	0.994997333	0.975597065
429	RiceM30-3-4	BWA	Rice	Multiple	10%	30G	0.930706174	1	0.992554704	0.964109595
430	RiceM30-3-5	BWA	Rice	Multiple	10%	30G	0.902720769	1	0.989223774	0.948873617
431	RiceM30-3-1	Bowtie2	Rice	Multiple	10%	30G	0.999789785	0.999780932	0.999957072	0.999785359
432	RiceM30-3-2	Bowtie2	Rice	Multiple	10%	30G	0.998621458	0.999775724	0.999839559	0.999198257
433	RiceM30-3-3	Bowtie2	Rice	Multiple	10%	30G	0.999630464	0.999781141	0.999941155	0.999705797
434	RiceM30-3-4	Bowtie2	Rice	Multiple	10%	30G	0.999940822	0.999774891	0.999971572	0.99985785
435	RiceM30-3-5	Bowtie2	Rice	Multiple	10%	30G	0.999869672	0.999771453	0.999964114	0.99982056
436	RiceM30-3-1	Kraken2	Rice	Multiple	10%	30G	0.995201425	0.978711804	0.997399274	0.986887739
437	RiceM30-3-2	Kraken2	Rice	Multiple	10%	30G	0.993553254	0.978681491	0.997233124	0.986061301
438	RiceM30-3-3	Kraken2	Rice	Multiple	10%	30G	0.997126322	0.978667949	0.997584747	0.987810914
439	RiceM30-3-4	Kraken2	Rice	Multiple	10%	30G	0.99685142	0.978689928	0.997559871	0.987687193
440	RiceM30-3-5	Kraken2	Rice	Multiple	10%	30G	0.996673829	0.978678678	0.997541256	0.987594287
441	RiceM30-3-1	KMCP	Rice	Multiple	10%	30G	0.999999443	0.747842346	0.974784193	0.855731834
442	RiceM30-3-2	KMCP	Rice	Multiple	10%	30G	0.999991365	0.747941307	0.974793485	0.855793659
443	RiceM30-3-3	KMCP	Rice	Multiple	10%	30G	0.999998328	0.747731511	0.974773026	0.85565886
444	RiceM30-3-4	KMCP	Rice	Multiple	10%	30G	1	0.747750678	0.974775068	0.855672021
445	RiceM30-3-5	KMCP	Rice	Multiple	10%	30G	1	0.747477546	0.974747755	0.855493163
446	RiceM30-3-1	KrakenUniq	Rice	Multiple	10%	30G	0.988407555	0.999998958	0.998827056	0.994169471
447	RiceM30-3-2	KrakenUniq	Rice	Multiple	10%	30G	0.968410487	0.999998542	0.996737863	0.98395106
448	RiceM30-3-3	KrakenUniq	Rice	Multiple	10%	30G	0.990496366	0.999998333	0.999040353	0.99522467
449	RiceM30-3-4	KrakenUniq	Rice	Multiple	10%	30G	0.992742877	0.999999167	0.9992689	0.996357811
450	RiceM30-3-5	KrakenUniq	Rice	Multiple	10%	30G	0.980968534	0.999998125	0.998059747	0.990391928
451	RiceM60-1-1	Kneaddata	Rice	Multiple	90%	60G	0.999683635	1	0.999715181	0.999841792
452	RiceM60-1-2	Kneaddata	Rice	Multiple	90%	60G	0.999342501	1	0.999407861	0.999671142
453	RiceM60-1-3	Kneaddata	Rice	Multiple	90%	60G	0.999765119	1	0.999788558	0.999882546
454	RiceM60-1-4	Kneaddata	Rice	Multiple	90%	60G	0.999798196	1	0.99981834	0.999899088
455	RiceM60-1-5	Kneaddata	Rice	Multiple	90%	60G	0.999585301	1	0.999626616	0.999792608
456	RiceM60-1-1	BWA	Rice	Multiple	90%	60G	0.998535523	0.999999994	0.998680032	0.999267222
457	RiceM60-1-2	BWA	Rice	Multiple	90%	60G	0.998360162	1	0.998521721	0.999179408
458	RiceM60-1-3	BWA	Rice	Multiple	90%	60G	0.999395161	1	0.999455316	0.999697489
459	RiceM60-1-4	BWA	Rice	Multiple	90%	60G	0.99918182	1	0.999263035	0.999590743
460	RiceM60-1-5	BWA	Rice	Multiple	90%	60G	0.998729567	1	0.998855156	0.99936438
461	RiceM60-1-1	Bowtie2	Rice	Multiple	90%	60G	0.999997308	0.999781858	0.999801251	0.999889572
462	RiceM60-1-2	Bowtie2	Rice	Multiple	90%	60G	0.999982826	0.999779486	0.999786084	0.999881145
463	RiceM60-1-3	Bowtie2	Rice	Multiple	90%	60G	0.99999545	0.99978213	0.999799824	0.999888779
464	RiceM60-1-4	Bowtie2	Rice	Multiple	90%	60G	0.99999923	0.999782188	0.999803277	0.999890697
465	RiceM60-1-5	Bowtie2	Rice	Multiple	90%	60G	0.999998489	0.999781459	0.999801954	0.999889962
466	RiceM60-1-1	Kraken2	Rice	Multiple	90%	60G	0.9998981	0.964464559	0.969934209	0.981861751
467	RiceM60-1-2	Kraken2	Rice	Multiple	90%	60G	0.999864	0.964462544	0.969904903	0.981844266
468	RiceM60-1-3	Kraken2	Rice	Multiple	90%	60G	0.99993979	0.964464063	0.969967523	0.981881593
469	RiceM60-1-4	Kraken2	Rice	Multiple	90%	60G	0.99993437	0.964503712	0.969996782	0.981899527
470	RiceM60-1-5	Kraken2	Rice	Multiple	90%	60G	0.99993023	0.96448355	0.969976323	0.981887083
471	RiceM60-1-1	KMCP	Rice	Multiple	90%	60G	1	0.747761037	0.772984933	0.855678804
472	RiceM60-1-2	KMCP	Rice	Multiple	90%	60G	0.999999923	0.747723131	0.772950766	0.855653957
473	RiceM60-1-3	KMCP	Rice	Multiple	90%	60G	0.999999954	0.747678384	0.772910515	0.855624669
474	RiceM60-1-4	KMCP	Rice	Multiple	90%	60G	1	0.747693998	0.772924598	0.85563491
475	RiceM60-1-5	KMCP	Rice	Multiple	90%	60G	1	0.74782157	0.773039413	0.855718436
476	RiceM60-1-1	KrakenUniq	Rice	Multiple	90%	60G	0.999855978	0.999998843	0.99986932	0.999927405
477	RiceM60-1-2	KrakenUniq	Rice	Multiple	90%	60G	0.999594333	0.999998715	0.999633596	0.999796483
478	RiceM60-1-3	KrakenUniq	Rice	Multiple	90%	60G	0.999880555	0.999998542	0.999891175	0.999939545
479	RiceM60-1-4	KrakenUniq	Rice	Multiple	90%	60G	0.999911198	0.999998588	0.9999188	0.999954891
480	RiceM60-1-5	KrakenUniq	Rice	Multiple	90%	60G	0.999760815	0.999998762	0.999783568	0.999879774
481	RiceM60-2-1	Kneaddata	Rice	Multiple	50%	60G	0.997155673	1	0.99857378	0.998575811
482	RiceM60-2-2	Kneaddata	Rice	Multiple	50%	60G	0.994169538	1	0.997067672	0.997076246
483	RiceM60-2-3	Kneaddata	Rice	Multiple	50%	60G	0.997906427	1	0.998951018	0.998952117
484	RiceM60-2-4	Kneaddata	Rice	Multiple	50%	60G	0.998170125	1	0.999083385	0.999084225
485	RiceM60-2-5	Kneaddata	Rice	Multiple	50%	60G	0.996275401	1	0.998130738	0.998134226
486	RiceM60-2-1	BWA	Rice	Multiple	50%	60G	0.98705356	0.99999999	0.993441871	0.993484599
487	RiceM60-2-2	BWA	Rice	Multiple	50%	60G	0.985254517	1	0.992516917	0.992572498
488	RiceM60-2-3	BWA	Rice	Multiple	50%	60G	0.99446766	1	0.997218441	0.997226157
489	RiceM60-2-4	BWA	Rice	Multiple	50%	60G	0.991821972	1	0.99587727	0.995894197
490	RiceM60-2-5	BWA	Rice	Multiple	50%	60G	0.988128557	1	0.993992967	0.994028835
491	RiceM60-2-1	Bowtie2	Rice	Multiple	50%	60G	0.99997663	0.999781745	0.99987919	0.999879178
492	RiceM60-2-2	Bowtie2	Rice	Multiple	50%	60G	0.999847403	0.999777766	0.999812589	0.999812583
493	RiceM60-2-3	Bowtie2	Rice	Multiple	50%	60G	0.999959158	0.999779245	0.999869205	0.999869194
494	RiceM60-2-4	Bowtie2	Rice	Multiple	50%	60G	0.99999329	0.999780943	0.999887117	0.999887105
495	RiceM60-2-5	Bowtie2	Rice	Multiple	50%	60G	0.999985382	0.999780047	0.999882716	0.999882704
496	RiceM60-2-1	Kraken2	Rice	Multiple	50%	60G	0.999463641	0.978668397	0.989071599	0.988956713
497	RiceM60-2-2	Kraken2	Rice	Multiple	50%	60G	0.999282694	0.978663761	0.988980628	0.988865757
498	RiceM60-2-3	Kraken2	Rice	Multiple	50%	60G	0.999681381	0.978673407	0.989180742	0.989065853
