Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
60	RiceS10-2-5	KrakenUniq	Rice	Single	50%	10G	0.999093999	0.9999983	0.99954574	0.999545945
61	RiceS10-3-1	Kneaddata	Rice	Single	10%	10G	0.98196048	1	0.998162908	0.990898143
62	RiceS10-3-2	Kneaddata	Rice	Single	10%	10G	0.981875632	1	0.998154108	0.990854942
63	RiceS10-3-3	Kneaddata	Rice	Single	10%	10G	0.981902145	1	0.998156858	0.990868442
64	RiceS10-3-4	Kneaddata	Rice	Single	10%	10G	0.98179128	1	0.998145357	0.990811989
65	RiceS10-3-5	Kneaddata	Rice	Single	10%	10G	0.981700197	1	0.998135907	0.990765604
66	RiceS10-3-1	BWA	Rice	Single	10%	10G	0.964204762	1	0.99628759	0.981776219
67	RiceS10-3-2	BWA	Rice	Single	10%	10G	0.970109981	1	0.996918904	0.984828249
68	RiceS10-3-3	BWA	Rice	Single	10%	10G	0.963883654	1	0.996253039	0.981609732
69	RiceS10-3-4	BWA	Rice	Single	10%	10G	0.965039902	1	0.996377342	0.982208963
70	RiceS10-3-5	BWA	Rice	Single	10%	10G	0.964953296	1	0.996368041	0.982164104
71	RiceS10-3-1	Bowtie2	Rice	Single	10%	10G	0.999972244	0.999788495	0.999976074	0.999880361
72	RiceS10-3-2	Bowtie2	Rice	Single	10%	10G	0.999967993	0.999758744	0.999972674	0.999863358
73	RiceS10-3-3	Bowtie2	Rice	Single	10%	10G	0.999974494	0.999772495	0.999974699	0.999873484
74	RiceS10-3-4	Bowtie2	Rice	Single	10%	10G	0.999970744	0.999787245	0.999975799	0.999878986
75	RiceS10-3-5	Bowtie2	Rice	Single	10%	10G	0.999971744	0.999768995	0.999974074	0.999870359
76	RiceS10-3-1	Kraken2	Rice	Single	10%	10G	0.994702517	0.978627008	0.997341514	0.986599284
77	RiceS10-3-2	Kraken2	Rice	Single	10%	10G	0.994640764	0.978844013	0.997356989	0.986679166
78	RiceS10-3-3	Kraken2	Rice	Single	10%	10G	0.994695996	0.978589508	0.997337139	0.986577019
79	RiceS10-3-4	Kraken2	Rice	Single	10%	10G	0.994606604	0.978650509	0.997334364	0.986564044
80	RiceS10-3-5	Kraken2	Rice	Single	10%	10G	0.99454364	0.978734011	0.997336439	0.986575493
81	RiceS10-3-1	KMCP	Rice	Single	10%	10G	1	0.748110207	0.974811021	0.855907372
82	RiceS10-3-2	KMCP	Rice	Single	10%	10G	1	0.748122207	0.974812221	0.855915226
83	RiceS10-3-3	KMCP	Rice	Single	10%	10G	1	0.748151707	0.974815171	0.855934533
84	RiceS10-3-4	KMCP	Rice	Single	10%	10G	1	0.747938203	0.97479382	0.855794789
85	RiceS10-3-5	KMCP	Rice	Single	10%	10G	1	0.747650196	0.97476502	0.855606228
86	RiceS10-3-1	KrakenUniq	Rice	Single	10%	10G	0.992047552	0.9999985	0.999198232	0.996007158
87	RiceS10-3-2	KrakenUniq	Rice	Single	10%	10G	0.992000802	0.999998	0.999193431	0.995983348
88	RiceS10-3-3	KrakenUniq	Rice	Single	10%	10G	0.992030813	0.9999975	0.999196432	0.995998226
89	RiceS10-3-4	KrakenUniq	Rice	Single	10%	10G	0.991951607	0.999999	0.999188531	0.995959048
90	RiceS10-3-5	KrakenUniq	Rice	Single	10%	10G	0.991819266	0.9999975	0.999174931	0.995891593
91	RiceS30-1-1	Kneaddata	Rice	Single	90%	30G	0.999775416	1	0.999797829	0.999887695
92	RiceS30-1-2	Kneaddata	Rice	Single	90%	30G	0.999770279	1	0.999793204	0.999885126
93	RiceS30-1-3	Kneaddata	Rice	Single	90%	30G	0.999771968	1	0.999794724	0.999885971
94	RiceS30-1-4	Kneaddata	Rice	Single	90%	30G	0.999768775	1	0.999791849	0.999884374
95	RiceS30-1-5	Kneaddata	Rice	Single	90%	30G	0.999773032	1	0.999795683	0.999886503
96	RiceS30-1-1	BWA	Rice	Single	90%	30G	0.999593987	0.999999988	0.999634429	0.999796946
97	RiceS30-1-2	BWA	Rice	Single	90%	30G	0.9996537	1	0.999688222	0.99982682
98	RiceS30-1-3	BWA	Rice	Single	90%	30G	0.999598694	1	0.999638679	0.999799307
99	RiceS30-1-4	BWA	Rice	Single	90%	30G	0.999557824	1	0.999601866	0.999778863
100	RiceS30-1-5	BWA	Rice	Single	90%	30G	0.999461146	1	0.99951477	0.9997305
101	RiceS30-1-1	Bowtie2	Rice	Single	90%	30G	0.999999664	0.999781534	0.999803079	0.999890587
102	RiceS30-1-2	Bowtie2	Rice	Single	90%	30G	0.999999618	0.999777194	0.999799131	0.999888394
103	RiceS30-1-3	Bowtie2	Rice	Single	90%	30G	0.999999676	0.999779382	0.999801152	0.999889517
