SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes	Times
HumanS10-2-4	KrakenUniq	Human	Single	50%	10G	33.64	25.61673333
HumanS10-2-5	KrakenUniq	Human	Single	50%	10G	33.68	25.22468333
HumanS10-3-1	KrakenUniq	Human	Single	10%	10G	33.58	20.502
HumanS10-3-2	KrakenUniq	Human	Single	10%	10G	33.59	20.86871667
HumanS10-3-3	KrakenUniq	Human	Single	10%	10G	33.59	20.87486667
HumanS10-3-4	KrakenUniq	Human	Single	10%	10G	33.57	21.43468333
HumanS10-3-5	KrakenUniq	Human	Single	10%	10G	33.6	22.4196
HumanS30-1-1	Bowtie2	Human	Single	90%	30G	3.42	475.5333667
HumanS30-1-2	Bowtie2	Human	Single	90%	30G	3.42	509.9064667
HumanS30-1-3	Bowtie2	Human	Single	90%	30G	3.42	520.7070667
HumanS30-1-4	Bowtie2	Human	Single	90%	30G	3.42	500.2645
HumanS30-1-5	Bowtie2	Human	Single	90%	30G	3.42	451.0878
HumanS30-2-1	Bowtie2	Human	Single	50%	30G	3.42	374.8788833
HumanS30-2-2	Bowtie2	Human	Single	50%	30G	3.42	390.1744833
HumanS30-2-3	Bowtie2	Human	Single	50%	30G	3.42	336.28055
HumanS30-2-4	Bowtie2	Human	Single	50%	30G	3.42	295.6901
HumanS30-2-5	Bowtie2	Human	Single	50%	30G	3.42	271.6737667
HumanS30-3-1	Bowtie2	Human	Single	10%	30G	3.42	83.45755
HumanS30-3-2	Bowtie2	Human	Single	10%	30G	3.42	87.50126667
HumanS30-3-3	Bowtie2	Human	Single	10%	30G	3.42	88.89266667
HumanS30-3-4	Bowtie2	Human	Single	10%	30G	3.42	87.27725
HumanS30-3-5	Bowtie2	Human	Single	10%	30G	3.42	85.30548333
HumanS30-1-1	BWA	Human	Single	90%	30G	6.58	1042.029833
HumanS30-1-2	BWA	Human	Single	90%	30G	6.79	1136.2448
HumanS30-1-3	BWA	Human	Single	90%	30G	6.74	1094.7642
HumanS30-1-4	BWA	Human	Single	90%	30G	6.78	1137.379917
HumanS30-1-5	BWA	Human	Single	90%	30G	6.74	1098.042583
HumanS30-2-1	BWA	Human	Single	50%	30G	6.58	818.9995
HumanS30-2-2	BWA	Human	Single	50%	30G	6.79	863.43295
HumanS30-2-3	BWA	Human	Single	50%	30G	6.74	740.4398
HumanS30-2-4	BWA	Human	Single	50%	30G	6.77	762.3025833
HumanS30-2-5	BWA	Human	Single	50%	30G	6.73	736.3806
HumanS30-3-1	BWA	Human	Single	10%	30G	6.57	486.1668333
HumanS30-3-2	BWA	Human	Single	10%	30G	6.78	483.4205833
HumanS30-3-3	BWA	Human	Single	10%	30G	6.73	443.6253
HumanS30-3-4	BWA	Human	Single	10%	30G	6.77	380.47035
HumanS30-3-5	BWA	Human	Single	10%	30G	6.73	373.6745667
HumanS30-1-1	Kneaddata	Human	Single	90%	30G	15.09	1176.279017
HumanS30-1-2	Kneaddata	Human	Single	90%	30G	15.09	1179.414917
HumanS30-1-3	Kneaddata	Human	Single	90%	30G	15.1	1172.920833
HumanS30-1-4	Kneaddata	Human	Single	90%	30G	15.09	1267.469317
HumanS30-1-5	Kneaddata	Human	Single	90%	30G	15.09	1207.204217
HumanS30-2-1	Kneaddata	Human	Single	50%	30G	16.18	712.0519667
HumanS30-2-2	Kneaddata	Human	Single	50%	30G	16.18	711.7667333
HumanS30-2-3	Kneaddata	Human	Single	50%	30G	16.18	699.0075333
HumanS30-2-4	Kneaddata	Human	Single	50%	30G	16.18	749.7923167
HumanS30-2-5	Kneaddata	Human	Single	50%	30G	16.18	718.6415667
HumanS30-3-1	Kneaddata	Human	Single	10%	30G	15.17	235.2262
HumanS30-3-2	Kneaddata	Human	Single	10%	30G	15.17	238.9139167
HumanS30-3-3	Kneaddata	Human	Single	10%	30G	15.17	231.0254833
HumanS30-3-4	Kneaddata	Human	Single	10%	30G	15.17	238.1166667
HumanS30-3-5	Kneaddata	Human	Single	10%	30G	15.17	230.8345667
HumanS30-1-1	Kraken2	Human	Single	90%	30G	4.1	37.71965
HumanS30-1-2	Kraken2	Human	Single	90%	30G	4.11	34.78265
HumanS30-1-3	Kraken2	Human	Single	90%	30G	4.12	34.00226667
HumanS30-1-4	Kraken2	Human	Single	90%	30G	4.12	34.15408333
HumanS30-1-5	Kraken2	Human	Single	90%	30G	4.11	35.27168333
HumanS30-2-1	Kraken2	Human	Single	50%	30G	4.13	27.44423333
HumanS30-2-2	Kraken2	Human	Single	50%	30G	4.12	27.32015
HumanS30-2-3	Kraken2	Human	Single	50%	30G	4.13	27.10325
HumanS30-2-4	Kraken2	Human	Single	50%	30G	4.12	31.43868333
HumanS30-2-5	Kraken2	Human	Single	50%	30G	4.12	32.86773333
HumanS30-3-1	Kraken2	Human	Single	10%	30G	4.12	27.43913333
HumanS30-3-2	Kraken2	Human	Single	10%	30G	4.12	31.89183333
HumanS30-3-3	Kraken2	Human	Single	10%	30G	4.11	32.85933333
HumanS30-3-4	Kraken2	Human	Single	10%	30G	4.12	33.0732
HumanS30-3-5	Kraken2	Human	Single	10%	30G	4.12	33.09036667
HumanS30-1-1	KMCP	Human	Single	90%	30G	24.8	221.9747
HumanS30-1-2	KMCP	Human	Single	90%	30G	24.91	230.9822833
HumanS30-1-3	KMCP	Human	Single	90%	30G	24.89	231.68465
HumanS30-1-4	KMCP	Human	Single	90%	30G	25.45	213.5566
HumanS30-1-5	KMCP	Human	Single	90%	30G	25.18	212.9432833
HumanS30-2-1	KMCP	Human	Single	50%	30G	24.8	215.7506833
HumanS30-2-2	KMCP	Human	Single	50%	30G	24.9	226.7789833
HumanS30-2-3	KMCP	Human	Single	50%	30G	24.91	225.2798667
HumanS30-2-4	KMCP	Human	Single	50%	30G	25.42	210.6833
HumanS30-2-5	KMCP	Human	Single	50%	30G	25.16	208.5350167
HumanS30-3-1	KMCP	Human	Single	10%	30G	24.77	210.81965
HumanS30-3-2	KMCP	Human	Single	10%	30G	24.81	226.3768333
HumanS30-3-3	KMCP	Human	Single	10%	30G	24.84	223.7126167
HumanS30-3-4	KMCP	Human	Single	10%	30G	25.36	209.1769833
HumanS30-3-5	KMCP	Human	Single	10%	30G	25.06	206.2068667
HumanS30-1-1	KrakenUniq	Human	Single	90%	30G	33.45	69.7891
HumanS30-1-2	KrakenUniq	Human	Single	90%	30G	33.55	74.63256667
HumanS30-1-3	KrakenUniq	Human	Single	90%	30G	33.51	75.08445
HumanS30-1-4	KrakenUniq	Human	Single	90%	30G	33.7	68.68853333
HumanS30-1-5	KrakenUniq	Human	Single	90%	30G	33.66	70.79816667
HumanS30-2-1	KrakenUniq	Human	Single	50%	30G	33.5	58.38243333
HumanS30-2-2	KrakenUniq	Human	Single	50%	30G	33.47	58.54605
HumanS30-2-3	KrakenUniq	Human	Single	50%	30G	33.67	61.77651667
HumanS30-2-4	KrakenUniq	Human	Single	50%	30G	33.72	62.59493333
HumanS30-2-5	KrakenUniq	Human	Single	50%	30G	33.73	59.88346667
HumanS30-3-1	KrakenUniq	Human	Single	10%	30G	33.6	45.97855
HumanS30-3-2	KrakenUniq	Human	Single	10%	30G	33.48	53.50385
HumanS30-3-3	KrakenUniq	Human	Single	10%	30G	33.59	50.5956
HumanS30-3-4	KrakenUniq	Human	Single	10%	30G	33.65	48.82858333
HumanS30-3-5	KrakenUniq	Human	Single	10%	30G	33.63	50.8606
HumanS60-1-1	Bowtie2	Human	Single	90%	60G	3.42	833.5232167
HumanS60-1-2	Bowtie2	Human	Single	90%	60G	3.42	831.2908
HumanS60-1-3	Bowtie2	Human	Single	90%	60G	3.42	887.6742333
HumanS60-1-4	Bowtie2	Human	Single	90%	60G	3.42	909.33985
HumanS60-1-5	Bowtie2	Human	Single	90%	60G	3.42	883.709
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	3.42	556.52875
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	3.42	542.84715
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	3.42	535.8918667
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	3.42	565.93455
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	3.42	570.91985
HumanS60-3-1	Bowtie2	Human	Single	10%	60G	3.42	169.9165333
HumanS60-3-2	Bowtie2	Human	Single	10%	60G	3.42	171.0274833
HumanS60-3-3	Bowtie2	Human	Single	10%	60G	3.42	171.5506667
HumanS60-3-4	Bowtie2	Human	Single	10%	60G	3.42	156.6538333
HumanS60-3-5	Bowtie2	Human	Single	10%	60G	3.42	170.6323
HumanS60-1-1	BWA	Human	Single	90%	60G	6.58	2081.079733
HumanS60-1-2	BWA	Human	Single	90%	60G	6.79	2274.77785
HumanS60-1-3	BWA	Human	Single	90%	60G	6.74	2447.997217
HumanS60-1-4	BWA	Human	Single	90%	60G	6.77	2533.347467
HumanS60-1-5	BWA	Human	Single	90%	60G	6.74	2109.64995
HumanS60-2-1	BWA	Human	Single	50%	60G	6.58	1531.725383
HumanS60-2-2	BWA	Human	Single	50%	60G	6.78	1549.126683
HumanS60-2-3	BWA	Human	Single	50%	60G	6.74	1701.493617
HumanS60-2-4	BWA	Human	Single	50%	60G	6.77	1744.315767
HumanS60-2-5	BWA	Human	Single	50%	60G	6.74	1479.236067
HumanS60-3-1	BWA	Human	Single	10%	60G	6.57	722.73595
HumanS60-3-2	BWA	Human	Single	10%	60G	6.79	762.4044833
HumanS60-3-3	BWA	Human	Single	10%	60G	6.73	751.6674667
HumanS60-3-4	BWA	Human	Single	10%	60G	6.77	759.229
HumanS60-3-5	BWA	Human	Single	10%	60G	6.73	751.7468833
HumanS60-1-1	Kneaddata	Human	Single	90%	60G	30.27	2338.3572
HumanS60-1-2	Kneaddata	Human	Single	90%	60G	29.77	2384.057683
HumanS60-1-3	Kneaddata	Human	Single	90%	60G	30.27	2367.7224
HumanS60-1-4	Kneaddata	Human	Single	90%	60G	30.27	2604.50675
HumanS60-1-5	Kneaddata	Human	Single	90%	60G	29.37	2386.837533
HumanS60-2-1	Kneaddata	Human	Single	50%	60G	32.75	1404.900483
HumanS60-2-2	Kneaddata	Human	Single	50%	60G	32.75	1390.942033
HumanS60-2-3	Kneaddata	Human	Single	50%	60G	32.51	1452.802183
HumanS60-2-4	Kneaddata	Human	Single	50%	60G	32.57	1528.9055
HumanS60-2-5	Kneaddata	Human	Single	50%	60G	32.75	1522.5018
HumanS60-3-1	Kneaddata	Human	Single	10%	60G	30.27	464.2505333
HumanS60-3-2	Kneaddata	Human	Single	10%	60G	30.27	460.2624833
HumanS60-3-3	Kneaddata	Human	Single	10%	60G	30.27	456.2115167
HumanS60-3-4	Kneaddata	Human	Single	10%	60G	30.27	465.4139
HumanS60-3-5	Kneaddata	Human	Single	10%	60G	30.27	461.0307667
HumanS60-1-1	Kraken2	Human	Single	90%	60G	4.13	60.33003333
HumanS60-1-2	Kraken2	Human	Single	90%	60G	4.12	58.54558333
HumanS60-1-3	Kraken2	Human	Single	90%	60G	4.13	60.11646667
HumanS60-1-4	Kraken2	Human	Single	90%	60G	4.13	60.07896667
HumanS60-1-5	Kraken2	Human	Single	90%	60G	4.14	58.98033333
HumanS60-2-1	Kraken2	Human	Single	50%	60G	4.11	70.25238333
HumanS60-2-2	Kraken2	Human	Single	50%	60G	4.12	69.96375
HumanS60-2-3	Kraken2	Human	Single	50%	60G	4.12	70.46858333
HumanS60-2-4	Kraken2	Human	Single	50%	60G	4.12	70.23696667
HumanS60-2-5	Kraken2	Human	Single	50%	60G	4.12	71.52765
HumanS60-3-1	Kraken2	Human	Single	10%	60G	4.13	65.28406667
HumanS60-3-2	Kraken2	Human	Single	10%	60G	4.13	64.67535
HumanS60-3-3	Kraken2	Human	Single	10%	60G	4.14	68.67285
HumanS60-3-4	Kraken2	Human	Single	10%	60G	4.12	68.6377
HumanS60-3-5	Kraken2	Human	Single	10%	60G	4.14	66.82856667
HumanS60-1-1	KMCP	Human	Single	90%	60G	24.88	441.6749
HumanS60-1-2	KMCP	Human	Single	90%	60G	24.94	454.3990167
HumanS60-1-3	KMCP	Human	Single	90%	60G	25.2	418.0103333
HumanS60-1-4	KMCP	Human	Single	90%	60G	27.32	272.6723167
HumanS60-1-5	KMCP	Human	Single	90%	60G	27.72	243.7447
HumanS60-2-1	KMCP	Human	Single	50%	60G	29.14	349.7242333
HumanS60-2-2	KMCP	Human	Single	50%	60G	27.2	244.3457333
HumanS60-2-3	KMCP	Human	Single	50%	60G	29.62	363.97605
HumanS60-2-4	KMCP	Human	Single	50%	60G	28.62	383.6955
HumanS60-2-5	KMCP	Human	Single	50%	60G	25.64	340.1922
HumanS60-3-1	KMCP	Human	Single	10%	60G	28.39	205.1519
HumanS60-3-2	KMCP	Human	Single	10%	60G	27.7	204.4523833
HumanS60-3-3	KMCP	Human	Single	10%	60G	27.8	205.8073
HumanS60-3-4	KMCP	Human	Single	10%	60G	28.42	204.8969167
HumanS60-3-5	KMCP	Human	Single	10%	60G	27.76	206.0418
HumanS60-1-1	KrakenUniq	Human	Single	90%	60G	33.34	138.8017667
HumanS60-1-2	KrakenUniq	Human	Single	90%	60G	33.68	151.9437167
HumanS60-1-3	KrakenUniq	Human	Single	90%	60G	33.43	134.7311
HumanS60-1-4	KrakenUniq	Human	Single	90%	60G	33.74	151.9938
HumanS60-1-5	KrakenUniq	Human	Single	90%	60G	33.79	121.9088167
HumanS60-2-1	KrakenUniq	Human	Single	50%	60G	33.62	118.4055167
HumanS60-2-2	KrakenUniq	Human	Single	50%	60G	33.67	118.08065
HumanS60-2-3	KrakenUniq	Human	Single	50%	60G	33.66	126.38655
HumanS60-2-4	KrakenUniq	Human	Single	50%	60G	33.74	122.9788167
HumanS60-2-5	KrakenUniq	Human	Single	50%	60G	33.41	131.1783667
HumanS60-3-1	KrakenUniq	Human	Single	10%	60G	33.36	102.6874333
HumanS60-3-2	KrakenUniq	Human	Single	10%	60G	33.26	110.6483
HumanS60-3-3	KrakenUniq	Human	Single	10%	60G	33.66	99.1601
HumanS60-3-4	KrakenUniq	Human	Single	10%	60G	33.56	100.8682667
HumanS60-3-5	KrakenUniq	Human	Single	10%	60G	33.56	100.8682667
RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	0.450175781	187.3283167
RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	0.456533203	185.1307333
RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	0.459716797	178.62925
RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	0.462158203	178.6082833
RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	0.448193359	183.5368167
RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	0.449814453	111.70525
RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	0.457607422	105.5545833
RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	0.459277344	109.84275
RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	0.461269531	104.4167667
RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	0.451650391	104.3827667
RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	0.443867188	33.40208333
RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	0.439033203	31.86333333
RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	0.445761719	30.64135
RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	0.459316406	31.30763333
RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	0.445126953	32.07216667
RiceM10-1-1	BWA	Rice	Multiple	90%	10G	1.41	221.9793333
RiceM10-1-2	BWA	Rice	Multiple	90%	10G	1.41	249.3843333
RiceM10-1-3	BWA	Rice	Multiple	90%	10G	1.4	256.72045
RiceM10-1-4	BWA	Rice	Multiple	90%	10G	1.41	229.0841167
RiceM10-1-5	BWA	Rice	Multiple	90%	10G	1.42	227.0979
RiceM10-2-1	BWA	Rice	Multiple	50%	10G	1.41	221.9793333
RiceM10-2-2	BWA	Rice	Multiple	50%	10G	1.41	249.3843333
RiceM10-2-3	BWA	Rice	Multiple	50%	10G	1.4	256.72045
RiceM10-2-4	BWA	Rice	Multiple	50%	10G	1.41	229.0841167
RiceM10-2-5	BWA	Rice	Multiple	50%	10G	1.42	227.0979
RiceM10-3-1	BWA	Rice	Multiple	10%	10G	1.35	128.15935
RiceM10-3-2	BWA	Rice	Multiple	10%	10G	1.34	134.2503667
RiceM10-3-3	BWA	Rice	Multiple	10%	10G	1.4	121.7813833
RiceM10-3-4	BWA	Rice	Multiple	10%	10G	1.42	110.5470333
RiceM10-3-5	BWA	Rice	Multiple	10%	10G	1.35	129.0065
RiceM10-1-1	Kneaddata	Rice	Multiple	90%	10G	6.36	367.2485333
RiceM10-1-2	Kneaddata	Rice	Multiple	90%	10G	6.36	363.6475
RiceM10-1-3	Kneaddata	Rice	Multiple	90%	10G	6.36	356.5056833
RiceM10-1-4	Kneaddata	Rice	Multiple	90%	10G	6.36	374.8211833
RiceM10-1-5	Kneaddata	Rice	Multiple	90%	10G	6.36	371.6665
RiceM10-2-1	Kneaddata	Rice	Multiple	50%	10G	6.28	281.6902
RiceM10-2-2	Kneaddata	Rice	Multiple	50%	10G	6.29	286.16775
RiceM10-2-3	Kneaddata	Rice	Multiple	50%	10G	6.28	281.3608833
RiceM10-2-4	Kneaddata	Rice	Multiple	50%	10G	6.28	284.4828833
RiceM10-2-5	Kneaddata	Rice	Multiple	50%	10G	6.28	278.4560167
RiceM10-3-1	Kneaddata	Rice	Multiple	10%	10G	6.48	81.183
RiceM10-3-2	Kneaddata	Rice	Multiple	10%	10G	6.5	78.69693333
RiceM10-3-3	Kneaddata	Rice	Multiple	10%	10G	6.48	79.44423333
RiceM10-3-4	Kneaddata	Rice	Multiple	10%	10G	6.48	79.05721667
RiceM10-3-5	Kneaddata	Rice	Multiple	10%	10G	6.49	77.74306667
RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	0.742792969	13.3867
RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	0.759541016	13.44685
RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	0.765507813	12.52068333
RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	0.753037109	13.12598333
RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	0.753066406	13.6429
RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	0.749960938	13.05438333
RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	0.764414063	13.42515
RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	0.7465625	13.51718333
RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	0.746318359	13.5625
RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	0.753212891	11.49046667
RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	0.741376953	11.90076667
RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	0.743291016	12.8203
RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	0.741367188	11.92588333
RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	0.736220703	12.442
RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	0.741748047	12.74181667
RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	3.87	60.91856667
RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	3.88	60.91623333
RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	3.89	60.87355
RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	3.9	60.64443333
RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	3.94	60.0641
RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	4.49	40.68551667
RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	4.48	40.72651667
RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	4.51	40.68385
RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	4.51	40.69338333
RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	4.52	40.68656667
RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	4.45	39.93695
RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	4.48	39.92805
RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	4.49	39.87731667
RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	4.48	39.82591667
RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	4.51	39.8189
RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	11.46	24.67118333
RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	11.49	23.59381667
RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	10.67	24.93063333
RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	11.43	22.24766667
RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	11.45	22.9417
RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	11.43	22.24766667
RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	11.49	20.23408333
RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	10.19	20.89588333
RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	11.52	21.15246667
RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	11.43	22.7321
RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	10.18	20.68591667
RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	10.25	20.74366667
RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	9.82	20.15553333
RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	10.2	19.12736667
RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	9.93	19.16538333
RiceM30-1-1	Bowtie2	Rice	Multiple	90%	30G	0.464013672	451.4259333
RiceM30-1-2	Bowtie2	Rice	Multiple	90%	30G	0.462558594	433.3998167
RiceM30-1-3	Bowtie2	Rice	Multiple	90%	30G	0.45984375	443.5436333
RiceM30-1-4	Bowtie2	Rice	Multiple	90%	30G	0.459873047	442.9458167
RiceM30-1-5	Bowtie2	Rice	Multiple	90%	30G	0.459794922	443.37475
RiceM30-2-1	Bowtie2	Rice	Multiple	50%	30G	0.455361328	250.3634333
RiceM30-2-2	Bowtie2	Rice	Multiple	50%	30G	0.459960938	249.8828
RiceM30-2-3	Bowtie2	Rice	Multiple	50%	30G	0.460400391	247.9868667
RiceM30-2-4	Bowtie2	Rice	Multiple	50%	30G	0.464130859	251.2808167
RiceM30-2-5	Bowtie2	Rice	Multiple	50%	30G	0.451806641	250.9217333
RiceM30-3-1	Bowtie2	Rice	Multiple	10%	30G	0.494082031	71.67305
RiceM30-3-2	Bowtie2	Rice	Multiple	10%	30G	0.460107422	71.73486667
RiceM30-3-3	Bowtie2	Rice	Multiple	10%	30G	0.449443359	70.14771667
RiceM30-3-4	Bowtie2	Rice	Multiple	10%	30G	0.462382813	70.25948333
RiceM30-3-5	Bowtie2	Rice	Multiple	10%	30G	0.450214844	71.09518333
RiceM30-1-1	BWA	Rice	Multiple	90%	30G	1.4	591.46345
RiceM30-1-2	BWA	Rice	Multiple	90%	30G	1.41	572.3188667
RiceM30-1-3	BWA	Rice	Multiple	90%	30G	1.4	603.64925
RiceM30-1-4	BWA	Rice	Multiple	90%	30G	1.4	604.5531667
RiceM30-1-5	BWA	Rice	Multiple	90%	30G	1.4	587.1028333
RiceM30-2-1	BWA	Rice	Multiple	50%	30G	1.39	440.02565
RiceM30-2-2	BWA	Rice	Multiple	50%	30G	1.39	441.8617167
RiceM30-2-3	BWA	Rice	Multiple	50%	30G	1.39	427.1023167
RiceM30-2-4	BWA	Rice	Multiple	50%	30G	1.39	419.70465
RiceM30-2-5	BWA	Rice	Multiple	50%	30G	1.39	427.3997167
RiceM30-3-1	BWA	Rice	Multiple	10%	30G	1.37	299.22965
RiceM30-3-2	BWA	Rice	Multiple	10%	30G	1.37	307.2310667
RiceM30-3-3	BWA	Rice	Multiple	10%	30G	1.34	266.9037667
RiceM30-3-4	BWA	Rice	Multiple	10%	30G	1.34	273.3081333
RiceM30-3-5	BWA	Rice	Multiple	10%	30G	1.36	293.2645333
RiceM30-1-1	Kneaddata	Rice	Multiple	90%	30G	15.09	859.8024333
RiceM30-1-2	Kneaddata	Rice	Multiple	90%	30G	15.1	826.4299833
RiceM30-1-3	Kneaddata	Rice	Multiple	90%	30G	15.09	854.1703
RiceM30-1-4	Kneaddata	Rice	Multiple	90%	30G	15.09	835.1660833
RiceM30-1-5	Kneaddata	Rice	Multiple	90%	30G	15.09	866.5630667
RiceM30-2-1	Kneaddata	Rice	Multiple	50%	30G	16.3	501.15945
RiceM30-2-2	Kneaddata	Rice	Multiple	50%	30G	16.22	502.5046
RiceM30-2-3	Kneaddata	Rice	Multiple	50%	30G	16.19	506.6755
RiceM30-2-4	Kneaddata	Rice	Multiple	50%	30G	16.29	500.0371167
RiceM30-2-5	Kneaddata	Rice	Multiple	50%	30G	16.2	493.2186667
RiceM30-3-1	Kneaddata	Rice	Multiple	10%	30G	15.17	177.3707667
RiceM30-3-2	Kneaddata	Rice	Multiple	10%	30G	15.22	182.7070667
RiceM30-3-3	Kneaddata	Rice	Multiple	10%	30G	15.18	177.4758
RiceM30-3-4	Kneaddata	Rice	Multiple	10%	30G	15.18	174.5699833
RiceM30-3-5	Kneaddata	Rice	Multiple	10%	30G	15.2	179.0786833
RiceM30-1-1	Kraken2	Rice	Multiple	90%	30G	0.746074219	32.33658333
RiceM30-1-2	Kraken2	Rice	Multiple	90%	30G	0.765869141	31.94808333
RiceM30-1-3	Kraken2	Rice	Multiple	90%	30G	0.759628906	34.39683333
RiceM30-1-4	Kraken2	Rice	Multiple	90%	30G	0.764677734	29.34086667
RiceM30-1-5	Kraken2	Rice	Multiple	90%	30G	0.769550781	29.33048333
RiceM30-2-1	Kraken2	Rice	Multiple	50%	30G	0.767734375	27.93488333
RiceM30-2-2	Kraken2	Rice	Multiple	50%	30G	0.763144531	27.6839
RiceM30-2-3	Kraken2	Rice	Multiple	50%	30G	0.765107422	27.93325
RiceM30-2-4	Kraken2	Rice	Multiple	50%	30G	0.770292969	27.8149
RiceM30-2-5	Kraken2	Rice	Multiple	50%	30G	0.773125	27.75073333
RiceM30-3-1	Kraken2	Rice	Multiple	10%	30G	0.753876953	25.70116667
RiceM30-3-2	Kraken2	Rice	Multiple	10%	30G	0.772958984	25.92508333
RiceM30-3-3	Kraken2	Rice	Multiple	10%	30G	0.758203125	26.03968333
RiceM30-3-4	Kraken2	Rice	Multiple	10%	30G	0.738984375	25.98828333
RiceM30-3-5	Kraken2	Rice	Multiple	10%	30G	0.751826172	36.22866667
RiceM30-1-1	KMCP	Rice	Multiple	90%	30G	4.52	99.061
RiceM30-1-2	KMCP	Rice	Multiple	90%	30G	4.56	98.7925
RiceM30-1-3	KMCP	Rice	Multiple	90%	30G	4.56	98.49256667
RiceM30-1-4	KMCP	Rice	Multiple	90%	30G	4.56	98.4267
RiceM30-1-5	KMCP	Rice	Multiple	90%	30G	4.57	98.38488333
RiceM30-2-1	KMCP	Rice	Multiple	50%	30G	4.51	97.41023333
RiceM30-2-2	KMCP	Rice	Multiple	50%	30G	4.55	97.17498333
RiceM30-2-3	KMCP	Rice	Multiple	50%	30G	4.55	96.96525
RiceM30-2-4	KMCP	Rice	Multiple	50%	30G	4.57	96.84721667
RiceM30-2-5	KMCP	Rice	Multiple	50%	30G	4.57	96.90745
RiceM30-3-1	KMCP	Rice	Multiple	10%	30G	4.49	95.84621667
RiceM30-3-2	KMCP	Rice	Multiple	10%	30G	4.53	95.7257
RiceM30-3-3	KMCP	Rice	Multiple	10%	30G	4.54	95.5546
RiceM30-3-4	KMCP	Rice	Multiple	10%	30G	4.57	95.28805
RiceM30-3-5	KMCP	Rice	Multiple	10%	30G	4.54	95.3021
RiceM30-1-1	KrakenUniq	Rice	Multiple	90%	30G	11.4	61.94865
