SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes	Times
RiceS10-2-1	KrakenUniq	Rice	Single	50%	10G	11.13	28.0514
RiceS10-2-2	KrakenUniq	Rice	Single	50%	10G	10.65	24.28525
RiceS10-2-3	KrakenUniq	Rice	Single	50%	10G	10.45	26.69581667
RiceS10-2-4	KrakenUniq	Rice	Single	50%	10G	11.3	29.80125
RiceS10-2-5	KrakenUniq	Rice	Single	50%	10G	10.68	32.06096667
RiceS10-3-1	KrakenUniq	Rice	Single	10%	10G	9.96	19.91958333
RiceS10-3-2	KrakenUniq	Rice	Single	10%	10G	10.12	17.60458333
RiceS10-3-3	KrakenUniq	Rice	Single	10%	10G	9.83	16.75003333
RiceS10-3-4	KrakenUniq	Rice	Single	10%	10G	10.22	17.11311667
RiceS10-3-5	KrakenUniq	Rice	Single	10%	10G	9.83	16.71828333
RiceS30-1-1	Bowtie2	Rice	Single	90%	30G	0.460322266	486.6248833
RiceS30-1-2	Bowtie2	Rice	Single	90%	30G	0.460693359	462.0833333
RiceS30-1-3	Bowtie2	Rice	Single	90%	30G	0.459658203	454.4367833
RiceS30-1-4	Bowtie2	Rice	Single	90%	30G	0.459873047	456.3720333
RiceS30-1-5	Bowtie2	Rice	Single	90%	30G	0.460498047	446.492
RiceS30-2-1	Bowtie2	Rice	Single	50%	30G	0.464335938	239.9832
RiceS30-2-2	Bowtie2	Rice	Single	50%	30G	0.465390625	241.5338833
RiceS30-2-3	Bowtie2	Rice	Single	50%	30G	0.462753906	241.0942333
RiceS30-2-4	Bowtie2	Rice	Single	50%	30G	0.462900391	239.6752333
RiceS30-2-5	Bowtie2	Rice	Single	50%	30G	0.450302734	238.8522667
RiceS30-3-1	Bowtie2	Rice	Single	10%	30G	0.445400391	74.68401667
RiceS30-3-2	Bowtie2	Rice	Single	10%	30G	0.455292969	78.91043333
RiceS30-3-3	Bowtie2	Rice	Single	10%	30G	0.448300781	74.68706667
RiceS30-3-4	Bowtie2	Rice	Single	10%	30G	0.462197266	74.97568333
RiceS30-3-5	Bowtie2	Rice	Single	10%	30G	0.448710938	75.46876667
RiceS30-1-1	BWA	Rice	Single	90%	30G	1.4	657.2662
RiceS30-1-2	BWA	Rice	Single	90%	30G	1.4	625.8959333
RiceS30-1-3	BWA	Rice	Single	90%	30G	1.41	602.66485
RiceS30-1-4	BWA	Rice	Single	90%	30G	1.4	617.9151
RiceS30-1-5	BWA	Rice	Single	90%	30G	1.4	577.4228333
RiceS30-2-1	BWA	Rice	Single	50%	30G	1.41	404.1897
RiceS30-2-2	BWA	Rice	Single	50%	30G	1.4	406.1991667
RiceS30-2-3	BWA	Rice	Single	50%	30G	1.41	401.2959333
RiceS30-2-4	BWA	Rice	Single	50%	30G	1.4	397.4577667
RiceS30-2-5	BWA	Rice	Single	50%	30G	1.4	387.8655167
RiceS30-3-1	BWA	Rice	Single	10%	30G	1.34	313.7635333
RiceS30-3-2	BWA	Rice	Single	10%	30G	1.34	311.1944333
RiceS30-3-3	BWA	Rice	Single	10%	30G	1.34	310.5328333
RiceS30-3-4	BWA	Rice	Single	10%	30G	1.34	306.5570833
RiceS30-3-5	BWA	Rice	Single	10%	30G	1.34	300.4533667
RiceS30-1-1	Kneaddata	Rice	Single	90%	30G	15.09	917.9408333
RiceS30-1-2	Kneaddata	Rice	Single	90%	30G	15.09	873.6557667
RiceS30-1-3	Kneaddata	Rice	Single	90%	30G	15.09	871.1562333
RiceS30-1-4	Kneaddata	Rice	Single	90%	30G	15.09	922.4200333
RiceS30-1-5	Kneaddata	Rice	Single	90%	30G	15.09	1112.824583
RiceS30-2-1	Kneaddata	Rice	Single	50%	30G	16.32	564.7113
RiceS30-2-2	Kneaddata	Rice	Single	50%	30G	16.19	537.9909667
RiceS30-2-3	Kneaddata	Rice	Single	50%	30G	16.32	515.441
RiceS30-2-4	Kneaddata	Rice	Single	50%	30G	16.32	511.3117667
RiceS30-2-5	Kneaddata	Rice	Single	50%	30G	16.19	500.9322333
RiceS30-3-1	Kneaddata	Rice	Single	10%	30G	15.18	169.6266667
RiceS30-3-2	Kneaddata	Rice	Single	10%	30G	15.18	169.6169167
RiceS30-3-3	Kneaddata	Rice	Single	10%	30G	15.18	169.9146333
RiceS30-3-4	Kneaddata	Rice	Single	10%	30G	15.18	169.6298667
RiceS30-3-5	Kneaddata	Rice	Single	10%	30G	15.18	169.6735667
RiceS30-1-1	Kraken2	Rice	Single	90%	30G	0.759550781	29.29858333
RiceS30-1-2	Kraken2	Rice	Single	90%	30G	0.746318359	25.3889
RiceS30-1-3	Kraken2	Rice	Single	90%	30G	0.763984375	25.35878333
RiceS30-1-4	Kraken2	Rice	Single	90%	30G	0.756523438	25.40005
RiceS30-1-5	Kraken2	Rice	Single	90%	30G	0.745673828	25.51481667
RiceS30-2-1	Kraken2	Rice	Single	50%	30G	0.759345703	19.29408333
RiceS30-2-2	Kraken2	Rice	Single	50%	30G	0.763515625	17.71255
RiceS30-2-3	Kraken2	Rice	Single	50%	30G	0.765117188	17.70686667
RiceS30-2-4	Kraken2	Rice	Single	50%	30G	0.778564453	17.73528333
RiceS30-2-5	Kraken2	Rice	Single	50%	30G	0.765341797	17.72871667
RiceS30-3-1	Kraken2	Rice	Single	10%	30G	0.746220703	17.37671667
