SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs.host	num_seqs.microbiome	num_seqs.total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1	X1NIT	X1NIM	X1NRT	X1NRM	NA	NP	NR	NF1	SUM	SuM2
HumanM10-2-4	Bowtie2	Human	Multiple	50%	10G	19999550	19999866	39999416	19940358	91	59186	19999453	5.55	140.4534333	3.42	109.1203833	0.999995436	0.997040633	0.998518041	0.998515849	0.893935303247193	0.401900100902454	0.979607773454573	0.979607773454573	0.995531855544685	0.999967955707992	0.991945454337318	0.993416269290508	7.23591248593929	1.98894812483519
HumanM10-2-5	Bowtie2	Human	Multiple	50%	10G	19999544	19999790	39999334	19953741	37	45803	19999507	5.55	140.4534333	3.42	111.8010667	0.999998146	0.997709798	0.998853974	0.998852661	0.893935303247193	0.401900100902454	0.979071925650088	0.979071925650088	0.996547772627358	0.999986982884009	0.993766728970835	0.994912884585434	7.23919362451746	1.99146065721279
HumanM30-1-1	Bowtie2	Human	Multiple	90%	30G	86398020	9600586	95998606	86215919	8626	182101	9591154	5.55	140.4534333	3.41	988.3319167	0.999899959	0.997892301	0.998013215	0.998895121	0.893935303247193	0.401900100902454	0.803860212273101	0.803860212273101	0.994005178031082	0.999297602318849	0.994263449636801	0.995101554482654	6.88622361316523	1.98910673251374
HumanM30-1-2	Bowtie2	Human	Multiple	90%	30G	86398020	9600894	95998914	86192732	37	205288	9599743	5.55	140.4534333	3.42	1063.6538	0.999999571	0.997623927	0.997861149	0.998810336	0.893935303247193	0.401900100902454	0.788803952441773	0.788803952441773	0.993545305237716	0.999996987948889	0.993533012811062	0.994724814557176	6.85524342958804	1.98827011979489
HumanM30-1-3	Bowtie2	Human	Multiple	90%	30G	86398022	9601044	95999066	86195677	1097	202343	9598683	5.55	140.4534333	3.42	928.1906667	0.999987273	0.997658013	0.997880785	0.998821285	0.893935303247193	0.401900100902454	0.815881981338198	0.815881981338198	0.993604687756955	0.999910642483702	0.993625785097655	0.994773466151727	6.90951394831608	1.98837815390868
HumanM30-1-4	Bowtie2	Human	Multiple	90%	30G	86398026	9600902	95998928	86141552	40	256468	9599740	5.55	140.4534333	3.42	932.41735	0.999999536	0.997031552	0.99732798	0.998513338	0.893935303247193	0.401900100902454	0.815037100153589	0.815037100153589	0.991932913793436	0.999996742210453	0.991920738467619	0.993405111727816	6.90316511065615	1.98533802552125
HumanM30-1-5	Bowtie2	Human	Multiple	90%	30G	86398020	9600722	95998742	68613620	17	157710	9599763	5.55	140.4534333	3.42	799.5615	0.999999752	0.997706748	0.997987434	0.998851934	0.893935303247193	0.401900100902454	0.841593953355796	0.841593953355796	0.993927212013131	0.999998258767656	0.993758427748219	0.994909654179987	6.96161686357023	1.98883686619312
HumanM60-1-1	Bowtie2	Human	Multiple	90%	60G	172796042	19201166	191997208	172431979	17105	364061	19182455	5.55	140.4534333	3.41	1883.171317	0.999900811	0.997893117	0.998014715	0.998895955	0.893935303247193	0.401900100902454	0.624988761800138	0.624988761800138	0.994009714279751	0.999303584294483	0.994265670554065	0.995105260339797	6.52849715721802	1.98911497461955
HumanM60-1-2	Bowtie2	Human	Multiple	90%	60G	169342352	19201768	188544120	168940096	70	402256	19199490	5.55	140.4534333	3.42	1769.881367	0.999999586	0.997624599	0.997866119	0.99881068	0.893935303247193	0.401900100902454	0.647634543460753	0.647634543460753	0.993560335341638	0.999997093265362	0.99353484180175	0.99472634311216	6.57292310459206	1.9882866784538
HumanM60-1-3	Bowtie2	Human	Multiple	90%	60G	172796042	19202072	191998114	172390678	2194	405362	19197366	5.55	140.4534333	3.42	1996.11235	0.999987273	0.997654101	0.997877264	0.998819325	0.893935303247193	0.401900100902454	0.602412725939567	0.602412725939567	0.993594039669247	0.999910642483702	0.993615137759007	0.994764756943095	6.48254543288383	1.98835879661234
HumanM60-1-4	Bowtie2	Human	Multiple	90%	60G	172796046	19201838	191997884	172283225	88	512815	19199472	5.55	140.4534333	3.42	1974.030183	0.999999489	0.997032253	0.997328569	0.998513667	0.893935303247193	0.401900100902454	0.606826779723466	0.606826779723466	0.99193469502708	0.99999641221884	0.991922646387965	0.993406573630694	6.48674929086116	1.98534126865777
HumanM60-1-5	Bowtie2	Human	Multiple	90%	60G	166662502	19201374	185863876	166280865	37	381637	19199523	5.55	140.4534333	3.42	1913.4144	0.999999777	0.997710121	0.997946466	0.998853637	0.893935303247193	0.401900100902454	0.618943404251989	0.618943404251989	0.993803317989493	0.99999843429511	0.993767608083919	0.994917221415855	6.516208794438	1.98872053940535
HumanM10-1-1	Bowtie2	Human	Multiple	90%	10G	35999172	4000264	39999436	35923137	3625	76035	3996283	5.55	140.4534333	3.42	173.36595	0.9998991	0.997887868	0.998008454	0.998892472	0.893935303247193	0.401900100902454	0.966765583338409	0.966765583338409	0.993990779977808	0.999291571195529	0.994251384286027	0.995089783720578	7.21199009000641	1.98908056369839
HumanM10-1-2	Bowtie2	Human	Multiple	90%	10G	35999172	4000378	39999550	35914112	12	85060	3999896	5.55	140.4534333	3.42	185.3217	0.999999666	0.997637168	0.997873151	0.99881702	0.893935303247193	0.401900100902454	0.964375721712652	0.964375721712652	0.993581601275397	0.999997654953214	0.993569051004067	0.994754514736004	7.20648966954363	1.9883361160114
HumanM10-1-3	Bowtie2	Human	Multiple	90%	10G	35999174	4000440	39999614	35914785	460	84387	3999448	5.55	140.4534333	3.42	190.5580833	0.999987192	0.997655863	0.997878776	0.998820167	0.893935303247193	0.401900100902454	0.963329009335225	0.963329009335225	0.993598612207905	0.99991007377475	0.993619933416138	0.994768498348027	7.20439054056692	1.98836711055593
HumanM10-1-4	Bowtie2	Human	Multiple	90%	10G	35999176	4000430	39999606	35892350	12	106822	3999896	5.55	140.4534333	3.43	192.5175167	0.999999666	0.997032654	0.997329089	0.998513956	0.893935303247193	0.401900100902454	0.962937333807476	0.962937333807476	0.991936267593285	0.999997654953214	0.99192373779461	0.99340785779462	7.19897558990033	1.9853441253879
HumanM10-1-5	Bowtie2	Human	Multiple	90%	10G	35999172	4000296	39999468	35916216	4	82956	3999904	5.55	140.4534333	3.42	195.1672833	0.999999889	0.997695614	0.997925952	0.998846422	0.893935303247193	0.401900100902454	0.962407666031339	0.962407666031339	0.9937412802527	0.999999220658104	0.9937281242031	0.994885161752444	7.20300452307867	1.98862644200514
HumanS30-3-1	Bowtie2	Human	Single	10%	30G	9599780	86398058	95997838	9579551	0	20229	86398020	5.55	140.4534333	3.42	83.45755	1	0.997892764	0.999789276	0.998945271	0.893935303247193	0.401900100902454	0.984737574639096	0.984737574639096	0.999376280928888	1	0.994264709789611	0.995324394693337	7.25427593883967	1.99470067562223
HumanS30-3-2	Bowtie2	Human	Single	10%	30G	9599780	86398062	95997842	9579551	0	20229	86398020	5.55	140.4534333	3.42	87.50126667	1	0.997892764	0.999789276	0.998945271	0.893935303247193	0.401900100902454	0.983929267063656	0.983929267063656	0.999376280928888	1	0.994264709789611	0.995324394693337	7.25265932368879	1.99470067562223
HumanS30-3-3	Bowtie2	Human	Single	10%	30G	9599780	86398052	95997832	9579551	0	20229	86398020	5.55	140.4534333	3.42	88.89266667	1	0.997892764	0.999789276	0.998945271	0.893935303247193	0.401900100902454	0.983651137003553	0.983651137003553	0.999376280928888	1	0.994264709789611	0.995324394693337	7.25210306356859	1.99470067562223
HumanS30-3-4	Bowtie2	Human	Single	10%	30G	9599780	86398044	95997824	9579551	0	20229	86398020	5.55	140.4534333	3.42	87.27725	1	0.997892764	0.999789276	0.998945271	0.893935303247193	0.401900100902454	0.983974046257195	0.983974046257195	0.999376280928888	1	0.994264709789611	0.995324394693337	7.25274888207587	1.99470067562223
HumanS30-3-5	Bowtie2	Human	Single	10%	30G	9599780	86398044	95997824	9579551	0	20229	86398020	5.55	140.4534333	3.42	85.30548333	1	0.997892764	0.999789276	0.998945271	0.893935303247193	0.401900100902454	0.984368187109888	0.984368187109888	0.999376280928888	1	0.994264709789611	0.995324394693337	7.25353716378126	1.99470067562223
HumanS60-3-1	Bowtie2	Human	Single	10%	60G	19199560	172796118	191995678	19159084	0	40476	172796040	5.55	140.4534333	3.42	169.9165333	1	0.997891827	0.999789183	0.998944801	0.893935303247193	0.401900100902454	0.967455094962738	0.967455094962738	0.999375999681471	1	0.994262159545155	0.995322306260655	7.2197060595624	1.99469830594213
HumanS60-3-2	Bowtie2	Human	Single	10%	60G	19199560	172796130	191995690	19154226	0	45334	172796040	5.55	140.4534333	3.42	171.0274833	1	0.9976388	0.99976388	0.998818005	0.893935303247193	0.401900100902454	0.967233024680812	0.967233024680812	0.999299479214762	1	0.993573492838595	0.994758891557688	7.21793331712232	1.99405837077245
HumanS60-3-3	Bowtie2	Human	Single	10%	60G	19199560	172796122	191995682	19154763	0	44797	172796040	5.55	140.4534333	3.42	171.5506667	1	0.997666769	0.999766677	0.998832022	0.893935303247193	0.401900100902454	0.967128444380046	0.967128444380046	0.999307937806446	1	0.993649616410845	0.994821175729835	7.21787102285686	1.99412911353628
HumanS60-3-4	Bowtie2	Human	Single	10%	60G	19199560	172796096	191995656	19142661	0	56899	172796040	5.55	140.4534333	3.42	156.6538333	1	0.997036443	0.999703644	0.998516022	0.893935303247193	0.401900100902454	0.97010620574909	0.97010620574909	0.999117315564892	1	0.991934050362641	0.993417038011475	7.22051621958683	1.99253435357637
HumanS60-3-5	Bowtie2	Human	Single	10%	60G	19199560	172796102	191995662	19155459	0	44101	172796040	5.55	140.4534333	3.42	170.6323	1	0.99770302	0.999770302	0.99885019	0.893935303247193	0.401900100902454	0.967312018755112	0.967312018755112	0.999318900407396	1	0.99374828120464	0.994901904761693	7.2184285280336	1.99422080516909
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	3999908	35999182	39999090	3991507	0	8401	35999172	5.55	140.4534333	3.42	37.38936667	1	0.997899702	0.99978997	0.998948747	0.893935303247193	0.401900100902454	0.993946246910487	0.993946246910487	0.999378379699939	1	0.99428359302978	0.995339840208239	7.27272971090858	1.99471821990818
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	3999908	35999180	39999088	3990573	0	9335	35999172	5.55	140.4534333	3.42	38.57583333	1	0.997666196	0.99976662	0.998831735	0.893935303247193	0.401900100902454	0.99370908143438	0.99370908143438	0.999307765428997	1	0.993648056869678	0.994819900452857	7.27102928976994	1.99412766588185
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	3999908	35999182	39999090	3990645	0	9263	35999172	5.55	140.4534333	3.42	38.57651667	1	0.997684197	0.99976842	0.998840756	0.893935303247193	0.401900100902454	0.993708944840018	0.993708944840018	0.999313208927399	1	0.99369705041339	0.994859985029937	7.27112353820041	1.99417319395734
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	3999908	35999180	39999088	3988280	0	11628	35999172	5.55	140.4534333	3.42	38.18121667	1	0.997092933	0.999709293	0.998544351	0.893935303247193	0.401900100902454	0.993787962241742	0.993787962241742	0.999134399077378	1	0.99208779989235	0.993542917180536	7.26817644478339	1.99267731625791
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	3999908	35999178	39999086	3990716	0	9192	35999172	5.55	140.4534333	3.42	38.86585	1	0.997701947	0.999770195	0.998849652	0.893935303247193	0.401900100902454	0.993651109353125	0.993651109353125	0.999318576821657	1	0.993745360807307	0.994899514172793	7.27110107465765	1.99421809099445
HumanS30-2-1	Bowtie2	Human	Single	50%	30G	47998900	47999100	95998000	47897654	0	101246	47998900	5.55	140.4534333	3.42	374.8788833	1	0.99789066	0.99894533	0.998944216	0.893935303247193	0.401900100902454	0.926484712093414	0.926484712093414	0.996824048316274	1	0.994258983306862	0.995319706828486	7.1352075667881	1.99214375514476
HumanS30-2-2	Bowtie2	Human	Single	50%	30G	47998900	47999084	95997984	47885489	0	113411	47998900	5.55	140.4534333	3.42	390.1744833	1	0.997637217	0.998818608	0.998817211	0.893935303247193	0.401900100902454	0.923427240376213	0.923427240376213	0.996440819980414	1	0.993569184367971	0.994755363439498	7.12745525268996	1.99119618341991
HumanS30-2-3	Bowtie2	Human	Single	50%	30G	47998900	47999088	95997988	47886318	0	112582	47998900	5.55	140.4534333	3.42	336.28055	1	0.997654488	0.998827244	0.998825867	0.893935303247193	0.401900100902454	0.93420021932398	0.93420021932398	0.996466936676082	1	0.99361619106168	0.994793826148644	7.14911279668401	1.99126076282473
HumanS30-2-4	Bowtie2	Human	Single	50%	30G	47998900	47999064	95997964	47856537	0	142363	47998900	5.55	140.4534333	3.42	295.6901	1	0.997034036	0.998517018	0.998514816	0.893935303247193	0.401900100902454	0.942313935220281	0.942313935220281	0.995528761823093	1	0.991927499201055	0.993411679182081	7.16133121479644	1.98894044100517
HumanS30-2-5	Bowtie2	Human	Single	50%	30G	47998900	47999082	95997982	47888753	0	110147	47998900	5.55	140.4534333	3.42	271.6737667	1	0.997705218	0.998852609	0.998851291	0.893935303247193	0.401900100902454	0.947114613834759	0.947114613834759	0.996543644641069	1	0.993754263528349	0.994906797026339	7.17526933701492	1.99145044166741
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	95997800	95998178	191995978	95795602	0	202198	95997800	5.55	140.4534333	3.42	556.52875	1	0.997893723	0.998946861	0.998945751	0.893935303247193	0.401900100902454	0.890174313686777	0.890174313686777	0.996828678314082	1	0.994267319911739	0.995326527560758	7.06260655730978	1.99215520587484
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	95997800	95998178	191995978	95770135	0	227665	95997800	5.55	140.4534333	3.42	542.84715	1	0.997628435	0.998814218	0.99881281	0.893935303247193	0.401900100902454	0.892909159331672	0.892909159331672	0.996427543892644	1	0.99354528229026	0.994735807711338	7.06636235670723	1.99116335160398
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	95997800	95998172	191995972	95772971	0	224829	95997800	5.55	140.4534333	3.42	535.8918667	1	0.997657978	0.998828989	0.998827616	0.893935303247193	0.401900100902454	0.894299466477183	0.894299466477183	0.996472213845367	1	0.993625689837723	0.994801597784306	7.06933383857141	1.99127381162967
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	95997800	95998124	191995924	95713139	0	284661	95997800	5.55	140.4534333	3.42	565.93455	1	0.997034713	0.998517357	0.998515155	0.893935303247193	0.401900100902454	0.888294167273583	0.888294167273583	0.995529787015292	1	0.991929341800305	0.993413185519696	7.05329605303211	1.98894297253499
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	95997800	95998158	191995958	95777896	0	219904	95997800	5.55	140.4534333	3.42	570.91985	1	0.997709281	0.99885464	0.998853327	0.893935303247193	0.401900100902454	0.887297644498945	0.887297644498945	0.996549786721767	1	0.993765321845559	0.994915843938979	7.05566164565384	1.99146563066075
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	19999544	19999624	39999168	19957455	0	42089	19999544	5.55	140.4534333	3.42	125.09145	1	0.997895502	0.998947751	0.998946643	0.893935303247193	0.401900100902454	0.976415281186941	0.976415281186941	0.996831369821625	1	0.99427216183798	0.99533049113938	7.23509998932252	1.99216186096101
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	19999544	19999638	39999182	19952321	0	47223	19999544	5.55	140.4534333	3.42	127.4972833	1	0.997638796	0.998819398	0.998818003	0.893935303247193	0.401900100902454	0.97593437378409	0.97593437378409	0.99644320907138	1	0.993573481951746	0.994758882670741	7.23247972541169	1.99120209174212
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	19999544	19999628	39999172	19952871	0	46673	19999544	5.55	140.4534333	3.42	133.8821333	1	0.997666297	0.998833148	0.998831785	0.893935303247193	0.401900100902454	0.974658091827608	0.974658091827608	0.996484791350842	1	0.993648331762624	0.994820122626547	7.23010483354488	1.99130491397739
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	19999544	19999600	39999144	19940358	0	59186	19999544	5.55	140.4534333	3.42	132.7663833	1	0.997040633	0.998520316	0.998518124	0.893935303247193	0.401900100902454	0.974881121592277	0.974881121592277	0.995538735521833	1	0.991945454337318	0.993426378193386	7.22650821538674	1.98896511371522
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	19999544	19999606	39999150	19953741	0	45803	19999544	5.55	140.4534333	3.42	128.7044667	1	0.997709798	0.998854899	0.998853586	0.893935303247193	0.401900100902454	0.975693067192458	0.975693067192458	0.996550569980704	1	0.993766728970835	0.994916994798692	7.23245583228479	1.9914675647794
HumanS30-1-1	Bowtie2	Human	Single	90%	30G	86398020	9600108	95998128	86215919	0	182101	9599780	5.55	140.4534333	3.42	475.5333667	1	0.997892301	0.998103071	0.998945039	0.893935303247193	0.401900100902454	0.906364662131009	0.906364662131009	0.994276917471329	1	0.994263449636801	0.995323363807417	7.09242845932721	1.98960028127875
HumanS30-1-2	Bowtie2	Human	Single	90%	30G	86398020	9600132	95998152	86192732	0	205288	9599780	5.55	140.4534333	3.42	509.9064667	1	0.997623927	0.997861534	0.99881055	0.893935303247193	0.401900100902454	0.899493746241308	0.899493746241308	0.993546469541541	1	0.993533012811062	0.994725765460567	7.07662814444543	1.98827223500211
