SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1
HumanM30-1-1	Bowtie2	Human	Multiple	90%	30G	86398020	9600586	95998606	86215919	8626	182101	9591154	5.55	140.4534333	3.41	988.3319167	0.999899959	0.997892301	0.998013215	0.998895121
HumanM30-1-2	Bowtie2	Human	Multiple	90%	30G	86398020	9600894	95998914	86192732	37	205288	9599743	5.55	140.4534333	3.42	1063.6538	0.999999571	0.997623927	0.997861149	0.998810336
HumanM30-1-3	Bowtie2	Human	Multiple	90%	30G	86398022	9601044	95999066	86195677	1097	202343	9598683	5.55	140.4534333	3.42	928.1906667	0.999987273	0.997658013	0.997880785	0.998821285
HumanM30-1-4	Bowtie2	Human	Multiple	90%	30G	86398026	9600902	95998928	86141552	40	256468	9599740	5.55	140.4534333	3.42	932.41735	0.999999536	0.997031552	0.99732798	0.998513338
HumanM30-1-5	Bowtie2	Human	Multiple	90%	30G	86398020	9600722	95998742	68613620	17	157710	9599763	5.55	140.4534333	3.42	799.5615	0.999999752	0.997706748	0.997987434	0.998851934
HumanM60-1-1	Bowtie2	Human	Multiple	90%	60G	172796042	19201166	191997208	172431979	17105	364061	19182455	5.55	140.4534333	3.41	1883.171317	0.999900811	0.997893117	0.998014715	0.998895955
HumanM60-1-2	Bowtie2	Human	Multiple	90%	60G	169342352	19201768	188544120	168940096	70	402256	19199490	5.55	140.4534333	3.42	1769.881367	0.999999586	0.997624599	0.997866119	0.99881068
HumanM60-1-3	Bowtie2	Human	Multiple	90%	60G	172796042	19202072	191998114	172390678	2194	405362	19197366	5.55	140.4534333	3.42	1996.11235	0.999987273	0.997654101	0.997877264	0.998819325
HumanM60-1-4	Bowtie2	Human	Multiple	90%	60G	172796046	19201838	191997884	172283225	88	512815	19199472	5.55	140.4534333	3.42	1974.030183	0.999999489	0.997032253	0.997328569	0.998513667
HumanM60-1-5	Bowtie2	Human	Multiple	90%	60G	166662502	19201374	185863876	166280865	37	381637	19199523	5.55	140.4534333	3.42	1913.4144	0.999999777	0.997710121	0.997946466	0.998853637
HumanM10-1-1	Bowtie2	Human	Multiple	90%	10G	35999172	4000264	39999436	35923137	3625	76035	3996283	5.55	140.4534333	3.42	173.36595	0.9998991	0.997887868	0.998008454	0.998892472
HumanM10-1-2	Bowtie2	Human	Multiple	90%	10G	35999172	4000378	39999550	35914112	12	85060	3999896	5.55	140.4534333	3.42	185.3217	0.999999666	0.997637168	0.997873151	0.99881702
HumanM10-1-3	Bowtie2	Human	Multiple	90%	10G	35999174	4000440	39999614	35914785	460	84387	3999448	5.55	140.4534333	3.42	190.5580833	0.999987192	0.997655863	0.997878776	0.998820167
HumanM10-1-4	Bowtie2	Human	Multiple	90%	10G	35999176	4000430	39999606	35892350	12	106822	3999896	5.55	140.4534333	3.43	192.5175167	0.999999666	0.997032654	0.997329089	0.998513956
HumanM10-1-5	Bowtie2	Human	Multiple	90%	10G	35999172	4000296	39999468	35916216	4	82956	3999904	5.55	140.4534333	3.42	195.1672833	0.999999889	0.997695614	0.997925952	0.998846422
HumanS30-3-1	Bowtie2	Human	Single	10%	30G	9599780	86398058	95997838	9579551	0	20229	86398020	5.55	140.4534333	3.42	83.45755	1	0.997892764	0.999789276	0.998945271
HumanS30-3-2	Bowtie2	Human	Single	10%	30G	9599780	86398062	95997842	9579551	0	20229	86398020	5.55	140.4534333	3.42	87.50126667	1	0.997892764	0.999789276	0.998945271
HumanS30-3-3	Bowtie2	Human	Single	10%	30G	9599780	86398052	95997832	9579551	0	20229	86398020	5.55	140.4534333	3.42	88.89266667	1	0.997892764	0.999789276	0.998945271
HumanS30-3-4	Bowtie2	Human	Single	10%	30G	9599780	86398044	95997824	9579551	0	20229	86398020	5.55	140.4534333	3.42	87.27725	1	0.997892764	0.999789276	0.998945271
HumanS30-3-5	Bowtie2	Human	Single	10%	30G	9599780	86398044	95997824	9579551	0	20229	86398020	5.55	140.4534333	3.42	85.30548333	1	0.997892764	0.999789276	0.998945271
HumanS60-3-1	Bowtie2	Human	Single	10%	60G	19199560	172796118	191995678	19159084	0	40476	172796040	5.55	140.4534333	3.42	169.9165333	1	0.997891827	0.999789183	0.998944801
HumanS60-3-2	Bowtie2	Human	Single	10%	60G	19199560	172796130	191995690	19154226	0	45334	172796040	5.55	140.4534333	3.42	171.0274833	1	0.9976388	0.99976388	0.998818005
HumanS60-3-3	Bowtie2	Human	Single	10%	60G	19199560	172796122	191995682	19154763	0	44797	172796040	5.55	140.4534333	3.42	171.5506667	1	0.997666769	0.999766677	0.998832022
HumanS60-3-4	Bowtie2	Human	Single	10%	60G	19199560	172796096	191995656	19142661	0	56899	172796040	5.55	140.4534333	3.42	156.6538333	1	0.997036443	0.999703644	0.998516022
HumanS60-3-5	Bowtie2	Human	Single	10%	60G	19199560	172796102	191995662	19155459	0	44101	172796040	5.55	140.4534333	3.42	170.6323	1	0.99770302	0.999770302	0.99885019
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	3999908	35999182	39999090	3991507	0	8401	35999172	5.55	140.4534333	3.42	37.38936667	1	0.997899702	0.99978997	0.998948747
