Type	Data	Name	Completeness	Contamination
Raw	s2	Eggerthella_lenta	69.09	1.34
Raw	s2	Ethanoligenens_harbinense	65.77	0.54
Raw	s2	Faecalibacterium_duncaniae	78.72	3.11
Raw	s2	Lacrimispora_saccharolytica	66.68	3.87
Raw	s2	Odoribacter_splanchnicus	50.37	7.33
Raw	s2	Slackia_heliotrinireducens	66.77	1.68
Raw	s3	Acidaminococcus_fermentans	87.84	0.26
Raw	s3	Akkermansia_muciniphila	88.29	1.94
Raw	s3	Alistipes_finegoldii	69.05	4.74
Raw	s3	Anaerofustis_stercorihominis	64.39	0.16
Raw	s3	Bifidobacterium_breve	87.55	2.13
Raw	s3	Bifidobacterium_pseudocatenulatum	86.22	4.7
Raw	s3	Eggerthella_lenta	66.09	1.08
Raw	s3	Ethanoligenens_harbinense	73.44	2.6
Raw	s3	Faecalibacterium_duncaniae	70.82	0.18
Raw	s3	Slackia_heliotrinireducens	77.28	3.83
