SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-3-2	Refer	Single	10%	BWA	0.996918904	0.970109981	1	0.984828249
RiceS10-3-3	Refer	Single	10%	BWA	0.996253039	0.963883654	1	0.981609732
RiceS10-3-4	Refer	Single	10%	BWA	0.996377342	0.965039902	1	0.982208963
RiceS10-3-5	Refer	Single	10%	BWA	0.996368041	0.964953296	1	0.982164104
RiceS10-3-1	Refer	Single	10%	Bowtie2	0.999976074	0.999972244	0.999788495	0.999880361
RiceS10-3-2	Refer	Single	10%	Bowtie2	0.999972674	0.999967993	0.999758744	0.999863358
RiceS10-3-3	Refer	Single	10%	Bowtie2	0.999974699	0.999974494	0.999772495	0.999873484
RiceS10-3-4	Refer	Single	10%	Bowtie2	0.999975799	0.999970744	0.999787245	0.999878986
RiceS10-3-5	Refer	Single	10%	Bowtie2	0.999974074	0.999971744	0.999768995	0.999870359
RiceS10-3-1	Refer	Single	10%	Kraken2	0.997341514	0.994702517	0.978627008	0.986599284
RiceS10-3-2	Refer	Single	10%	Kraken2	0.997356989	0.994640764	0.978844013	0.986679166
RiceS10-3-3	Refer	Single	10%	Kraken2	0.997337139	0.994695996	0.978589508	0.986577019
RiceS10-3-4	Refer	Single	10%	Kraken2	0.997334364	0.994606604	0.978650509	0.986564044
RiceS10-3-5	Refer	Single	10%	Kraken2	0.997336439	0.99454364	0.978734011	0.986575493
RiceS10-3-1	Refer	Single	10%	KMCP	0.974811021	1	0.748110207	0.855907372
RiceS10-3-2	Refer	Single	10%	KMCP	0.974812221	1	0.748122207	0.855915226
RiceS10-3-3	Refer	Single	10%	KMCP	0.974815171	1	0.748151707	0.855934533
RiceS10-3-4	Refer	Single	10%	KMCP	0.97479382	1	0.747938203	0.855794789
RiceS10-3-5	Refer	Single	10%	KMCP	0.97476502	1	0.747650196	0.855606228
RiceS10-3-1	Refer	Single	10%	KrakenUniq	0.999198232	0.992047552	0.9999985	0.996007158
RiceS10-3-2	Refer	Single	10%	KrakenUniq	0.999193431	0.992000802	0.999998	0.995983348
RiceS10-3-3	Refer	Single	10%	KrakenUniq	0.999196432	0.992030813	0.9999975	0.995998226
RiceS10-3-4	Refer	Single	10%	KrakenUniq	0.999188531	0.991951607	0.999999	0.995959048
