SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-3-5	OsjSinBac	Single	10%	KrakenUniq	0.99433962	0.991407174	0.951644388	0.971118926
RiceS10-1-1	OsiSinBac	Single	90%	Bowtie2	0.82631943	0.999999656	0.807021867	0.893206394
RiceS10-1-2	OsiSinBac	Single	90%	Bowtie2	0.826359031	0.999999449	0.807066035	0.893233364
RiceS10-1-3	OsiSinBac	Single	90%	Bowtie2	0.826293305	0.999999484	0.806992978	0.89318863
RiceS10-1-4	OsiSinBac	Single	90%	Bowtie2	0.826302855	0.999999449	0.807003617	0.893195133
RiceS10-1-5	OsiSinBac	Single	90%	Bowtie2	0.826404432	0.999999553	0.807116397	0.893264249
RiceS10-1-1	OsiSinBac	Single	90%	BWA	0.946222888	0.999533645	0.940686552	0.969217679
RiceS10-1-2	OsiSinBac	Single	90%	BWA	0.946309515	0.999687684	0.940637774	0.969264196
RiceS10-1-3	OsiSinBac	Single	90%	BWA	0.946363441	0.999697646	0.94068833	0.969295719
RiceS10-1-4	OsiSinBac	Single	90%	BWA	0.946023459	0.999366587	0.940622245	0.969105004
RiceS10-1-5	OsiSinBac	Single	90%	BWA	0.946039984	0.999441743	0.9405698	0.969112502
RiceS10-1-1	OsiSinBac	Single	90%	KMCP	0.430587954	1	0.367319948	0.53728456
RiceS10-1-2	OsiSinBac	Single	90%	KMCP	0.430714456	1	0.367460507	0.53743491
RiceS10-1-3	OsiSinBac	Single	90%	KMCP	0.4304333	1	0.367148111	0.537100711
RiceS10-1-4	OsiSinBac	Single	90%	KMCP	0.430724907	1	0.367472119	0.537447329
RiceS10-1-5	OsiSinBac	Single	90%	KMCP	0.430563803	1	0.367293114	0.537255853
RiceS10-1-1	OsiSinBac	Single	90%	KneadData	0.956362396	0.999759091	0.951743112	0.975160394
RiceS10-1-2	OsiSinBac	Single	90%	KneadData	0.956302495	0.999761641	0.951674111	0.975125386
RiceS10-1-3	OsiSinBac	Single	90%	KneadData	0.956351446	0.99976638	0.951724001	0.975153829
RiceS10-1-4	OsiSinBac	Single	90%	KneadData	0.956309645	0.999761293	0.951682389	0.975129566
RiceS10-1-5	OsiSinBac	Single	90%	KneadData	0.956277444	0.999759126	0.951648666	0.975110832
RiceS10-1-1	OsiSinBac	Single	90%	Kraken2	0.872951503	0.999922095	0.858901921	0.924062742
RiceS10-1-2	OsiSinBac	Single	90%	Kraken2	0.872894477	0.999923641	0.858837225	0.924025958
RiceS10-1-3	OsiSinBac	Single	90%	Kraken2	0.872927577	0.999926361	0.858871671	0.924047056
RiceS10-1-4	OsiSinBac	Single	90%	Kraken2	0.872942078	0.999924778	0.858889143	0.924056492
RiceS10-1-5	OsiSinBac	Single	90%	Kraken2	0.872942728	0.999923614	0.858890866	0.924056992
RiceS10-1-1	OsiSinBac	Single	90%	KrakenUniq	0.929264373	0.999890768	0.921505528	0.959099247
RiceS10-1-2	OsiSinBac	Single	90%	KrakenUniq	0.929248873	0.999893599	0.921485694	0.959089806
RiceS10-1-3	OsiSinBac	Single	90%	KrakenUniq	0.929290574	0.999894448	0.921531251	0.959114872
RiceS10-1-4	OsiSinBac	Single	90%	KrakenUniq	0.929186821	0.999888769	0.921421193	0.959052647
RiceS10-1-5	OsiSinBac	Single	90%	KrakenUniq	0.929255373	0.999891249	0.921495083	0.959093811
RiceS10-2-1	OsiSinBac	Single	50%	Bowtie2	0.903521825	0.999996159	0.807046751	0.89322024
RiceS10-2-2	OsiSinBac	Single	50%	Bowtie2	0.903539251	0.999995911	0.807081801	0.893241609
RiceS10-2-3	OsiSinBac	Single	50%	Bowtie2	0.9035191	0.999996592	0.807040951	0.893216861
RiceS10-2-4	OsiSinBac	Single	50%	Bowtie2	0.903566651	0.999996407	0.807136203	0.893275124
RiceS10-2-5	OsiSinBac	Single	50%	Bowtie2	0.9035299	0.999996593	0.807062551	0.89323009
RiceS10-2-1	OsiSinBac	Single	50%	BWA	0.968497632	0.996071134	0.940705748	0.967597094
RiceS10-2-2	OsiSinBac	Single	50%	BWA	0.968603809	0.996286954	0.940713548	0.967703038
RiceS10-2-3	OsiSinBac	Single	50%	BWA	0.968261476	0.995637131	0.940644847	0.967360072
RiceS10-2-4	OsiSinBac	Single	50%	BWA	0.968205175	0.995439721	0.940719948	0.967306589
RiceS10-2-5	OsiSinBac	Single	50%	BWA	0.968235051	0.995701952	0.940529994	0.967329924
RiceS10-2-1	OsiSinBac	Single	50%	KMCP	0.683690588	1	0.367381176	0.537350057
RiceS10-2-2	OsiSinBac	Single	50%	KMCP	0.683682588	1	0.367365176	0.537332941
RiceS10-2-3	OsiSinBac	Single	50%	KMCP	0.683633387	1	0.367266774	0.537227673
RiceS10-2-4	OsiSinBac	Single	50%	KMCP	0.683715289	1	0.367430577	0.537402898
RiceS10-2-5	OsiSinBac	Single	50%	KMCP	0.683674238	1	0.367348476	0.537315077
RiceS10-2-1	OsiSinBac	Single	50%	KneadData	0.974844226	0.997855534	0.9517338	0.974249112
RiceS10-2-2	OsiSinBac	Single	50%	KneadData	0.974853627	0.997854011	0.9517541	0.974259022
RiceS10-2-3	OsiSinBac	Single	50%	KneadData	0.974824326	0.997867138	0.951682798	0.974227921
RiceS10-2-4	OsiSinBac	Single	50%	KneadData	0.974843476	0.997861273	0.951726799	0.97424818
RiceS10-2-5	OsiSinBac	Single	50%	KneadData	0.974759175	0.997833225	0.951584696	0.974160354
RiceS10-2-1	OsiSinBac	Single	50%	Kraken2	0.929166685	0.999322438	0.858915733	0.923814587
RiceS10-2-2	OsiSinBac	Single	50%	Kraken2	0.929186585	0.999316776	0.858960434	0.923838023
RiceS10-2-3	OsiSinBac	Single	50%	Kraken2	0.92914606	0.999329029	0.858868782	0.923790245
RiceS10-2-4	OsiSinBac	Single	50%	Kraken2	0.929177035	0.99932135	0.858937384	0.923826645
RiceS10-2-5	OsiSinBac	Single	50%	Kraken2	0.929137134	0.999310888	0.858866532	0.923781193
RiceS10-2-1	OsiSinBac	Single	50%	KrakenUniq	0.960318345	0.999031442	0.921530111	0.958717053
RiceS10-2-2	OsiSinBac	Single	50%	KrakenUniq	0.960335596	0.999025961	0.921569712	0.958735959
RiceS10-2-3	OsiSinBac	Single	50%	KrakenUniq	0.960297245	0.999045033	0.92147531	0.958693652
RiceS10-2-4	OsiSinBac	Single	50%	KrakenUniq	0.960279144	0.999026707	0.921456009	0.958674769
RiceS10-2-5	OsiSinBac	Single	50%	KrakenUniq	0.960282694	0.999016868	0.92147221	0.958679007
RiceS10-3-1	OsiSinBac	Single	10%	Bowtie2	0.980691331	0.999965611	0.80694106	0.893143318
RiceS10-3-2	OsiSinBac	Single	10%	Bowtie2	0.980641405	0.99996032	0.806446048	0.892837916
RiceS10-3-3	OsiSinBac	Single	10%	Bowtie2	0.980694531	0.999968401	0.80697081	0.893162654
RiceS10-3-4	OsiSinBac	Single	10%	Bowtie2	0.980726957	0.999963769	0.807298818	0.893361678
RiceS10-3-5	OsiSinBac	Single	10%	Bowtie2	0.980702106	0.999964996	0.807049312	0.893209377
RiceS10-3-1	OsiSinBac	Single	10%	BWA	0.990345478	0.962028553	0.940579633	0.951183192
RiceS10-3-2	OsiSinBac	Single	10%	BWA	0.990963017	0.968276832	0.94044138	0.95415614
RiceS10-3-3	OsiSinBac	Single	10%	BWA	0.990314852	0.961690479	0.940618634	0.95103785
RiceS10-3-4	OsiSinBac	Single	10%	BWA	0.990478156	0.96292926	0.941008393	0.951842634
RiceS10-3-5	OsiSinBac	Single	10%	BWA	0.990391629	0.96280824	0.940236125	0.951388318
RiceS10-3-1	OsiSinBac	Single	10%	KMCP	0.936753145	1	0.367531453	0.537510786
RiceS10-3-2	OsiSinBac	Single	10%	KMCP	0.936710844	1	0.367108443	0.537058264
RiceS10-3-3	OsiSinBac	Single	10%	KMCP	0.936777896	1	0.367778959	0.53777543
RiceS10-3-4	OsiSinBac	Single	10%	KMCP	0.936721945	1	0.367219446	0.537177038
RiceS10-3-5	OsiSinBac	Single	10%	KMCP	0.936668643	1	0.366686434	0.536606532
RiceS10-3-1	OsiSinBac	Single	10%	KneadData	0.993334597	0.981062619	0.951716889	0.966166974
RiceS10-3-2	OsiSinBac	Single	10%	KneadData	0.993312096	0.980970942	0.951579886	0.966051918
RiceS10-3-3	OsiSinBac	Single	10%	KneadData	0.993328347	0.981001398	0.951714889	0.966136254
RiceS10-3-4	OsiSinBac	Single	10%	KneadData	0.993344347	0.980890538	0.951989896	0.966224154
RiceS10-3-5	OsiSinBac	Single	10%	KneadData	0.993260245	0.980780255	0.951243379	0.965786036
RiceS10-3-1	OsiSinBac	Single	10%	Kraken2	0.985367163	0.993968409	0.858883504	0.921501674
RiceS10-3-2	OsiSinBac	Single	10%	Kraken2	0.985324062	0.993894201	0.858514746	0.92125751
RiceS10-3-3	OsiSinBac	Single	10%	Kraken2	0.985346263	0.993959802	0.85868075	0.921381266
RiceS10-3-4	OsiSinBac	Single	10%	Kraken2	0.985385239	0.993861099	0.859159261	0.921614231
RiceS10-3-5	OsiSinBac	Single	10%	Kraken2	0.985310637	0.993784047	0.858475995	0.921187878
RiceS10-3-1	OsiSinBac	Single	10%	KrakenUniq	0.991343251	0.991375484	0.921448693	0.955133938
RiceS10-3-2	OsiSinBac	Single	10%	KrakenUniq	0.9913084	0.991322012	0.921147686	0.954947394
RiceS10-3-3	OsiSinBac	Single	10%	KrakenUniq	0.991339401	0.991357152	0.921427193	0.955113879
RiceS10-3-4	OsiSinBac	Single	10%	KrakenUniq	0.991363151	0.991274282	0.9217452	0.955246217
RiceS10-3-5	OsiSinBac	Single	10%	KrakenUniq	0.99128485	0.991124727	0.921096685	0.954828447
